interval,selection,decision,schedule,schedulingtime
1,"[0, 1, 2]","[(0, 15), (1, 8), (2, 10)]","[(0, 15), (1, 8), (2, 10), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.012282133102416992
2,[],"[(3, 6), (4, 11), (5, 12), (6, 14)]","[(0, 15), (1, 8), (2, 10), (3, 6), (4, 11), (5, 12), (6, 14), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.010268688201904297
3,[],"[(1, 6), (3, 11), (7, 8), (8, 4), (9, 11)]","[(0, 15), (1, 6), (2, 10), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.014638900756835938
4,[],"[(10, 15), (11, 4), (12, 0), (13, 6), (14, 5)]","[(0, 15), (1, 6), (2, 10), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (None, None), (11, 4), (12, 0), (13, 6), (14, 5), (None, None)]",0.01022028923034668
5,[],"[(10, 7), (15, 2)]","[(0, 15), (1, 6), (2, 10), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 2)]",0.010203123092651367
6,[],"[(1, 6)]","[(0, 15), (1, 6), (2, 10), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 2)]",0.009867668151855469
7,[],[],"[(0, 15), (1, 6), (2, 10), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 2)]",0.010980606079101562
8,[],"[(6, 14)]","[(0, 15), (1, 6), (2, 10), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 2)]",0.010312557220458984
9,[],"[(2, 11)]","[(0, 15), (1, 6), (2, 11), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 2)]",0.009836912155151367
10,[],"[(7, 8)]","[(0, 15), (1, 6), (2, 11), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 2)]",0.02005147933959961
11,[],[],"[(0, 15), (1, 6), (2, 11), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 2)]",0.010026216506958008
12,[],"[(12, 14), (14, 5)]","[(0, 15), (1, 6), (2, 11), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 2)]",0.01178884506225586
13,[],"[(3, 11), (10, 14), (13, 10)]","[(0, 15), (1, 6), (2, 11), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 14), (11, 4), (12, 14), (13, 10), (14, 5), (15, 2)]",0.021762847900390625
14,[],"[(1, 6), (5, 12), (13, 15)]","[(0, 15), (1, 6), (2, 11), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 14), (11, 4), (12, 14), (13, 15), (14, 5), (15, 2)]",0.015518665313720703
15,[],[],"[(0, 15), (1, 6), (2, 11), (3, 11), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 14), (11, 4), (12, 14), (13, 15), (14, 5), (15, 2)]",0.009610891342163086
16,[],"[(3, 8)]","[(0, 15), (1, 6), (2, 11), (3, 8), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 14), (11, 4), (12, 14), (13, 15), (14, 5), (15, 2)]",0.010222434997558594
17,[],"[(2, 8), (7, 8)]","[(0, 15), (1, 6), (2, 8), (3, 8), (4, 11), (5, 12), (6, 14), (7, 8), (8, 4), (9, 11), (10, 14), (11, 4), (12, 14), (13, 15), (14, 5), (15, 2)]",0.01595592498779297
18,[],"[(4, 10), (5, 14), (7, 9), (9, 8)]","[(0, 15), (1, 6), (2, 8), (3, 8), (4, 10), (5, 12), (6, 14), (7, 9), (8, 4), (None, None), (10, 14), (11, 4), (12, 14), (13, 15), (14, 5), (15, 2)]",0.020479679107666016
19,[],"[(2, 10), (4, 14), (7, 10), (8, 0), (9, 11), (10, 14), (13, 15), (14, 5)]","[(0, 15), (1, 6), (2, 10), (3, 8), (4, 10), (5, 12), (6, 14), (7, 10), (8, 0), (9, 11), (None, None), (11, 4), (12, 14), (None, None), (14, 5), (15, 2)]",0.015094757080078125
20,[],"[(10, 5), (13, 10)]","[(0, 15), (1, 6), (2, 10), (3, 8), (4, 10), (5, 12), (6, 14), (7, 10), (8, 0), (9, 11), (10, 5), (11, 4), (12, 14), (13, 10), (14, 5), (15, 2)]",0.009721994400024414
