interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,3,3,3,3,0
2,7,4,4,4,0
3,10,3,3,5,0
4,15,5,5,4,1
5,21,6,2,2,5
6,28,7,1,1,11
7,31,3,0,0,14
8,35,4,1,1,17
9,38,3,1,1,19
10,42,4,1,1,22
11,47,5,0,0,27
12,50,3,2,2,28
13,57,7,2,3,33
14,62,5,2,3,36
15,67,5,0,0,41
16,72,5,1,1,45
17,77,5,1,2,49
18,82,5,2,2,53
19,86,4,4,5,55
20,89,3,2,2,56
21,93,4,1,3,59
22,96,3,0,0,62
23,101,5,3,3,64
24,108,7,2,1,70
25,115,7,3,1,76
26,119,4,3,3,78
27,124,5,2,1,82
28,127,3,2,3,83
29,131,4,1,2,86
30,135,4,1,0,90
31,140,5,2,2,93
32,145,5,3,1,97
33,151,6,4,2,101
34,158,7,2,1,107
35,166,8,3,1,114
36,172,6,4,6,116
37,176,4,1,0,120
38,186,10,1,0,130
39,190,4,2,1,133
40,195,5,2,1,137
41,196,1,1,1,137
42,197,1,1,1,137
43,202,5,1,1,141
44,206,4,1,1,144
45,207,1,5,4,141
46,211,4,3,1,144
47,216,5,3,2,147
48,222,6,3,1,152
49,226,4,3,1,155
50,232,6,3,2,159
51,237,5,1,0,164
52,243,6,1,1,170
53,248,5,6,5,170
54,252,4,4,2,172
55,255,3,2,1,174
56,257,2,2,2,174
57,261,4,2,1,177
58,264,3,1,0,180
59,269,5,1,0,185
60,272,3,2,1,187
61,276,4,3,2,189
62,280,4,1,0,193
63,281,1,3,3,191
64,283,2,1,1,192
65,286,3,1,1,194
66,291,5,2,3,197
67,298,7,1,1,203
68,303,5,2,1,207
69,307,4,2,2,209
70,312,5,1,1,213
71,318,6,2,1,218
72,322,4,2,1,221
73,326,4,3,3,222
74,328,2,1,1,223
75,333,5,3,2,226
76,337,4,2,2,228
77,342,5,1,1,232
78,346,4,3,2,234
79,350,4,2,3,236
80,352,2,1,1,237
81,356,4,1,1,240
82,359,3,1,1,242
83,364,5,1,1,246
84,368,4,1,1,249
85,372,4,1,1,252
86,376,4,1,0,256
87,379,3,4,2,257
88,385,6,4,1,262
89,389,4,4,0,266
90,392,3,5,3,267
91,395,3,4,2,268
92,398,3,3,1,270
93,404,6,2,0,276
94,410,6,3,1,281
95,411,1,4,2,280
96,415,4,3,2,283
97,417,2,3,2,283
98,418,1,2,1,283
99,424,6,3,5,286
100,428,4,2,2,288
101,433,5,1,1,292
