interval,selection,decision,schedule,schedulingtime
1,"[0, 1, 2, 3]","[(0, 11), (1, 10), (2, 12), (3, 12)]","[(0, 11), (1, 10), (2, 12), (3, 12), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.012441873550415039
2,[],"[(4, 12), (5, 14), (6, 6), (7, 11)]","[(0, 0), (1, 0), (2, 12), (3, 0), (4, 12), (5, 14), (6, 6), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.009893417358398438
3,[],"[(0, 15), (1, 6), (4, 14), (7, 8), (8, 0), (9, 8), (10, 7), (11, 3), (12, 11)]","[(0, 15), (1, 6), (2, 12), (3, 0), (4, 12), (5, 1), (6, 0), (7, 8), (8, 0), (None, None), (10, 7), (11, 3), (12, 11), (None, None), (None, None), (None, None)]",0.009979724884033203
4,[],"[(3, 8), (4, 2), (5, 12), (6, 14), (9, 14), (13, 6), (14, 5), (15, 3)]","[(0, 15), (1, 1), (2, 1), (3, 1), (4, 2), (5, 12), (6, 14), (7, 2), (8, 0), (9, 14), (10, 1), (11, 1), (12, 1), (13, 6), (14, 5), (15, 3)]",0.01728081703186035
5,[],"[(1, 7), (2, 10), (3, 11), (7, 8), (10, 7), (12, 14), (13, 15)]","[(0, 15), (1, 7), (2, 10), (3, 0), (4, 2), (5, 12), (6, 14), (7, 8), (8, 0), (9, 14), (10, 7), (11, 1), (12, 1), (13, 3), (14, 0), (15, 3)]",0.01646280288696289
6,[],"[(3, 8), (12, 5), (13, 6), (14, 5)]","[(0, 15), (1, 7), (2, 10), (3, 1), (4, 1), (5, 12), (6, 14), (7, 8), (8, 0), (9, 14), (10, 7), (11, 1), (12, 5), (13, 6), (14, 5), (15, 1)]",0.01038980484008789
7,[],"[(1, 6), (4, 10), (12, 14)]","[(0, 15), (1, 6), (2, 0), (3, 0), (4, 10), (5, 12), (6, 14), (7, 8), (8, 2), (9, 14), (10, 0), (11, 1), (None, None), (13, 0), (14, 0), (15, 1)]",0.01145315170288086
8,[],"[(2, 10), (3, 11), (8, 0), (10, 15), (12, 9), (13, 10), (14, 5)]","[(0, 15), (1, 1), (2, 10), (3, 11), (4, 10), (5, 12), (6, 14), (7, 8), (8, 3), (9, 14), (10, 15), (11, 1), (12, 9), (13, 10), (14, 5), (15, 1)]",0.01705336570739746
9,[],"[(1, 6), (2, 12), (8, 4), (10, 15), (13, 15)]","[(0, 15), (1, 6), (2, 0), (3, 11), (4, 10), (5, 12), (6, 14), (7, 8), (8, 0), (9, 14), (10, 15), (11, 1), (12, 9), (13, 15), (14, 0), (15, 1)]",0.016810894012451172
10,[],"[(0, 15), (2, 10), (3, 9), (14, 5)]","[(0, 15), (1, 1), (2, 1), (3, 9), (4, 10), (5, 12), (6, 14), (7, 8), (8, 0), (9, 14), (10, 15), (11, 1), (12, 9), (13, 15), (14, 5), (15, 1)]",0.01206350326538086
11,[],"[(1, 6), (2, 10), (14, 15)]","[(0, 15), (1, 6), (2, 10), (3, 9), (4, 10), (5, 12), (6, 14), (7, 8), (8, 0), (9, 14), (10, 15), (11, 1), (12, 9), (13, 15), (None, None), (15, 1)]",0.012816429138183594
12,[],"[(14, 15)]","[(0, 15), (1, 6), (2, 10), (3, 9), (4, 10), (5, 12), (6, 14), (7, 8), (8, 0), (9, 14), (10, 15), (11, 1), (12, 9), (13, 15), (None, None), (15, 1)]",0.01176595687866211
13,[],"[(2, 8), (14, 5)]","[(0, 15), (1, 6), (2, 8), (3, 9), (4, 10), (5, 12), (6, 14), (7, 8), (8, 0), (9, 14), (10, 15), (11, 1), (12, 9), (13, 15), (14, 5), (15, 1)]",0.019522428512573242
14,[],"[(11, 7)]","[(0, 15), (1, 6), (2, 8), (3, 9), (4, 10), (5, 12), (6, 14), (7, 8), (8, 0), (9, 14), (10, 15), (11, 7), (12, 9), (13, 15), (14, 5), (15, 1)]",0.015481233596801758
15,[],"[(3, 8), (4, 5), (6, 9)]","[(0, 15), (1, 6), (2, 8), (3, 9), (4, 5), (5, 12), (None, None), (7, 8), (8, 0), (9, 14), (10, 15), (11, 7), (12, 9), (13, 15), (14, 5), (15, 1)]",0.01134347915649414
16,[],"[(2, 11), (3, 12), (4, 10), (6, 7)]","[(0, 15), (1, 6), (2, 11), (3, 9), (4, 10), (5, 12), (6, 7), (7, 8), (8, 0), (9, 14), (10, 15), (11, 7), (12, 9), (13, 15), (14, 5), (15, 1)]",0.016632556915283203
17,[],"[(2, 10), (3, 12), (15, 15)]","[(0, 15), (1, 6), (2, 10), (3, 12), (4, 10), (5, 12), (6, 7), (7, 8), (8, 0), (9, 14), (10, 15), (11, 7), (12, 9), (13, 15), (14, 5), (None, None)]",0.010758399963378906
18,[],"[(15, 12)]","[(0, 15), (1, 6), (2, 10), (3, 12), (4, 10), (5, 12), (6, 7), (7, 8), (8, 0), (9, 14), (10, 15), (11, 7), (12, 9), (13, 15), (14, 5), (None, None)]",0.014021635055541992
19,[],"[(1, 6), (13, 6), (15, 2)]","[(0, 15), (1, 6), (2, 10), (3, 12), (4, 10), (5, 12), (6, 7), (7, 8), (8, 0), (9, 14), (10, 15), (11, 7), (12, 9), (13, 6), (14, 5), (15, 2)]",0.011191368103027344
20,[],"[(4, 2), (8, 4)]","[(0, 15), (1, 6), (2, 10), (3, 12), (4, 2), (5, 12), (6, 7), (7, 8), (8, 4), (9, 14), (10, 15), (11, 7), (12, 9), (13, 6), (14, 5), (15, 2)]",0.010827064514160156
21,[],"[(9, 6), (14, 2)]","[(0, 15), (1, 6), (2, 10), (3, 12), (4, 2), (5, 12), (6, 7), (7, 8), (8, 4), (9, 6), (10, 15), (11, 7), (12, 9), (13, 6), (14, 2), (15, 2)]",0.011409997940063477
22,[],[],"[(0, 15), (1, 6), (2, 10), (3, 12), (4, 2), (5, 12), (6, 7), (7, 8), (8, 4), (9, 6), (10, 15), (11, 7), (12, 9), (13, 6), (14, 2), (15, 2)]",0.01269841194152832
23,[],"[(12, 14)]","[(0, 15), (1, 6), (2, 10), (3, 12), (4, 2), (5, 12), (6, 7), (7, 8), (8, 4), (9, 6), (10, 15), (11, 7), (12, 14), (13, 6), (14, 2), (15, 2)]",0.011743783950805664
24,[],[],"[(0, 15), (1, 6), (2, 10), (3, 12), (4, 2), (5, 12), (6, 7), (7, 8), (8, 4), (9, 6), (10, 15), (11, 7), (12, 14), (13, 6), (14, 2), (15, 2)]",0.009950876235961914
25,[],"[(5, 2)]","[(0, 15), (1, 6), (2, 10), (3, 12), (4, 2), (5, 2), (6, 7), (7, 8), (8, 4), (9, 6), (10, 15), (11, 7), (12, 14), (13, 6), (14, 2), (15, 2)]",0.009794235229492188
26,[],"[(10, 7)]","[(0, 15), (1, 6), (2, 10), (3, 12), (4, 2), (5, 2), (6, 7), (7, 8), (8, 4), (9, 6), (None, None), (11, 7), (12, 14), (13, 6), (14, 2), (15, 2)]",0.01149606704711914
27,[],"[(3, 8), (10, 7)]","[(0, 15), (1, 6), (2, 10), (None, None), (4, 2), (5, 2), (6, 7), (7, 8), (8, 4), (9, 6), (None, None), (11, 7), (12, 14), (13, 6), (14, 2), (15, 2)]",0.010879993438720703
28,[],"[(0, 3), (3, 8), (5, 4), (10, 15), (12, 14), (13, 5)]","[(0, 3), (1, 6), (2, 10), (None, None), (4, 2), (5, 2), (6, 7), (7, 8), (8, 4), (9, 6), (10, 15), (11, 7), (12, 14), (13, 5), (14, 2), (15, 2)]",0.01595163345336914
29,[],"[(3, 12), (7, 11), (13, 15)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 2), (5, 2), (6, 7), (7, 11), (8, 4), (9, 6), (10, 15), (11, 7), (12, 14), (13, 15), (14, 2), (15, 2)]",0.010445594787597656
30,[],"[(5, 14), (11, 0)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 2), (5, 14), (6, 7), (7, 11), (8, 4), (9, 6), (10, 15), (11, 0), (12, 14), (13, 15), (14, 2), (15, 2)]",0.010819196701049805
31,[],"[(1, 6), (2, 10), (15, 12)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 2), (5, 14), (6, 7), (7, 11), (8, 4), (9, 6), (10, 15), (11, 0), (12, 14), (13, 15), (14, 2), (15, 12)]",0.01014852523803711
32,[],"[(6, 6)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 2), (5, 14), (6, 6), (7, 11), (8, 4), (9, 6), (10, 15), (11, 0), (12, 14), (13, 15), (14, 2), (15, 12)]",0.010735273361206055
33,[],[],"[(0, 3), (1, 6), (2, 10), (3, 12), (4, 2), (5, 14), (6, 6), (7, 11), (8, 4), (9, 6), (10, 15), (11, 0), (12, 14), (13, 15), (14, 2), (15, 12)]",0.010821819305419922
34,[],"[(0, 1), (2, 11)]","[(0, 1), (1, 6), (2, 11), (3, 12), (4, 2), (5, 14), (6, 6), (7, 11), (8, 4), (9, 6), (10, 15), (11, 0), (12, 14), (13, 15), (14, 2), (15, 12)]",0.016515016555786133
35,[],"[(14, 5)]","[(0, 1), (1, 6), (2, 11), (3, 12), (4, 2), (5, 14), (6, 6), (7, 11), (8, 4), (9, 6), (10, 15), (11, 0), (12, 14), (13, 15), (14, 5), (15, 12)]",0.011329889297485352
36,[],"[(7, 8)]","[(0, 1), (1, 6), (2, 11), (3, 12), (4, 2), (5, 14), (6, 6), (7, 8), (8, 4), (9, 6), (10, 15), (11, 0), (12, 14), (13, 15), (14, 5), (15, 12)]",0.011244058609008789
37,[],"[(4, 13)]","[(0, 1), (1, 6), (2, 11), (3, 12), (4, 13), (5, 14), (6, 6), (7, 8), (8, 4), (9, 6), (10, 15), (11, 0), (12, 14), (13, 15), (14, 5), (15, 12)]",0.01044774055480957
38,[],"[(2, 10), (3, 11), (11, 6), (15, 12)]","[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 6), (7, 8), (8, 4), (9, 6), (10, 15), (11, 6), (12, 14), (13, 15), (14, 5), (15, 12)]",0.011704444885253906
39,[],"[(2, 13), (7, 10)]","[(0, 1), (1, 6), (2, 13), (3, 11), (4, 13), (5, 14), (6, 6), (7, 10), (8, 4), (9, 6), (10, 15), (11, 6), (12, 14), (13, 15), (14, 5), (15, 12)]",0.019962549209594727
40,[],[],"[(0, 1), (1, 6), (2, 13), (3, 11), (4, 13), (5, 14), (6, 6), (7, 10), (8, 4), (9, 6), (10, 15), (11, 6), (12, 14), (13, 15), (14, 5), (15, 12)]",0.011170625686645508
41,[],[],"[(0, 1), (1, 6), (2, 13), (3, 11), (4, 13), (5, 14), (6, 6), (7, 10), (8, 4), (9, 6), (10, 15), (11, 6), (12, 14), (13, 15), (14, 5), (15, 12)]",0.010551929473876953
42,[],"[(9, 6), (10, 7), (15, 15)]","[(0, 1), (1, 6), (2, 13), (3, 11), (4, 13), (5, 14), (6, 6), (7, 10), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.011447668075561523
43,[],"[(7, 11)]","[(0, 1), (1, 6), (2, 13), (3, 11), (4, 13), (5, 14), (6, 6), (None, None), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.013327598571777344
44,[],"[(7, 2), (8, 4)]","[(0, 1), (1, 6), (2, 13), (3, 11), (4, 13), (5, 14), (6, 6), (7, 2), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.01693868637084961
45,[],"[(2, 10)]","[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 6), (7, 2), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.010848283767700195
46,[],"[(1, 6), (6, 0), (7, 1), (13, 15)]","[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 0), (7, 2), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.011629343032836914
47,[],"[(3, 11), (5, 14), (6, 9), (7, 0)]","[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 0), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.019231319427490234
48,[],"[(12, 14)]","[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 0), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.01195383071899414
49,[],[],"[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 0), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.018087148666381836
50,[],[],"[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 0), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.010354042053222656
51,[],[],"[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 0), (8, 4), (9, 6), (10, 7), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.011841773986816406
52,[],"[(10, 1)]","[(0, 1), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 0), (8, 4), (9, 6), (None, None), (11, 6), (12, 14), (13, 15), (14, 5), (15, 15)]",0.010122060775756836
53,[],"[(0, 15), (7, 2), (8, 0), (10, 7), (11, 9)]","[(None, None), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 6), (10, 7), (None, None), (12, 14), (13, 15), (14, 5), (15, 15)]",0.010890722274780273
54,[],"[(0, 3), (11, 6), (14, 6)]","[(0, 3), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 6), (10, 7), (None, None), (12, 14), (13, 15), (None, None), (15, 15)]",0.010843038558959961
55,[],"[(7, 11), (11, 4), (14, 5)]","[(0, 3), (1, 6), (2, 10), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 6), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 15)]",0.010312080383300781
56,[],"[(2, 11), (9, 1)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 15)]",0.010282278060913086
57,[],[],"[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 15)]",0.011037588119506836
58,[],"[(15, 2)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (None, None)]",0.016629695892333984
59,[],"[(10, 7), (13, 15), (15, 6)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.01989603042602539
60,[],"[(8, 0), (9, 14)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 9), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.019572734832763672
61,[],"[(6, 8)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 8), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.010909080505371094
62,[],[],"[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 14), (6, 8), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.010293006896972656
63,[],"[(5, 12)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 12), (6, 8), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (12, 14), (13, 15), (14, 5), (15, 6)]",0.010285377502441406
64,[],"[(12, 14), (13, 15)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 12), (6, 8), (7, 2), (8, 0), (9, 14), (10, 7), (11, 4), (None, None), (13, 15), (14, 5), (15, 6)]",0.010535240173339844
65,[],"[(6, 9), (7, 8), (12, 3)]","[(0, 3), (1, 6), (2, 11), (3, 11), (4, 13), (5, 12), (6, 9), (7, 8), (8, 0), (9, 14), (10, 7), (11, 4), (12, 3), (13, 15), (14, 5), (15, 6)]",0.011531829833984375
66,[],"[(2, 10), (3, 11)]","[(0, 3), (1, 6), (2, 10), (3, 11), (4, 13), (5, 12), (6, 9), (7, 8), (8, 0), (9, 14), (10, 7), (11, 4), (12, 3), (13, 15), (14, 5), (15, 6)]",0.011795282363891602
67,[],"[(11, 11)]","[(0, 3), (1, 6), (2, 10), (3, 11), (4, 13), (5, 12), (6, 9), (7, 8), (8, 0), (9, 14), (10, 7), (11, 11), (12, 3), (13, 15), (14, 5), (15, 6)]",0.019444704055786133
68,[],"[(1, 15), (4, 14), (8, 4)]","[(0, 3), (1, 15), (2, 10), (3, 11), (4, 14), (5, 12), (6, 9), (7, 8), (8, 4), (9, 14), (10, 7), (11, 11), (12, 3), (13, 15), (14, 5), (15, 6)]",0.017562150955200195
