interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,"[2327.8664038117226, 454.0891471920266, 3121.8625785998443]","[0, 0, 0]","[1, 1, 1]","[-1, -1, -1]","[4029.0, 4029.0, 4029.0]","[(335.544, 0.016466666666666664, 0.009866666666666668), (29.621666666666673, 4.1293999999999995, 4.1416), (0.0, 0.0, 0.0)]","[(3, 0.0, 0.015905555555555555), (3, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.0)]","[8, 10, 12]","[True, True, True]"
2,"[2503.141050686958, 1315.5229705416066, 3065.1014408071205, 1235.3895160495777, 599.3113997345512]","[0, 0, 0, 1, 1]","[1, 1, 1, 2, 2]","[-1, -1, -1, -1, -1]","[2608.3090400726755, 1420.6909599273242, 4029.0, 4029.0, 4029.0]","[(427.8186, 0.011466666666666667, 0.006066666666666666), (29.53446666666667, 12.107333333333337, 12.139266666666664), (0.0, 0.0, 0.0), (267.736, 0.28726666666666667, 0.0504), (0.0, 0.004733333333333333, 0.00013333333333333334)]","[(3, 1.666666666666667e-05, 0.017866666666666666), (3, 0.0, 1.6666666666666667e-05), (2, 0.0, 0.0), (1, 0.0, 0.0011611111111111112), (3, 0.0, 0.0014222222222222223)]","[0, 0, 12, 2, 11]","[True, True, True, True, True]"
3,"[2497.663717972107, 1135.2228679800667, 2911.512479720924, 1235.3895160495777, 620.0796165570354, 599.3113997345512, 731.2170323801198, 884.1326637750533, 454.0891471920266, 454.0891471920266, 1364.7688631682443, 652.7155422502]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2]","[1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[2936.9740878609537, 2355.0668603940203, 4029.0, 2322.154949746271, 1706.845050253729, 4029.0, 4029.0, 4029.0, 1673.93313960598, 4029.0, 4029.0, 1092.0259121390463]","[(419.43, 0.0086, 0.004933333333333334), (31.3258, 10.272666666666666, 10.300266666666666), (0.0, 0.0, 0.0), (279.6198, 0.2951333333333333, 0.05206666666666667), (0.0, 0.004666666666666667, 6.666666666666668e-05), (0.0, 0.004733333333333333, 0.00013333333333333334), (178.9568, 0.0019333333333333331, 0.0014666666666666665), (128.62506666666664, 0.00046666666666666666, 0.0014), (29.621666666666673, 4.1293999999999995, 4.1416), (29.621666666666673, 4.1293999999999995, 4.1416), (402.65259999999995, 0.0, 0.0), (433.41086666666666, 0.0023333333333333335, 0.0030666666666666668)]","[(3, 0.0, 0.021744444444444445), (3, 0.0, 4.4444444444444447e-05), (2, 0.0, 0.0), (1, 0.0, 0.0009000000000000001), (3, 0.0, 0.001661111111111111), (3, 0.0, 0.0014222222222222223), (1, 0.36411666666666676, 0.01315), (2, 0.0705, 0.025599999999999998), (3, 0.0, 1.6666666666666667e-05), (3, 0.0, 1.6666666666666667e-05), (3, 0.1085, 0.004066666666666666), (1, 0.011300000000000001, 0.0010833333333333333)]","[3, 10, 12, 0, 0, 14, 8, 11, 10, 1, 7, 3]","[True, True, True, True, True, True, True, True, True, True, True, True]"
4,"[2664.722365775066, 1145.2395403445964, 3145.2348118086134, 1128.5450173642087, 578.5431829120669, 620.0796165570354, 657.7614400862267, 845.5631180399, 1315.5229705416066, 1315.5229705416066, 1691.1266347954333, 634.9142092797401, 2251.868135745323, 2006.6731654957287, 1071.7839430047102, 80.13338746088]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[3029.404078247663, 1929.358284901495, 4029.0, 1148.946880856223, 1993.7317831775158, 2035.2682168224842, 678.1633035782411, 865.9649815319144, 2099.6417150985053, 1335.924834033621, 4029.0, 999.5959217523371, 4029.0, 4029.0, 4029.0, 4029.0]","[(455.7806, 0.011333333333333336, 0.005066666666666666), (31.238400000000002, 10.958333333333334, 10.986266666666667), (0.0, 0.0, 0.0), (271.93059999999997, 0.26839999999999997, 0.0528), (0.0, 0.004533333333333333, 0.0), (0.0, 0.004666666666666667, 6.666666666666668e-05), (192.93779999999998, 0.003933333333333333, 0.0014666666666666665), (120.23626666666664, 0.0, 0.001066666666666667), (29.53446666666667, 12.107333333333337, 12.139266666666664), (29.53446666666667, 12.107333333333337, 12.139266666666664), (339.738, 0.0, 0.0), (398.45840000000004, 0.0016666666666666668, 0.0003333333333333333), (100.6632, 0.009333333333333334, 0.0108), (306.18366666666674, 0.5942000000000001, 0.19193333333333337), (125.829, 0.0033333333333333335, 0.0012666666666666666), (75.84646666666666, 0.0, 0.0)]","[(3, 0.0, 0.016805555555555553), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0), (1, 0.0, 0.00115), (3, 0.0, 0.0012944444444444446), (3, 0.0, 0.001661111111111111), (1, 0.26766666666666666, 0.015294444444444444), (2, 1.666666666666667e-05, 0.0006111111111111112), (3, 0.0, 1.6666666666666667e-05), (3, 0.0, 1.6666666666666667e-05), (3, 0.2122, 0.00935), (1, 0.015133333333333334, 0.0009777777777777777), (2, 0.0, 0.002416666666666667), (3, 0.011550000000000001, 0.43049444444444446), (3, 0.0, 0.0006444444444444443), (2, 0.00015, 0.0002722222222222222)]","[3, 10, 12, 0, 14, 14, 0, 0, 10, 0, 7, 3, 15, 6, 5, 8]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
5,"[2478.4930534701275, 1218.6951376844836, 2988.3069602640226, 1135.2227985320444, 581.5100710295644, 578.5431829120669, 711.18368902724, 809.96046043822, 1135.2228679800667, 1135.2228679800667, 1254.9939763481898, 655.6824310786097, 2266.7025766922616, 1352.2506356501997, 1068.445052216534, 86.81116974928666]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 2056.2361348522086, 4029.0, 1235.4884940108366, 681.7757665083566, 1948.1797469424134, 2080.8202530575863, 4029.0, 1972.7638651477916, 4029.0, 4029.0, 755.9481265574019, 4029.0, 4029.0, 1168.710747695326, 187.07686522807882]","[(332.7478, 0.012333333333333335, 0.0056), (30.75773333333333, 11.004733333333336, 11.030333333333335), (0.0, 0.0, 0.0), (277.5227333333333, 0.25306666666666666, 0.0498), (0.0, 0.004733333333333333, 0.0), (0.0, 0.004533333333333333, 0.0), (134.2176, 0.002, 0.0014), (72.7008, 6.666666666666668e-05, 0.0015333333333333334), (31.3258, 10.272666666666666, 10.300266666666666), (31.3258, 10.272666666666666, 10.300266666666666), (343.93240000000003, 0.0, 0.0), (349.5247333333333, 0.0023333333333333335, 0.003), (150.9948, 0.009333333333333334, 0.010933333333333335), (281.018, 0.42160000000000003, 0.13533333333333333), (170.56820000000002, 0.0034, 0.0014666666666666665), (71.827, 0.0, 0.0)]","[(3, 0.0, 0.021144444444444445), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0), (1, 0.0, 0.001172222222222222), (3, 0.0, 0.0012333333333333335), (3, 0.0, 0.0012944444444444446), (1, 0.2701, 0.013050000000000004), (2, 0.0, 0.0005666666666666668), (3, 0.0, 4.4444444444444447e-05), (3, 0.0, 4.4444444444444447e-05), (3, 0.020033333333333334, 0.0038777777777777777), (1, 0.01145, 0.0009944444444444447), (2, 0.0, 0.0026888888888888887), (3, 1.666666666666667e-05, 0.2272388888888889), (3, 0.0, 0.0005666666666666666), (2, 0.09475, 0.017716666666666665)]","[3, 10, 12, 0, 0, 14, 14, 2, 10, 1, 7, 0, 15, 6, 0, 0]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
6,"[2629.1197031285333, 1191.9840113790701, 3008.340303014396, 1208.6783913782356, 578.5431829120669, 581.5100710295644, 647.7447684097866, 1317.2983312621604, 1145.2395403445964, 1145.2395403445964, 1266.8615316800874, 640.84798693656, 2248.9012475559352, 1409.0117734429248, 1095.1561785219467, 0]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 2037.8722355172367, 4029.0, 1299.2231934404442, 1979.89920725114, 672.0548730917731, 2049.10079274886, 4029.0, 1991.127764482763, 1235.784342406805, 4029.0, 731.3927889987687, 4029.0, 4029.0, 4029.0, 90.54480206220869]","[(377.487, 0.011333333333333336, 0.0054), (30.932599999999997, 11.007200000000001, 11.033333333333335), (0.0, 0.0, 0.0), (304.0866, 0.2961333333333333, 0.05726666666666666), (0.0, 0.004733333333333333, 6.666666666666668e-05), (0.0, 0.004733333333333333, 0.0), (226.49220000000003, 0.0016666666666666668, 0.0014), (75.49706666666667, 0.0, 0.001066666666666667), (31.238400000000002, 10.958333333333334, 10.986266666666667), (31.238400000000002, 10.958333333333334, 10.986266666666667), (306.18359999999996, 0.0, 0.0), (475.3542666666667, 0.0017333333333333335, 0.0003333333333333333), (150.9948, 0.009266666666666668, 0.0106), (255.852, 0.49213333333333326, 0.15953333333333333), (170.56820000000002, 0.0033333333333333335, 0.0014), (107.65333333333331, 0.0, 0.0)]","[(3, 0.0, 0.030616666666666664), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0), (1, 0.0, 0.0010444444444444444), (3, 0.0, 0.0012666666666666666), (3, 0.0, 0.0012333333333333335), (1, 0.27021666666666666, 0.012733333333333334), (2, 1.666666666666667e-05, 0.0007), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 2.2222222222222223e-05), (3, 0.008033333333333333, 0.003372222222222222), (1, 0.015333333333333336, 0.0008833333333333333), (2, 0.0, 0.0023555555555555556), (3, 8.333333333333333e-05, 0.28617777777777775), (3, 0.0, 0.0008388888888888889), (2, 0.0006, 0.00018333333333333334)]","[3, 10, 12, 0, 14, 0, 14, 2, 10, 0, 7, 0, 15, 6, 5, 0]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
7,"[2505.879717044383, 1198.6617929554236, 3068.4403312655163, 1225.3728442978247, 593.3776234995555, 578.5431829120669, 724.5392512624934, 1459.7089616688797, 1218.6951376844836, 1218.6951376844836, 1204.5568661876246, 652.7155422502, 2254.8350239347114, 1816.3564093671823, 1105.1728508864767, 0, 450.7502254398]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3]","[1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 7]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 7, -1]","[4029.0, 2004.48332763547, 4029.0, 1249.8291013687096, 617.8338805704404, 1941.5019658247868, 2087.4980341752134, 1484.1652187397647, 2024.51667236453, 4029.0, 4029.0, 677.1717993210849, 4029.0, 4029.0, 4029.0, 0, 4029.0]","[(321.563, 0.0134, 0.007933333333333334), (29.2284, 11.277066666666668, 11.304066666666667), (0.0, 0.0, 0.0), (292.20259999999996, 0.28073333333333333, 0.056799999999999996), (67.1088, 0.004666666666666667, 6.666666666666668e-05), (0.0, 0.004733333333333333, 6.666666666666668e-05), (271.2314, 0.0722, 0.0028666666666666667), (114.64386666666668, 0.0, 0.0011333333333333332), (30.75773333333333, 11.004733333333336, 11.030333333333335), (30.75773333333333, 11.004733333333336, 11.030333333333335), (322.961, 0.0, 0.0), (552.2496, 0.0023333333333333335, 0.0028666666666666667), (184.5492, 0.009333333333333334, 0.0108), (226.49179999999998, 0.6, 0.19540000000000002), (128.6252, 0.0032, 0.0014), 0, (184.549, 0.0, 0.0)]","[(3, 0.0, 0.017744444444444448), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0), (1, 0.0, 0.001027777777777778), (3, 0.0, 0.0012222222222222224), (3, 0.0, 0.0012666666666666666), (1, 0.24863333333333332, 0.04668333333333334), (2, 0.0, 0.0006555555555555555), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 2.2222222222222223e-05), (3, 0.007916666666666667, 0.003444444444444445), (1, 0.0116, 0.001061111111111111), (2, 0.0, 0.002338888888888889), (3, 0.00016666666666666666, 0.37338333333333334), (3, 0.0, 0.0005555555555555557), 0, (1, 0.0, 0.00029444444444444445)]","[3, 10, 12, 0, 0, 14, 14, 0, 10, 8, 7, 0, 15, 6, 5, -1, 13]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True]"
8,"[2519.573048831511, 1178.6284482263632, 0, 1228.7117348817424, 572.6094066770711, 593.3776234995555, 737.8948134977464, 845.5631180399, 1191.9840113790701, 1191.9840113790701, 1252.0270875152155, 623.0466539661, 2248.9012475559352, 2230.3788262082307, 1078.4617245810634, 0, 570.9502855570801]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3]","[1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 7]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 7, -1]","[4029.0, 1540.5544927988617, 4029.0, 1360.6691351352458, 934.5354512495696, 1942.2414050009045, 2086.7585949990953, 4029.0, 1553.9100559515687, 4029.0, 4029.0, 755.0040542196035, 4029.0, 4029.0, 1210.419124834567, 0, 702.9076858105835]","[(343.9326, 0.013333333333333336, 0.0074666666666666675), (27.96146666666667, 11.744666666666664, 11.770666666666664), (0.0, 0.0, 0.0), (276.8236, 0.27726666666666666, 0.054666666666666655), (22.3696, 0.0048, 0.0), (67.1088, 0.004666666666666667, 6.666666666666668e-05), (164.9758, 0.0021333333333333334, 0.0014666666666666665), (92.27413333333331, 6.666666666666668e-05, 0.0013333333333333333), (30.932599999999997, 11.007200000000001, 11.033333333333335), (30.932599999999997, 11.007200000000001, 11.033333333333335), (301.98940000000005, 0.0, 0.0), (503.316, 0.0016666666666666668, 0.0003333333333333333), (218.1036, 0.009266666666666668, 0.010533333333333334), (209.7148, 0.7276, 0.23566666666666664), (134.2176, 0.0033333333333333335, 0.0014), 0, (225.0938, 0.0, 0.0)]","[(3, 0.0, 0.017083333333333332), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0), (1, 0.0, 0.0013833333333333334), (3, 0.0, 0.0012777777777777776), (3, 0.0, 0.0012222222222222224), (1, 0.2376, 0.013488888888888885), (2, 1.666666666666667e-05, 0.003455555555555556), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 2.2222222222222223e-05), (3, 0.00785, 0.003533333333333333), (1, 0.015533333333333333, 0.0008555555555555556), (2, 0.0, 0.0022555555555555554), (3, 0.00021666666666666668, 0.5190777777777777), (3, 0.0, 0.0007111111111111111), 0, (1, 0.0, 0.0002833333333333333)]","[3, 10, 12, 0, 10, 14, 14, 2, 10, 8, 7, 0, 15, 6, 0, -1, 0]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True]"
9,"[2440.1517244661704, 0, 0, 1318.8617806475224, 664.582938319502, 0, 714.5225795860533, 833.6955655060068, 1198.6617929554236, 1198.6617929554236, 1225.3250880184453, 661.6162087354301, 2201.431036525731, 1318.8617310662446, 1058.4283798520034, 0, 500.8335838220001, 1763.7010974382797]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4]","[1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 7, 9]","[-1, -1, 9, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 7, -1, -1]","[4029.0, 1415.1691035222882, 0, 1328.74376524143, 674.4649229134096, 1657.2387102069733, 2371.7612897930267, 843.5775500999144, 2613.8308964777116, 4029.0, 4029.0, 671.4981933293377, 4029.0, 4029.0, 4029.0, 0, 510.7155684159078, 4029.0]","[(478.1502, 0.012199999999999999, 0.007066666666666666), (28.00533333333333, 10.849266666666667, 10.8736), 0, (332.04866666666675, 0.30326666666666663, 0.05866666666666666), (78.29360000000001, 0.005933333333333334, 0.0014666666666666665), (22.3696, 0.0048, 0.0), (159.3834, 0.0022666666666666664, 0.0018), (76.89526666666666, 0.0, 0.001), (29.2284, 11.277066666666668, 11.304066666666667), (29.2284, 11.277066666666668, 11.304066666666667), (328.5532, 0.0, 0.0), (426.4208, 0.0021333333333333334, 0.002933333333333333), (268.4352, 0.009333333333333334, 0.0108), (255.852, 0.40273333333333333, 0.13053333333333333), (268.4352, 0.0032666666666666664, 0.0013333333333333333), 0, (191.5394, 0.0, 0.0), (39.146666666666654, 0.29753333333333337, 0.0019333333333333331)]","[(3, 0.0009, 0.02215), (3, 0.0, 1.6666666666666667e-05), 0, (1, 0.0, 0.0009222222222222221), (3, 0.0, 0.0033777777777777777), (3, 0.0, 0.0012777777777777776), (1, 0.27031666666666665, 0.012972222222222222), (2, 0.0, 0.0005055555555555555), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 2.2222222222222223e-05), (3, 0.007816666666666666, 0.003527777777777778), (1, 0.01175, 0.0009611111111111112), (2, 0.0, 0.0022944444444444444), (3, 5e-05, 0.20164999999999994), (3, 0.0, 0.00065), 0, (1, 1.666666666666667e-05, 0.0002611111111111111), (1, 0.003, 0.06097777777777777)]","[3, 10, -1, 0, 0, 14, 14, 0, 10, 8, 7, 0, 15, 6, 5, -1, 0, 12]","[True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True]"
10,"[2429.1970590364676, 0, 0, 1228.7117348817424, 626.0133927920311, 0, 707.8447984684265, 827.7617892390601, 1178.6284482263632, 1178.6284482263632, 1254.9939763481898, 634.9142092797401, 2248.9012475559352, 1425.7062257349019, 1075.1228337928867, 0, 474.12245935149326, 1385.7651479872202, 1646.6233023008167, 1763.7010974382797]","[0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4]","[1, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 7, 9, 10, 10]","[-1, 10, 9, -1, -1, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, 7, -1, -1, -1, -1]","[4029.0, 0, 0, 1259.8407366376498, 1738.192472282834, 0, 738.9738002243339, 858.8907909949676, 2290.807527717166, 4029.0, 4029.0, 666.0432110356476, 4029.0, 1904.0414617170425, 4029.0, 0, 505.25146110740076, 1825.5320252744702, 2124.9585382829573, 2203.4679747255295]","[(461.373, 0.013266666666666668, 0.0067333333333333325), 0, 0, (318.06759999999997, 0.2734, 0.057466666666666666), (44.7392, 0.004666666666666667, 6.666666666666668e-05), 0, (173.3644, 0.0022, 0.0016), (79.6912, 6.666666666666668e-05, 0.001), (27.96146666666667, 11.744666666666664, 11.770666666666664), (27.96146666666667, 11.744666666666664, 11.770666666666664), (282.41606666666667, 0.0, 0.0), (398.45840000000004, 0.0017333333333333335, 0.0004), (33.5544, 0.009266666666666668, 0.010666666666666666), (213.9092, 0.46873333333333334, 0.15180000000000002), (248.8618, 0.0033333333333333335, 0.0014), 0, (225.09366666666662, 0.0, 0.0), (65.71033333333331, 0.2166, 0.004533333333333333), (125.829, 0.9397333333333332, 0.7602666666666668), (39.146666666666654, 0.29753333333333337, 0.0019333333333333331)]","[(3, 0.0, 0.017055555555555553), 0, 0, (1, 0.0, 0.0007888888888888889), (3, 0.0, 0.0013444444444444443), 0, (1, 0.2694166666666667, 0.013116666666666667), (2, 1.666666666666667e-05, 0.0004111111111111111), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 2.2222222222222223e-05), (3, 0.00675, 0.003411111111111111), (1, 0.015733333333333332, 0.001), (2, 0.0, 0.0023555555555555556), (3, 3.3333333333333335e-05, 0.2765777777777778), (3, 0.0, 0.0008222222222222222), 0, (1, 0.0, 0.0002833333333333333), (1, 0.0002833333333333333, 0.09404444444444444), (2, 0.0, 0.009888888888888888), (1, 0.003, 0.06097777777777777)]","[3, -1, -1, 0, 10, -1, 0, 0, 10, 8, 7, 0, 15, 6, 5, -1, 0, 12, 6, 12]","[True, False, False, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True]"
