interval,selection,decision,schedule,schedulingtime
1,"[0, 1, 2, 3, 4, 5]","[(0, 14), (1, 10), (2, 10), (3, 11), (4, 2), (5, 7)]","[(0, 14), (1, 10), (2, 10), (3, 11), (4, 2), (5, 7), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.01815009117126465
2,[],"[(3, 0), (5, 14), (6, 14)]","[(0, 5), (1, 10), (2, 3), (3, 4), (4, 0), (5, 1), (6, 14), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.010379314422607422
3,[],"[(0, 3), (1, 6), (2, 12), (3, 11), (4, 14), (5, 4), (6, 6), (7, 1), (8, 13)]","[(0, 7), (1, 8), (2, 12), (3, 6), (4, 2), (5, 3), (6, 9), (7, 1), (8, 13), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.01698017120361328
4,[],"[(0, 15), (1, 6), (3, 11), (5, 14), (9, 11), (10, 3), (11, 14), (12, 9), (13, 2)]","[(0, 11), (1, 14), (2, 1), (3, 10), (4, 4), (5, 5), (6, 15), (7, 0), (8, 2), (9, 11), (10, 3), (11, 14), (12, 9), (None, None), (None, None), (None, None)]",0.010499715805053711
5,[],"[(0, 2), (1, 4), (2, 3), (3, 12), (4, 11), (5, 4), (6, 14), (8, 15), (11, 7), (12, 14), (13, 15), (14, 5), (15, 15)]","[(0, 2), (None, None), (2, 7), (3, 10), (4, 13), (5, 0), (6, 5), (7, 6), (8, 8), (9, 3), (10, 12), (11, 4), (12, 1), (13, 15), (14, 5), (15, 15)]",0.014599800109863281
6,[],"[(0, 1), (1, 6), (2, 10), (3, 8), (5, 14), (6, 9), (7, 11), (8, 0), (9, 8), (10, 14), (12, 9)]","[(0, 14), (1, 6), (2, 4), (3, 10), (4, 8), (5, 9), (6, 9), (7, 3), (8, 5), (9, 0), (10, 7), (11, 1), (12, 11), (13, 15), (14, 2), (15, 10)]",0.021434545516967773
7,[],"[(0, 15), (2, 10), (3, 11), (4, 2), (5, 4), (7, 8), (8, 0), (9, 14)]","[(0, 14), (1, 4), (2, 2), (3, 11), (4, 8), (5, 4), (6, 7), (7, 1), (8, 3), (9, 12), (10, 5), (11, 13), (12, 9), (13, 11), (14, 0), (15, 10)]",0.010512828826904297
8,[],"[(2, 10), (4, 2), (5, 12), (8, 0), (12, 15)]","[(0, 11), (1, 1), (2, 15), (3, 11), (4, 8), (5, 12), (6, 3), (7, 9), (8, 0), (9, 12), (10, 2), (11, 10), (12, 15), (13, 7), (14, 6), (15, 5)]",0.010694026947021484
9,[],"[(0, 8), (1, 6), (2, 10), (4, 2), (6, 0), (7, 1), (9, 6), (10, 3), (11, 7)]","[(0, 6), (1, 9), (2, 10), (3, 11), (4, 8), (5, 12), (6, 14), (7, 1), (8, 4), (9, 12), (10, 13), (11, 5), (12, 15), (13, 2), (14, 1), (15, 0)]",0.01519322395324707
10,[],"[(0, 15), (4, 2), (9, 6), (10, 3)]","[(0, 4), (1, 6), (2, 10), (3, 9), (4, 8), (5, 12), (6, 14), (7, 1), (8, 1), (9, 12), (10, 13), (11, 2), (12, 15), (13, 0), (14, 7), (15, 3)]",0.010895729064941406
11,[],"[(0, 15), (4, 2), (8, 0), (9, 13), (10, 7), (11, 7), (13, 15), (14, 0)]","[(0, 1), (1, 6), (2, 4), (3, 3), (4, 8), (5, 12), (6, 9), (7, 7), (8, 0), (9, 12), (10, 13), (11, 11), (12, 10), (13, 5), (14, 0), (15, 3)]",0.01660776138305664
12,[],"[(2, 10), (3, 11), (4, 2), (7, 8), (9, 8), (10, 3), (11, 8), (13, 5), (14, 5)]","[(0, 1), (1, 15), (2, 14), (3, 11), (4, 8), (5, 12), (6, 1), (7, 8), (8, 0), (9, 4), (10, 6), (None, None), (12, 3), (13, 5), (14, 2), (15, 11)]",0.014819145202636719
13,[],"[(2, 12), (4, 6), (6, 8), (9, 8), (10, 7), (11, 1), (12, 14), (13, 15)]","[(0, 9), (1, 15), (2, 12), (3, 11), (4, 8), (5, 2), (6, 1), (7, 8), (8, 7), (9, 13), (10, 0), (None, None), (12, 10), (13, 5), (14, 2), (15, 11)]",0.011226892471313477
14,[],"[(0, 15), (1, 6), (4, 2), (5, 4), (6, 8), (8, 0), (11, 1), (15, 13)]","[(0, 15), (1, 15), (2, 5), (3, 2), (4, 8), (5, 4), (6, 4), (7, 8), (8, 0), (9, 13), (10, 3), (11, 1), (12, 10), (13, 14), (14, 6), (None, None)]",0.011220932006835938
15,[],"[(1, 6), (2, 10), (3, 11), (4, 2), (7, 8), (13, 10), (15, 12)]","[(0, 15), (1, 15), (2, 12), (3, 11), (4, 8), (5, 4), (6, 4), (None, None), (8, 0), (9, 2), (10, 3), (11, 9), (12, 1), (13, 14), (14, 6), (15, 12)]",0.010615110397338867
16,[],"[(2, 3), (4, 2), (6, 11), (7, 8), (9, 8), (12, 14), (13, 15)]","[(0, 6), (1, 15), (None, None), (3, 11), (4, 8), (5, 0), (None, None), (None, None), (8, 5), (9, 10), (10, 13), (11, 3), (12, 7), (13, 4), (14, 1), (15, 12)]",0.01082158088684082
17,[],"[(0, 15), (1, 6), (2, 12), (4, 14), (5, 14), (6, 7), (7, 10), (8, 0), (9, 1), (10, 7), (12, 14), (13, 15), (15, 0)]","[(0, 12), (1, 6), (2, 12), (3, 11), (4, 15), (5, 14), (None, None), (7, 10), (8, 0), (9, 10), (10, 13), (11, 2), (12, 7), (13, 9), (14, 1), (None, None)]",0.014582395553588867
18,[],"[(0, 15), (4, 2), (6, 11), (9, 1), (10, 7), (11, 7), (12, 14), (15, 7)]","[(0, 1), (1, 6), (2, 12), (3, 11), (4, 15), (5, 14), (None, None), (7, 10), (8, 0), (9, 13), (10, 7), (11, 2), (12, 5), (13, 8), (14, 3), (15, 7)]",0.015709877014160156
19,[],"[(3, 11), (4, 11), (6, 6), (11, 7), (13, 2), (14, 5)]","[(0, 4), (1, 0), (2, 12), (3, 11), (4, 15), (5, 7), (6, 6), (7, 2), (8, 3), (9, 13), (10, 7), (11, 9), (12, 5), (13, 2), (14, 5), (15, 1)]",0.010765552520751953
20,[],"[(0, 15), (1, 6), (4, 14), (8, 13)]","[(None, None), (1, 4), (2, 12), (3, 11), (4, 6), (5, 7), (6, 0), (7, 2), (8, 3), (9, 13), (10, 1), (11, 2), (12, 14), (13, 10), (14, 5), (15, 8)]",0.01000213623046875
21,[],"[(0, 13), (4, 13), (6, 6), (7, 0), (8, 0), (10, 7), (11, 7)]","[(None, None), (1, 4), (2, 8), (3, 7), (4, 6), (5, 5), (6, 9), (7, 0), (8, 3), (9, 13), (10, 15), (11, 2), (12, 14), (13, 10), (14, 5), (15, 8)]",0.021567344665527344
