interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,6,6,6,6,0
2,7,1,1,6,0
3,10,3,3,9,0
4,15,5,5,13,1
5,23,8,5,14,5
6,29,6,1,14,10
7,36,7,0,13,17
8,41,5,2,13,20
9,47,6,2,11,24
10,52,5,0,8,29
11,55,3,1,10,31
12,56,1,2,11,31
13,60,4,1,7,35
14,63,3,2,10,37
15,68,5,2,6,41
16,70,2,3,9,43
17,77,7,6,9,46
18,84,7,3,7,51
19,87,3,3,11,51
20,91,4,1,8,55
21,95,4,1,6,59
22,101,6,1,6,64
23,105,4,1,8,68
24,109,4,3,9,71
25,113,4,3,10,74
26,118,5,4,12,76
27,122,4,5,10,77
28,126,4,2,9,79
29,133,7,1,7,85
30,137,4,2,11,89
31,143,6,3,9,93
32,147,4,2,8,95
33,152,5,1,8,99
34,157,5,1,6,104
35,162,5,3,13,106
36,164,2,2,11,106
37,166,2,1,13,107
38,169,3,0,8,110
39,173,4,1,11,113
40,176,3,2,12,115
41,178,2,1,12,116
42,184,6,1,10,121
43,190,6,2,8,125
44,195,5,1,12,129
45,200,5,4,14,130
46,205,5,1,10,134
47,208,3,2,9,135
48,215,7,1,7,142
49,219,4,4,13,143
50,222,3,2,13,144
51,227,5,1,8,149
52,229,2,2,12,149
53,234,5,1,9,154
54,238,4,3,13,155
55,240,2,0,12,157
56,248,8,3,10,162
57,253,5,3,7,164
58,261,8,3,9,170
59,266,5,4,13,171
60,271,5,1,12,175
61,277,6,1,11,180
62,284,7,1,9,186
63,288,4,1,14,189
64,293,5,3,10,191
65,298,5,1,7,195
66,303,5,2,9,198
67,309,6,0,11,204
68,313,4,3,12,205
69,320,7,4,12,208
70,323,3,4,7,209
71,327,4,3,8,210
72,331,4,3,11,212
73,338,7,2,10,217
74,342,4,1,10,220
75,345,3,3,9,220
76,349,4,1,11,224
77,353,4,3,13,226
78,355,2,2,11,226
79,359,4,1,13,229
80,363,4,2,15,231
81,369,6,1,12,236
82,373,4,3,13,237
83,379,6,2,10,241
84,382,3,2,10,242
85,385,3,1,12,244
86,390,5,3,14,246
87,394,4,3,11,248
88,400,6,4,12,250
89,403,3,4,8,251
90,409,6,3,10,254
91,414,5,1,11,258
92,420,6,1,11,263
93,425,5,0,13,268
94,432,7,2,13,273
95,437,5,2,15,277
96,444,7,4,13,281
97,448,4,3,9,282
98,453,5,2,8,286
99,456,3,2,10,288
100,461,5,2,9,291
101,463,2,2,11,291
