interval,numdestroyed,nummigrations,energy,energytotalinterval,energypercontainerinterval,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,3,"[735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 795.0, 795.0, 795.0]",14400.0,4800.0,[],0.0,[],0.0,0,0.0,[]
2,0,3,"[735.0, 735.0, 1425.0, 735.0, 735.0, 735.0, 735.0, 735.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 795.0, 795.0]",15090.0,3018.0,[],0.0,[],0.0,0,0.0,[]
3,0,4,"[735.0, 735.0, 1425.0, 735.0, 735.0, 735.0, 735.0, 735.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",16530.0,2066.25,[],0.0,[],0.0,0,0.0,[]
4,0,6,"[735.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 735.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0]",19320.0,1486.1538461538462,[],0.0,[],0.0,0,0.0,[]
5,0,3,"[735.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 735.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20040.0,1252.5,[],0.0,[],0.0,0,0.0,[]
6,0,0,"[735.0, 1425.0, 1424.5457930007447, 735.0, 1425.0, 735.0, 735.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20039.545793000747,1252.4716120625467,[],0.0,[],0.0,0,0.0,[]
7,2,1,"[735.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 735.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20040.0,1336.0,"[1732.4543549388538, 1262.0584574550849]",1497.2564061969692,"[0.03711937999999999, 0.042781759999999995]",0.03995056999999999,0,0.0,"[1, 1]"
8,2,2,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 735.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20010.0,1334.0,"[1189.549949604392, 934.8430609498566]",1062.1965052771243,"[0.1789568, 0.0]",0.0894784,0,0.0,"[1, 1]"
9,0,0,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 735.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20010.0,1334.0,[],0.0,[],0.0,0,0.0,[]
10,3,5,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",21390.0,1336.875,"[2662.409349010292, 1912.5622550552948, 1872.3703643199183]",2149.113989461835,"[0.40202334000000006, 0.0, 0.03837768]",0.14680034,0,0.0,"[1, 1, 1]"
