interval,selection,decision,schedule,schedulingtime
1,"[0, 1, 2]","[(0, 9), (1, 8), (2, 10)]","[(0, 9), (1, 8), (2, 10), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.014020681381225586
2,[],"[(1, 10), (3, 2), (4, 11)]","[(0, 9), (1, 10), (2, 10), (3, 2), (4, 11), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.019831418991088867
3,[],"[(2, 12), (5, 14), (6, 14), (7, 2)]","[(0, 9), (1, 10), (2, 12), (3, 2), (4, 11), (5, 14), (6, 14), (7, 2), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.022778749465942383
4,[],"[(1, 11), (8, 10), (9, 1), (10, 7), (11, 4), (12, 13)]","[(0, 9), (1, 11), (2, 12), (3, 2), (4, 11), (5, 14), (6, 14), (7, 2), (8, 10), (9, 1), (10, 7), (11, 4), (12, 13), (None, None), (None, None), (None, None)]",0.0202333927154541
5,[],"[(13, 9), (14, 15), (15, 1)]","[(0, 9), (1, 11), (2, 12), (3, 2), (4, 11), (5, 14), (6, 14), (7, 2), (8, 10), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.010077953338623047
6,[],[],"[(0, 9), (1, 11), (2, 12), (3, 2), (4, 11), (5, 14), (6, 14), (7, 2), (8, 10), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.016238689422607422
7,[],"[(0, 15), (4, 14)]","[(0, 15), (1, 11), (2, 12), (3, 2), (None, None), (5, 14), (6, 14), (7, 2), (8, 10), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.011680364608764648
8,[],"[(4, 14), (8, 0), (10, 7)]","[(0, 15), (1, 11), (2, 12), (3, 2), (None, None), (5, 14), (6, 14), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.015012502670288086
9,[],"[(4, 7)]","[(0, 15), (1, 11), (2, 12), (3, 2), (None, None), (5, 14), (6, 14), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.013567686080932617
10,[],"[(1, 6), (3, 11), (4, 14), (5, 5), (6, 11)]","[(0, 15), (1, 6), (2, 12), (3, 11), (4, 14), (5, 5), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.015302419662475586
11,[],"[(3, 12)]","[(0, 15), (1, 6), (2, 12), (3, 12), (4, 14), (5, 5), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.014989614486694336
12,[],[],"[(0, 15), (1, 6), (2, 12), (3, 12), (4, 14), (5, 5), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.015726566314697266
13,[],"[(2, 11)]","[(0, 15), (1, 6), (2, 11), (3, 12), (4, 14), (5, 5), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 13), (13, 9), (14, 15), (15, 1)]",0.03620171546936035
14,[],"[(12, 14), (14, 5)]","[(0, 15), (1, 6), (2, 11), (3, 12), (4, 14), (5, 5), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 9), (14, 5), (15, 1)]",0.011185646057128906
15,[],[],"[(0, 15), (1, 6), (2, 11), (3, 12), (4, 14), (5, 5), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 9), (14, 5), (15, 1)]",0.010913372039794922
16,[],"[(5, 14), (14, 5)]","[(0, 15), (1, 6), (2, 11), (3, 12), (4, 14), (5, 14), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 9), (14, 5), (15, 1)]",0.019960403442382812
17,[],[],"[(0, 15), (1, 6), (2, 11), (3, 12), (4, 14), (5, 14), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 9), (14, 5), (15, 1)]",0.013361692428588867
18,[],"[(0, 3), (3, 12), (8, 0)]","[(0, 3), (1, 6), (2, 11), (3, 12), (4, 14), (5, 14), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 9), (14, 5), (15, 1)]",0.01140284538269043
19,[],[],"[(0, 3), (1, 6), (2, 11), (3, 12), (4, 14), (5, 14), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 9), (14, 5), (15, 1)]",0.01797962188720703
20,[],"[(7, 2), (11, 6)]","[(0, 3), (1, 6), (2, 11), (3, 12), (4, 14), (5, 14), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 6), (12, 14), (13, 9), (14, 5), (15, 1)]",0.01779317855834961
21,[],[],"[(0, 3), (1, 6), (2, 11), (3, 12), (4, 14), (5, 14), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 6), (12, 14), (13, 9), (14, 5), (15, 1)]",0.010063648223876953
22,[],"[(2, 12), (10, 7)]","[(0, 3), (1, 6), (2, 12), (3, 12), (4, 14), (5, 14), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 6), (12, 14), (13, 9), (14, 5), (15, 1)]",0.019204378128051758
23,[],"[(14, 5)]","[(0, 3), (1, 6), (2, 12), (3, 12), (4, 14), (5, 14), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 6), (12, 14), (13, 9), (14, 5), (15, 1)]",0.01813960075378418
