cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5,cpu_6,ram_6,disk_6,cpu_7,ram_7,disk_7,cpu_8,ram_8,disk_8,cpu_9,ram_9,disk_9,cpu_10,ram_10,disk_10,cpu_11,ram_11,disk_11,cpu_12,ram_12,disk_12,cpu_13,ram_13,disk_13,cpu_14,ram_14,disk_14,cpu_15,ram_15,disk_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,386.924,1.0,100.0,123.73126666666663,2.0,100.0,105.5042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0,265.6387333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,120.93533333333332,2.0,100.0,459.8897333333333,2.0,100.0,142.60586666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0,578.813,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,120.23626666666664,2.0,100.0,320.86379999999997,1.0,100.0,98.56566666666669,1.0,100.0,109.4118,1.0,0.0,0.0,0.0,100.0,95.9442,3.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,105.5042,1.0,100.0,441.79926666666665,6.0,0.0,0.0,0.0,100.0,168.47066666666663,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,100.0,130.722,2.0,100.0,178.9568,1.0,100.0,423.6236,2.0,100.0,108.76053333333334,1.0,100.0,105.5042,1.0,100.0,242.3952,3.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,369.3625333333333,4.0,100.0,399.1569333333333,6.0,0.0,0.0,0.0,100.0,313.1741333333334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,100.0,164.2764,4.0,100.0,192.93779999999998,1.0,100.0,459.2751999999999,2.0,100.0,115.2732,1.0,100.0,110.71433333333331,1.0,100.0,157.2858,3.0,100.0,67.10839999999999,1.0
0.0,0.0,0.0,100.0,437.9652,4.0,99.97517994539588,394.2634666666666,6.0,0.0,0.0,0.0,100.0,205.5204,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,100.0,148.19806666666668,4.0,100.0,134.2176,1.0,100.0,432.0118666666666,2.0,100.0,97.689,1.0,100.0,109.4118,1.0,100.0,193.986,3.0,100.0,72.70093333333334,1.0
0.0,0.0,0.0,100.0,407.2546,4.0,100.0,360.0102,6.0,0.0,0.0,0.0,100.0,130.0228,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,2.0,100.0,226.49220000000003,1.0,100.0,415.23546666666675,1.0,100.0,125.0422,1.0,100.0,108.76053333333334,1.0,100.0,93.8472,3.0,100.0,105.11886666666666,4.0
100.0,176.16013333333333,3.0,100.0,409.57320000000004,4.0,100.0,360.709,6.0,0.0,0.0,0.0,100.0,110.44946666666667,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,258.64820000000003,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,202.37446666666668,1.0,100.0,93.78139999999999,1.0,100.0,115.2732,1.0,100.0,99.0902,3.0,100.0,105.03166666666667,4.0
100.0,214.6078,3.0,100.0,331.8703333333334,4.0,100.0,465.5668666666666,6.0,0.0,0.0,0.0,100.0,119.5372,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,328.5534,3.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,105.9056,1.0,100.0,104.85293333333334,1.0,100.0,97.689,1.0,100.0,91.7496,3.0,100.0,108.92,4.0
