cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5,cpu_6,ram_6,disk_6,cpu_7,ram_7,disk_7,cpu_8,ram_8,disk_8,cpu_9,ram_9,disk_9,cpu_10,ram_10,disk_10,cpu_11,ram_11,disk_11,cpu_12,ram_12,disk_12,cpu_13,ram_13,disk_13,cpu_14,ram_14,disk_14,cpu_15,ram_15,disk_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,258.64820000000003,3.0,100.0,320.1647333333333,2.0,0.0,0.0,0.0,100.0,125.829,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,168.47066666666663,3.0,100.0,388.67179999999996,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,473.9556,1.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,473.9556,1.0,0.0,0.0,0.0,100.0,328.5534,3.0,100.0,142.60586666666666,1.0,100.0,300.59133333333324,2.0,100.0,245.3142,4.0,100.0,128.62506666666664,2.0,0.0,0.0,0.0,100.0,142.95526666666666,5.0,100.0,313.1741333333334,3.0,100.0,651.5146,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,384.4776,1.0,0.0,0.0,0.0
100.0,271.2314,5.0,100.0,384.4776,1.0,100.0,110.71433333333331,3.0,100.0,298.49406666666664,3.0,100.0,98.56566666666669,1.0,100.0,472.5573333333333,3.0,100.0,0.0,1.0,100.0,120.23626666666664,2.0,0.0,0.0,0.0,100.0,71.827,2.0,100.0,205.5204,3.0,100.0,369.0984,2.0,100.0,184.5492,2.0,0.0,0.0,0.0,100.0,419.43,1.0,0.0,0.0,0.0
100.0,341.1364,5.0,100.0,419.43,1.0,100.0,254.8142,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,952.8040666666666,7.0,100.0,0.0,1.0,100.0,72.7008,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,130.0228,3.0,100.0,268.4352,2.0,100.0,131.4214,2.0,0.0,0.0,0.0,100.0,442.49846666666673,1.0,100.0,29.621666666666673,3.0
100.0,67.1088,5.0,100.0,676.6798000000001,4.0,100.0,175.86933333333334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,718.6222666666667,6.0,100.0,128.62506666666664,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,110.44946666666667,3.0,100.0,383.0794,2.0,100.0,153.791,2.0,0.0,0.0,0.0,100.0,440.4012,1.0,100.0,29.53446666666667,3.0
100.0,39.146800000000006,5.0,100.0,682.9712,4.0,100.0,215.9364,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,659.7703333333332,7.0,100.0,120.23626666666664,2.0,100.0,114.64386666666668,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,119.5372,3.0,100.0,279.62,2.0,100.0,125.829,2.0,0.0,0.0,0.0,100.0,478.84913333333344,1.0,0.0,0.0,0.0
100.0,341.1364,5.0,100.0,710.2345333333335,4.0,100.0,97.689,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,562.5153333333333,7.0,100.0,72.7008,2.0,100.0,92.27413333333331,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,105.55626666666666,3.0,100.0,338.34020000000004,2.0,100.0,226.49220000000003,2.0,0.0,0.0,0.0,100.0,333.44686666666666,1.0,0.0,0.0,0.0
100.0,223.69600000000003,5.0,100.0,587.2017999999999,4.0,100.0,125.0422,3.0,0.0,0.0,0.0,100.0,395.66193333333337,2.0,100.0,232.08393333333333,4.0,100.0,75.49706666666667,2.0,100.0,168.47066666666663,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,170.5678,5.0,100.0,408.2452,2.0,100.0,142.6062,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,97.867,3.0,100.0,444.5948666666666,4.0,99.97517994539588,100.6632,4.0,0.0,0.0,0.0,100.0,538.268,4.0,100.0,233.48246666666668,3.0,100.0,208.4252666666667,3.0,100.0,313.1741333333334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,115.3428,3.0,100.0,645.9222,2.0,100.0,117.4404,2.0,0.0,0.0,0.0,100.0,30.932599999999997,3.0,0.0,0.0,0.0
100.0,81.0898,3.0,100.0,422.22540000000004,4.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,600.4839999999999,4.0,100.0,222.2977333333333,1.0,100.0,197.12706666666665,3.0,100.0,205.5204,3.0,100.0,22.3696,2.0,0.0,0.0,0.0,100.0,158.684,5.0,100.0,402.6528,2.0,100.0,83.886,2.0,0.0,0.0,0.0,100.0,29.2284,3.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,455.0810666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1075.1386,6.0,0.0,0.0,0.0,100.0,175.2355333333333,3.0,100.0,130.0228,3.0,100.0,67.1088,2.0,0.0,0.0,0.0,100.0,153.79066666666668,5.0,100.0,444.5958,2.0,100.0,92.2746,2.0,0.0,0.0,0.0,100.0,27.96146666666667,3.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,710.9334000000001,4.0,0.0,0.0,0.0,100.0,67.10839999999999,1.0,100.0,1053.4682666666668,6.0,100.0,67.10839999999999,1.0,100.0,127.06666666666666,2.0,100.0,110.44946666666667,3.0,100.0,78.29360000000001,2.0,0.0,0.0,0.0,100.0,157.2858,5.0,100.0,492.13086666666663,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28.00533333333333,3.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,790.6254666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,997.5436000000002,6.0,100.0,145.40186666666668,2.0,100.0,149.07146666666662,2.0,100.0,119.5372,3.0,100.0,33.5544,2.0,0.0,0.0,0.0,100.0,167.7716,5.0,100.0,652.2132666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29.18493333333334,3.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,826.976,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1005.9325333333334,6.0,100.0,150.99439999999998,2.0,100.0,131.06993333333332,2.0,100.0,105.55626666666666,3.0,100.0,22.3696,2.0,0.0,0.0,0.0,100.0,257.25,5.0,100.0,503.316,2.0,100.0,0.0,3.0,0.0,0.0,0.0,100.0,184.549,1.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,723.5163333333335,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1025.5060666666668,6.0,100.0,150.99439999999998,2.0,100.0,153.55953333333332,2.0,100.0,111.8476,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,229.98713333333333,5.0,100.0,570.4248,2.0,100.0,0.0,3.0,0.0,0.0,0.0,100.0,225.0938,1.0,0.0,0.0,0.0
