interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,8,8,8,7,1
2,14,6,7,7,1
3,21,7,3,6,5
4,24,3,1,3,7
5,27,3,1,3,9
6,31,4,0,2,13
7,34,3,0,0,16
8,39,5,3,4,18
9,47,8,1,5,25
10,52,5,0,2,30
11,56,4,3,1,33
12,59,3,4,4,32
13,65,6,0,1,38
14,71,6,2,2,42
15,75,4,1,0,46
16,80,5,1,1,50
17,83,3,1,1,52
18,86,3,1,1,54
19,91,5,1,0,59
20,93,2,2,2,60
21,99,6,3,2,64
22,102,3,1,2,66
23,109,7,0,0,73
24,115,6,2,1,78
25,118,3,2,1,80
26,119,1,5,4,77
27,125,6,4,3,80
28,131,6,3,4,83
29,135,4,0,0,87
30,142,7,1,0,94
31,146,4,3,2,96
32,151,5,1,0,101
33,156,5,2,1,105
34,162,6,2,2,110
35,166,4,3,5,111
36,169,3,0,0,114
37,172,3,0,0,117
38,175,3,0,0,120
39,180,5,1,1,124
40,185,5,1,1,128
41,189,4,0,0,132
42,191,2,3,2,132
43,194,3,3,2,133
44,198,4,3,3,134
45,204,6,2,2,138
46,208,4,2,1,141
47,216,8,1,1,148
48,220,4,2,1,151
49,225,5,1,1,155
50,232,7,0,0,162
51,240,8,1,1,169
52,245,5,1,2,173
53,249,4,2,2,176
54,251,2,3,4,176
55,253,2,2,2,176
56,256,3,2,1,178
57,263,7,3,1,184
58,267,4,4,5,184
59,269,2,1,1,185
60,270,1,0,1,186
61,275,5,2,1,190
62,281,6,3,4,194
63,285,4,2,1,197
64,288,3,4,3,197
65,291,3,2,1,199
66,298,7,1,0,206
67,303,5,2,1,210
68,309,6,5,4,213
69,313,4,2,0,217
70,318,5,4,1,221
71,324,6,3,3,224
72,326,2,4,2,224
73,329,3,3,1,227
74,336,7,4,3,231
75,341,5,3,3,234
76,344,3,1,0,237
77,349,5,2,0,242
78,353,4,2,2,244
79,358,5,0,0,249
80,363,5,3,1,253
81,367,4,3,3,255
82,371,4,2,2,257
83,377,6,2,1,262
84,383,6,4,2,266
85,387,4,5,4,266
86,389,2,3,2,267
87,394,5,2,1,271
88,396,2,1,0,273
89,399,3,2,2,274
90,406,7,0,0,281
91,413,7,1,1,287
92,417,4,1,1,290
93,421,4,0,0,294
94,425,4,1,1,297
95,429,4,3,3,298
96,434,5,0,0,303
97,436,2,0,0,305
98,441,5,1,1,309
99,448,7,1,0,316
100,453,5,4,3,318
101,458,5,2,1,322
