interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,"[3121.8625785998443, 520.8668579276933, 2180.662757134983]","[0, 0, 0]","[1, 1, 1]","[-1, -1, -1]","[4029.0, 4029.0, 4029.0]","[(0.0, 0.0, 0.0), (0.0, 0.0046, 6.666666666666668e-05), (473.9556, 4.806, 0.02386666666666667)]","[(2, 0.0, 0.0), (1, 0.0, 0.0008722222222222223), (1, 0.0, 0.005094444444444444)]","[15, 8, 10]","[True, True, True]"
2,"[3065.1014408071205, 530.8835282724567, 1462.6758357381586, 501.40426599866777, 2240.395480738335, 1876.4565081617916, 1108.5118598755066]","[0, 0, 0, 1, 1, 1, 1]","[1, 1, 1, 2, 2, 2, 2]","[-1, -1, -1, -1, -1, -1, -1]","[4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0]","[(0.0, 0.0, 0.0), (0.0, 0.004733333333333333, 0.00013333333333333334), (384.4776, 1.923, 0.024933333333333335), (0.0, 0.0048, 6.666666666666668e-05), (973.0777333333333, 0.10640000000000001, 0.744), (258.64820000000003, 0.019533333333333337, 0.0016), (67.1088, 0.0, 0.001)]","[(2, 0.0, 0.0), (1, 0.0, 0.0008388888888888889), (1, 0.0, 0.005011111111111111), (2, 0.0, 0.0013222222222222222), (3, 0.0, 0.025061111111111114), (3, 0.05115, 0.03694444444444444), (3, 0.0, 0.0)]","[15, 8, 10, 6, 11, 12, 14]","[True, True, True, True, True, True, True]"
3,"[2911.512479720924, 554.2557590769045, 2530.7555535185593, 498.43737685074666, 1332.217282883153, 1328.8784523992754, 1115.189642163913, 2240.395480738335, 1714.4051397483977, 520.8668579276933]","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 4029.0, 4029.0, 1057.596870963549, 1891.3767769959554, 4029.0, 4029.0, 4029.0, 4029.0, 1080.0263520404956]","[(0.0, 0.0, 0.0), (0.0, 0.0044, 0.0), (419.43, 3.8347333333333333, 0.0464), (145.4024, 0.004733333333333333, 6.666666666666668e-05), (805.3058666666667, 0.081, 0.3894666666666666), (328.5534, 0.0005333333333333334, 0.0006), (47.5354, 0.0, 0.001), (973.0777333333333, 0.10640000000000001, 0.744), (105.5042, 0.28773333333333334, 0.22433333333333338), (0.0, 0.0046, 6.666666666666668e-05)]","[(2, 0.0, 0.0), (1, 0.0, 0.0008277777777777778), (1, 0.00031666666666666665, 0.004988888888888889), (2, 0.0, 0.0012666666666666666), (3, 0.0, 0.023311111111111112), (3, 0.06125, 0.025472222222222222), (3, 0.0, 0.0), (3, 0.0, 0.025061111111111114), (1, 0.0030666666666666663, 0.05871111111111111), (1, 0.0, 0.0008722222222222223)]","[15, 6, 10, 11, 11, 12, 14, 8, 4, 11]","[True, True, True, True, True, True, True, True, True, True]"
4,"[3145.2348118086134, 520.8668579276933, 1379.6029687996834, 498.43737685074666, 888.1448552554355, 2050.0788185255155, 1115.189642163913, 1332.217282883153, 1429.5838385761401, 530.8835282724567, 1876.4565081617916, 454.0891471920266, 1147.5012037613078, 1578.3845313240047]","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 1701.182827083193, 4029.0, 1202.2821233912005, 1591.989601795889, 4029.0, 4029.0, 4029.0, 1791.0636652071742, 1234.7282748129105, 2237.9363347928256, 4029.0, 2327.817172916807, 4029.0]","[(0.0, 0.0, 0.0), (0.0, 0.0046, 0.00013333333333333334), (442.49846666666673, 3.044, 0.055333333333333345), (67.1088, 0.004666666666666667, 0.0), (624.9507333333332, 0.08693333333333333, 0.30760000000000004), (298.49406666666664, 0.0016666666666666668, 0.005466666666666667), (72.7012, 0.0, 0.001), (805.3058666666667, 0.081, 0.3894666666666666), (110.71433333333331, 0.20726666666666668, 0.17506666666666665), (0.0, 0.004733333333333333, 0.00013333333333333334), (258.64820000000003, 0.019533333333333337, 0.0016), (29.621666666666673, 4.1293999999999995, 4.1416), (386.924, 1.3948666666666665, 0.0056), (223.696, 0.11593333333333333, 0.0992)]","[(2, 0.0, 0.0), (1, 0.0, 0.0008111111111111112), (1, 0.0, 0.004972222222222222), (2, 0.0, 0.0012333333333333335), (3, 0.0, 0.013066666666666667), (3, 0.0008666666666666667, 0.016138888888888887), (3, 0.0, 0.0), (3, 0.0, 0.023311111111111112), (1, 0.0002333333333333333, 0.05122222222222223), (1, 0.0, 0.0008388888888888889), (3, 0.05115, 0.03694444444444444), (3, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.009683333333333334), (2, 0.0, 0.0010277777777777776)]","[15, 6, 10, 11, 11, 12, 14, 8, 4, 11, 4, 0, 6, 5]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
5,"[2988.3069602640226, 0, 1530.9142621519063, 498.43737685074666, 1101.8338429860667, 1896.4898516652977, 1105.1729687313032, 888.1448552554355, 1845.861124904825, 554.2557590769045, 1578.3845313240047, 1328.8784523992754, 1315.5229705416066, 925.6692288098378, 1566.5169784569066, 2251.868135745323]","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 5, 4, 4, 4, 4, 5]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 1551.665385595081, 4029.0, 1123.2617172128407, 1726.6581833481607, 4029.0, 4029.0, 4029.0, 2272.991336252775, 1179.0800994389986, 4029.0, 1756.0086637472252, 4029.0, 2477.3346144049187, 4029.0, 4029.0]","[(0.0, 0.0, 0.0), (0.0, 0.004533333333333333, 0.0), (440.4012, 3.206266666666667, 0.1867333333333333), (100.6632, 0.004666666666666667, 6.666666666666668e-05), (641.7282666666667, 0.07759999999999999, 0.331), (294.3, 0.001066666666666667, 0.005466666666666667), (33.5544, 0.0, 0.001), (624.9507333333332, 0.08693333333333333, 0.30760000000000004), (109.4118, 0.21166666666666664, 0.17653333333333332), (0.0, 0.0044, 0.0), (223.696, 0.11593333333333333, 0.0992), (328.5534, 0.0005333333333333334, 0.0006), (29.53446666666667, 12.107333333333337, 12.139266666666664), (349.1754, 0.6480666666666667, 0.003466666666666667), (268.4352, 0.11646666666666668, 0.09953333333333332), (100.6632, 0.009333333333333334, 0.0108)]","[(2, 0.0, 0.0), (1, 0.0, 0.0008055555555555557), (1, 1.666666666666667e-05, 0.0052), (2, 0.0, 0.001238888888888889), (3, 0.04375, 0.0321388888888889), (3, 0.0002, 0.014294444444444445), (3, 0.0, 0.0), (3, 0.0, 0.013066666666666667), (1, 0.00011666666666666667, 0.05212222222222222), (1, 0.0, 0.0008277777777777778), (2, 0.0, 0.0010277777777777776), (3, 0.06125, 0.025472222222222222), (3, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.00023333333333333333), (2, 0.0, 0.0009611111111111112), (2, 0.0, 0.002416666666666667)]","[15, 6, 10, 11, 11, 12, 14, 8, 4, 11, 7, 4, 0, 6, 5, 2]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
6,"[3008.340303014396, 0, 1483.4440524727775, 495.47048770282555, 1125.2060760191043, 2227.0400194731583, 1111.8507510197098, 1101.8338429860667, 1812.9971286157179, 520.8668579276933, 1566.5169784569066, 2050.0788185255155, 1135.2228679800667, 1237.8771935563511, 1560.5832020233572, 2266.7025766922616, 731.2170323801198]","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 5, 4, 4, 4, 4, 5, 6]","[-1, 6, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 0, 4029.0, 1124.6226804862845, 1754.358268802563, 4029.0, 4029.0, 4029.0, 1895.9591550451012, 1150.0190507111522, 4029.0, 2133.0408449548986, 4029.0, 2267.8300805881154, 4029.0, 4029.0, 1761.1699194118842]","[(0.0, 0.0, 0.0), 0, (478.84913333333344, 2.3301999999999996, 0.8102), (0.0, 0.004666666666666667, 6.666666666666668e-05), (838.8603333333335, 0.08673333333333332, 0.3268666666666667), (234.18133333333338, 0.0016666666666666668, 0.0016), (39.146800000000006, 0.0, 0.001), (641.7282666666667, 0.07759999999999999, 0.331), (108.76053333333334, 0.20446666666666666, 0.17406666666666665), (0.0, 0.0046, 0.00013333333333333334), (268.4352, 0.11646666666666668, 0.09953333333333332), (298.49406666666664, 0.0016666666666666668, 0.005466666666666667), (31.3258, 10.272666666666666, 10.300266666666666), (320.86379999999997, 0.6452, 0.0048), (33.5544, 0.11626666666666668, 0.09953333333333332), (150.9948, 0.009333333333333334, 0.010933333333333335), (178.9568, 0.0019333333333333331, 0.0014666666666666665)]","[(2, 0.0, 0.0), 0, (1, 0.0, 0.004461111111111111), (2, 0.0, 0.0012722222222222221), (3, 0.0, 0.012833333333333334), (3, 0.0006666666666666666, 0.02163888888888889), (3, 0.0, 0.0), (3, 0.04375, 0.0321388888888889), (1, 0.0, 0.05014999999999999), (1, 0.0, 0.0008111111111111112), (2, 0.0, 0.0009611111111111112), (3, 0.0008666666666666667, 0.016138888888888887), (3, 0.0, 4.4444444444444447e-05), (1, 0.0, 0.0002222222222222222), (2, 0.0, 0.000972222222222222), (2, 0.0, 0.0026888888888888887), (1, 0.36411666666666676, 0.01315)]","[15, -1, 10, 11, 11, 12, 14, 8, 4, 11, 7, 4, 0, 6, 5, 2, 6]","[True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
7,"[3068.4403312655163, 0, 949.4041935825778, 492.5035985549045, 1045.0727056201176, 1766.2731188925045, 0, 1125.2060760191043, 1886.9411202662081, 510.85018758292983, 1560.5832020233572, 1896.4898516652977, 1145.2395403445964, 1317.298517921692, 1566.5169784569066, 2248.9012475559352, 657.7614400862267]","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 5, 4, 4, 4, 4, 5, 6]","[-1, 6, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 0, 4029.0, 1152.6947679689204, 1705.2638750341334, 4029.0, 4029.0, 4029.0, 2009.725634300455, 1171.0413569969458, 4029.0, 2019.2743656995447, 4029.0, 2344.2685389177327, 4029.0, 4029.0, 1684.7314610822673]","[(0.0, 0.0, 0.0), 0, (333.44686666666666, 0.9099333333333333, 0.8626), (0.0, 0.0046, 6.666666666666668e-05), (721.42, 0.07806666666666666, 0.33893333333333336), (242.57, 0.0003333333333333333, 0.0004), (173.3644, 6.666666666666668e-05, 0.0016), (838.8603333333335, 0.08673333333333332, 0.3268666666666667), (115.2732, 0.21046666666666666, 0.17566666666666664), (0.0, 0.004533333333333333, 0.0), (33.5544, 0.11626666666666668, 0.09953333333333332), (294.3, 0.001066666666666667, 0.005466666666666667), (31.238400000000002, 10.958333333333334, 10.986266666666667), (301.98920000000004, 0.6321333333333333, 0.005666666666666668), (0.0, 0.1156, 0.0996), (150.9948, 0.009266666666666668, 0.0106), (192.93779999999998, 0.003933333333333333, 0.0014666666666666665)]","[(2, 0.0, 0.0), 0, (1, 0.0, 0.004088888888888889), (2, 0.0, 0.0012166666666666667), (3, 0.0, 0.011183333333333332), (3, 6.666666666666667e-05, 0.009744444444444444), (3, 0.03166666666666667, 0.0017722222222222221), (3, 0.0, 0.012833333333333334), (1, 0.0, 0.05059444444444444), (1, 0.0, 0.0008055555555555557), (2, 0.0, 0.000972222222222222), (3, 0.0002, 0.014294444444444445), (3, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.00025), (2, 0.0, 0.00095), (2, 0.0, 0.0023555555555555556), (1, 0.26766666666666666, 0.015294444444444444)]","[15, -1, 10, 11, 11, 12, 14, 8, 4, 11, 7, 4, 0, 6, 5, 2, 6]","[True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
8,"[3021.6958648479776, 0, 0, 498.43737685074666, 1385.6395298158109, 1993.317678598913, 0, 1045.0727056201176, 1906.1117847681867, 520.8668579276933, 1566.5169784569066, 2227.0400194731583, 1218.6951376844836, 1309.0825188494155, 1593.2189724078767, 2254.8350239347114, 711.18368902724, 1876.4565081617916]","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 5, 4, 4, 4, 4, 5, 6, 8]","[-1, 6, -1, -1, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 0, 4029.0, 1039.7894553193296, 1926.9916082843938, 4029.0, 0, 4029.0, 1854.0358826475144, 1062.2189363962764, 4029.0, 2174.964117352486, 4029.0, 2313.449414911088, 4029.0, 4029.0, 1715.5505850889122, 4029.0]","[(0.0, 0.0, 0.0), 0, (199.92773333333332, 0.9031333333333333, 0.010666666666666666), (0.0, 0.004666666666666667, 6.666666666666668e-05), (671.0880666666666, 0.08573333333333333, 0.32080000000000003), (231.3854, 0.0005333333333333334, 0.0008), 0, (721.42, 0.07806666666666666, 0.33893333333333336), (97.689, 0.24573333333333333, 0.20893333333333336), (0.0, 0.0046, 0.00013333333333333334), (0.0, 0.1156, 0.0996), (234.18133333333338, 0.0016666666666666668, 0.0016), (30.75773333333333, 11.004733333333336, 11.030333333333335), (333.44653333333326, 0.6355333333333333, 0.0052), (167.772, 0.1156, 0.09933333333333332), (184.5492, 0.009333333333333334, 0.0108), (134.2176, 0.002, 0.0014), (258.64820000000003, 0.019533333333333337, 0.0016)]","[(2, 0.0, 0.0), 0, (1, 0.0, 0.005077777777777777), (2, 0.0, 0.001261111111111111), (3, 0.0, 0.018272222222222224), (3, 6.666666666666667e-05, 0.011649999999999999), 0, (3, 0.0, 0.011183333333333332), (1, 0.0, 0.05149444444444444), (1, 0.0, 0.0008166666666666667), (2, 0.0, 0.00095), (3, 0.0006666666666666666, 0.02163888888888889), (3, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.0002111111111111111), (2, 0.0, 0.0014166666666666668), (2, 0.0, 0.002338888888888889), (1, 0.2701, 0.013050000000000004), (3, 0.05115, 0.03694444444444444)]","[15, -1, 10, 11, 11, 12, -1, 8, 4, 11, 7, 4, 0, 6, 5, 2, 6, 14]","[True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True]"
9,"[2894.8180274289466, 0, 0, 501.40426599866777, 1095.1560621194842, 1889.8120704974624, 0, 0, 1908.8504511256126, 510.85018758292983, 1593.2189724078767, 1766.2731188925045, 1191.9840113790701, 1207.75186362467, 1563.5500902401322, 2248.9012475559352, 647.7447684097866, 1328.8784523992754, 777.9614183128089]","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 5, 4, 4, 4, 4, 5, 6, 8, 9]","[-1, 6, 9, -1, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 0, 0, 787.3112824951952, 1381.0630786160116, 4029.0, 0, 4029.0, 2085.788666116554, 796.7572040794572, 4029.0, 1943.211333883446, 4029.0, 2294.5035476074418, 4029.0, 4029.0, 1734.4964523925582, 4029.0, 1063.8684348093361]","[(0.0, 0.0, 0.0), 0, 0, (0.0, 0.0057333333333333325, 0.001), (767.5571333333334, 0.08106666666666666, 0.391), (253.7549333333333, 0.0006666666666666666, 0.0008), 0, (671.0880666666666, 0.08573333333333333, 0.32080000000000003), (125.0422, 0.247, 0.19506666666666664), (0.0, 0.0046, 0.0), (167.772, 0.1156, 0.09933333333333332), (242.57, 0.0003333333333333333, 0.0004), (30.932599999999997, 11.007200000000001, 11.033333333333335), (333.44653333333326, 0.7292666666666667, 0.004666666666666667), (67.1088, 0.11593333333333333, 0.09953333333333332), (218.1036, 0.009266666666666668, 0.010533333333333334), (226.49220000000003, 0.0016666666666666668, 0.0014), (328.5534, 0.0005333333333333334, 0.0006), (123.73126666666663, 0.009733333333333332, 0.0028)]","[(2, 0.0, 0.0), 0, 0, (2, 0.0, 0.0012055555555555554), (3, 0.0, 0.02345), (3, 0.00018333333333333334, 0.015666666666666666), 0, (3, 0.0, 0.018272222222222224), (1, 3.3333333333333335e-05, 0.05121666666666667), (1, 0.0, 0.0008222222222222222), (2, 0.0, 0.0014166666666666668), (3, 6.666666666666667e-05, 0.009744444444444444), (3, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.00021666666666666668), (2, 0.0, 0.00095), (2, 0.0, 0.0022555555555555554), (1, 0.27021666666666666, 0.012733333333333334), (3, 0.06125, 0.025472222222222222), (2, 0.0, 2.2222222222222223e-05)]","[15, -1, -1, 11, 11, 12, -1, 8, 4, 11, 7, 4, 0, 6, 5, 2, 6, 14, 11]","[True, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
10,"[3151.912592725404, 0, 0, 554.8082706612477, 931.5504308882199, 2103.5010678682, 0, 0, 1714.4051397483977, 524.2057480426145, 1563.5500902401322, 1993.317678598913, 1198.6617929554236, 1246.093192628628, 1572.4507548904555, 2201.431036525731, 724.5392512624934, 2050.0788185255155, 888.1447951553957, 1155.2559781834066]","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]","[1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 5, 4, 4, 4, 4, 5, 6, 8, 9, 10]","[-1, 6, 9, -1, -1, -1, 8, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 0, 0, 837.3809594743782, 1214.1231197013503, 4029.0, 0, 0, 1875.0437305747423, 806.778436855745, 4029.0, 2153.9562694252577, 4029.0, 2275.2769706830672, 4029.0, 4029.0, 1753.7230293169328, 4029.0, 1170.7174839685263, 4029.0]","[(0.0, 0.0, 0.0), 0, 0, (33.5544, 0.005333333333333333, 0.001), (796.9172, 0.0888, 0.33713333333333334), (244.66713333333328, 0.0014666666666666665, 0.0012), 0, 0, (93.78139999999999, 0.23493333333333336, 0.19066666666666662), (22.3696, 0.004666666666666667, 0.0002), (67.1088, 0.11593333333333333, 0.09953333333333332), (231.3854, 0.0005333333333333334, 0.0008), (29.2284, 11.277066666666668, 11.304066666666667), (415.23546666666675, 0.7115333333333334, 0.006666666666666668), (100.6632, 0.11566666666666668, 0.09933333333333332), (268.4352, 0.009333333333333334, 0.0108), (271.2314, 0.0722, 0.0028666666666666667), (298.49406666666664, 0.0016666666666666668, 0.005466666666666667), (120.93533333333332, 0.045200000000000004, 0.020266666666666665), (67.10839999999999, 0.00013333333333333334, 0.001)]","[(2, 0.0, 0.0), 0, 0, (2, 0.0, 0.002505555555555556), (3, 0.0, 0.019), (3, 0.00015, 0.019816666666666666), 0, 0, (1, 0.0, 0.049894444444444436), (1, 0.0, 0.0008666666666666667), (2, 0.0, 0.00095), (3, 6.666666666666667e-05, 0.011649999999999999), (3, 0.0, 2.2222222222222223e-05), (1, 0.0, 0.0005666666666666666), (2, 0.0, 0.0009611111111111112), (2, 0.0, 0.0022944444444444444), (1, 0.24863333333333332, 0.04668333333333334), (3, 0.0008666666666666667, 0.016138888888888887), (2, 0.0, 0.0), (1, 0.0, 0.0005722222222222222)]","[15, -1, -1, 11, 11, 12, -1, -1, 4, 11, 7, 4, 0, 6, 5, 2, 6, 14, 11, 8]","[True, False, False, True, True, True, False, False, True, True, True, True, True, True, True, True, True, True, True, True]"
