interval,numdestroyed,nummigrations,energy,energytotalinterval,energypercontainerinterval,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,3,"[735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 1515.0, 795.0, 1515.0, 795.0, 795.0, 795.0, 795.0, 1515.0]",14400.0,4800.0,[],0.0,[],0.0,0,0.0,[]
2,0,4,"[735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",17250.0,2464.285714285714,[],0.0,[],0.0,0,0.0,[]
3,0,5,"[735.0, 735.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",17940.0,1794.0,[],0.0,[],0.0,0,0.0,[]
4,0,4,"[1425.0, 735.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19320.0,1380.0,[],0.0,[],0.0,0,0.0,[]
5,0,2,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20700.0,1293.75,[],0.0,[],0.0,0,0.0,[]
6,1,1,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1424.5457930007447, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20699.545793000747,1293.7216120625467,[1499.115369207829],1499.115369207829,[0.0],0.0,0,0.0,[1]
7,0,0,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20700.0,1293.75,[],0.0,[],0.0,0,0.0,[]
8,1,1,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20700.0,1293.75,[1585.440754658098],1585.440754658098,[0.02684352],0.02684352,0,0.0,[1]
9,1,1,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19980.0,1248.75,[2281.3102113760397],2281.3102113760397,[0.14218667999999998],0.14218667999999998,0,0.0,[1]
10,1,1,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19980.0,1248.75,[1805.2752580517777],1805.2752580517777,[0.58384664],0.58384664,0,0.0,[1]
11,0,0,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19980.0,1248.75,[],0.0,[],0.0,0,0.0,[]
12,2,2,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1205.625,"[2300.949553221275, 2222.9584032631765]",2261.9539782422257,"[0.023697333333333338, 0.111848]",0.06777266666666668,0,0.0,"[1, 1]"
13,2,3,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19320.0,1207.5,"[3154.2384036217177, 2339.1373145286534]",2746.6878590751858,"[0.0727012, 0.0894784]",0.08108979999999999,0,0.0,"[1, 2]"
14,2,3,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",18600.0,1162.5,"[2130.788496407547, 3558.520505267726]",2844.6545008376365,"[0.035791359999999994, 0.10345928000000001]",0.06962532,0,0.0,"[2, 1]"
15,0,0,"[735.0, 735.0, 1425.0, 735.0, 1424.5457930007447, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 795.0, 1514.4713328369323, 1515.0, 795.0, 1515.0, 1514.4713328369323]",18598.488458674612,1162.4055286671633,[],0.0,[],0.0,0,0.0,[]
16,1,1,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",18600.0,1162.5,[600.0],600.0,[0.0],0.0,0,0.0,[8]
17,1,2,"[735.0, 735.0, 1425.0, 735.0, 1424.5457930007447, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",18599.545793000747,1162.4716120625467,[1992.0102417379644],1992.0102417379644,[0.013421679999999998],0.013421679999999998,0,0.0,[6]
18,2,2,"[735.0, 735.0, 1425.0, 735.0, 1424.5457930007447, 1425.0, 1425.0, 735.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19319.545793000747,1287.969719533383,"[4510.559594737967, 4371.22052329074]",4440.890059014353,"[0.58384664, 0.0]",0.29192332,0,0.0,"[1, 1]"
19,3,5,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 1514.4713328369323, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20009.471332836933,1429.2479523454952,"[1500.0, 4301.360058540505, 1872.3398736003335]",2557.8999773802793,"[0.022753939999999997, 0.28972087999999996, 0.0251658]",0.11254687333333331,0,0.0,"[8, 1, 7]"
20,0,2,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20010.0,1250.625,[],0.0,[],0.0,0,0.0,[]
21,1,3,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1514.4713328369323, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19979.471332836933,1248.7169583023083,[1357.7119717639273],1357.7119717639273,[0.0369098],0.0369098,0,0.0,[11]
22,0,0,"[1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1514.4713328369323, 1515.0, 1514.4713328369323, 795.0, 1515.0, 1515.0]",19978.942665673865,1248.6839166046166,[],0.0,[],0.0,0,0.0,[]
23,3,3,"[1425.0, 735.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1205.625,"[4259.651524012872, 1076.0520464653334, 5273.481634417784]",3536.3950682986633,"[0.05172964000000001, 0.39929744, 0.02013264]",0.15705324,1,33.333333333333336,"[4, 12, 1]"
24,2,1,"[1425.0, 735.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1286.0,"[6867.291651387011, 5889.977844452614]",6378.634747919812,"[0.0, 0.25864820000000005]",0.12932410000000003,2,100.0,"[1, 1]"
25,2,1,"[1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1377.857142857143,"[4617.824624265223, 1216.459995616889]",2917.142309941056,"[0.20279358, 0.0]",0.10139679,1,50.0,"[5, 14]"
26,1,3,"[1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20700.0,1380.0,[6622.059268633882],6622.059268633882,[0.13194532666666667],0.13194532666666667,0,0.0,[1]
27,1,1,"[1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1514.4713328369323, 795.0, 1515.0, 1515.0]",20009.471332836933,1333.9647555224622,[1090.2244228689085],1090.2244228689085,[0.0],0.0,1,100.0,[15]
28,1,3,"[1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 795.0, 1514.4713328369323, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",19289.471332836933,1205.5919583023083,[1086.239310523314],1086.239310523314,[0.0],0.0,0,0.0,[15]
29,1,2,"[1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1514.4713328369323, 795.0, 1515.0, 1515.0]",20009.471332836933,1250.5919583023083,[1667.904652839216],1667.904652839216,[0.19964872],0.19964872,1,100.0,[15]
30,1,0,"[1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1514.4713328369323, 795.0, 1515.0, 1515.0]",20009.471332836933,1333.9647555224622,[5232.390868214567],5232.390868214567,[0.0503316],0.0503316,1,100.0,[8]
31,1,2,"[1425.0, 735.0, 735.0, 1425.0, 1425.0, 1424.5457930007447, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20699.545793000747,1293.7216120625467,[4941.188493141145],4941.188493141145,[0.1006632],0.1006632,1,100.0,[9]
32,3,1,"[1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19980.0,1427.142857142857,"[4166.882426002766, 2579.9514974229533, 4431.231452258352]",3726.0217918946905,"[0.011848666666666669, 0.24159155999999996, 0.25501344000000004]",0.16948455555555553,3,100.0,"[12, 16, 12]"
33,2,2,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",19260.0,1375.7142857142858,"[2302.7525296091503, 3820.6590971440414]",3061.705813376596,"[0.58384664, 0.011761320000000002]",0.29780397999999997,2,100.0,"[17, 13]"
34,0,1,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",19260.0,1284.0,[],0.0,[],0.0,0,0.0,[]
35,2,1,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",19230.0,1373.5714285714287,"[4199.31100656517, 1816.7838265672365]",3008.047416566203,"[0.09604941999999998, 0.07158271999999999]",0.08381606999999999,2,100.0,"[14, 18]"
36,2,6,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0]",19260.0,1203.75,"[2443.433200103587, 4888.150034301872]",3665.79161720273,"[0.08661204666666666, 0.1347765333333333]",0.11069428999999999,2,100.0,"[18, 13]"
37,1,0,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0]",19260.0,1284.0,[6760.382600491515],6760.382600491515,[0.04026528],0.04026528,1,100.0,[9]
38,0,0,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0]",19260.0,1284.0,[],0.0,[],0.0,0,0.0,[]
39,1,1,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0]",19260.0,1284.0,[3225.603507710094],3225.603507710094,[0.03711937999999999],0.03711937999999999,1,100.0,[18]
40,1,1,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 795.0, 795.0, 795.0, 1515.0, 1515.0, 795.0]",19260.0,1284.0,[1189.478366884392],1189.478366884392,[0.10737407999999998],0.10737407999999998,1,100.0,[24]
41,0,1,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0]",19980.0,1248.75,[],0.0,[],0.0,0,0.0,[]
42,1,1,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0]",19980.0,1248.75,[3295.7764638756225],3295.7764638756225,[0.01565866666666666],0.01565866666666666,1,100.0,[21]
43,1,1,"[1425.0, 1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0]",19290.0,1205.625,[4109.307247897852],4109.307247897852,[0.0671088],0.0671088,1,100.0,[19]
44,1,1,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0]",19980.0,1248.75,[3752.5784786582244],3752.5784786582244,[0.07864295999999998],0.07864295999999998,1,100.0,[21]
45,5,4,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1515.0, 1515.0, 795.0, 795.0, 795.0, 1515.0, 1515.0, 795.0]",19260.0,1284.0,"[2761.5684272015287, 5537.386616297765, 5584.25743395311, 2436.021605506287, 1149.148527897438]",3493.6765221712253,"[0.06291419999999998, 0.10108239999999998, 0.06738826666666665, 0.15938323999999995, 0.053127746666666656]",0.08877917066666663,5,100.0,"[23, 17, 17, 24, 28]"
46,2,1,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 795.0, 795.0, 795.0, 1515.0, 1515.0, 795.0]",19950.0,1425.0,"[3619.905831013133, 600.0]",2109.9529155065666,"[0.15938323999999995, 0.053547199999999996]",0.10646521999999997,2,100.0,"[22, 30]"
47,1,2,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1514.4713328369323, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0]",20669.471332836933,1377.9647555224622,[4279.577302870041],4279.577302870041,[0.017773000000000004],0.017773000000000004,1,100.0,[21]
48,2,1,"[1424.5457930007447, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 795.0]",20639.545793000747,1474.2532709286247,"[1500.0, 3547.114733388517]",2523.5573666942582,"[0.024746253333333326, 0.03523212]",0.02998918666666666,2,100.0,"[29, 24]"
49,1,1,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 795.0]",20670.0,1476.4285714285713,[4399.135951935251],4399.135951935251,[0.0391468],0.0391468,1,100.0,[22]
50,1,2,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 795.0]",21360.0,1424.0,[1752.342381452784],1752.342381452784,[0.0447392],0.0447392,1,100.0,[31]
51,0,0,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 795.0]",21360.0,1424.0,[],0.0,[],0.0,0,0.0,[]
