cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5,cpu_6,ram_6,disk_6,cpu_7,ram_7,disk_7,cpu_8,ram_8,disk_8,cpu_9,ram_9,disk_9,cpu_10,ram_10,disk_10,cpu_11,ram_11,disk_11,cpu_12,ram_12,disk_12,cpu_13,ram_13,disk_13,cpu_14,ram_14,disk_14,cpu_15,ram_15,disk_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,100.0,473.9556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,100.0,384.4776,1.0,100.0,973.0777333333333,3.0,100.0,258.64820000000003,3.0,0.0,0.0,0.0,100.0,67.1088,3.0,100.0,0.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,105.5042,1.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,100.0,973.0777333333333,3.0,0.0,0.0,0.0,100.0,419.43,1.0,100.0,950.7082666666668,6.0,100.0,328.5534,3.0,0.0,0.0,0.0,100.0,47.5354,3.0,100.0,0.0,2.0
100.0,29.621666666666673,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,369.3625333333333,4.0,100.0,223.696,2.0,100.0,386.924,2.0,0.0,0.0,0.0,100.0,805.3058666666667,3.0,0.0,0.0,0.0,100.0,442.49846666666673,1.0,100.0,692.0595333333332,6.0,100.0,298.49406666666664,3.0,0.0,0.0,0.0,100.0,72.7012,3.0,100.0,0.0,2.0
100.0,29.53446666666667,3.0,0.0,0.0,0.0,100.0,100.6632,2.0,0.0,0.0,0.0,100.0,437.9652,4.0,100.0,268.4352,2.0,100.0,349.1754,2.0,100.0,223.696,2.0,100.0,624.9507333333332,3.0,0.0,0.0,0.0,100.0,440.4012,1.0,100.0,742.3914666666667,6.0,100.0,294.3,3.0,0.0,0.0,0.0,100.0,33.5544,3.0,100.0,0.0,2.0
100.0,31.3258,3.0,0.0,0.0,0.0,100.0,150.9948,2.0,0.0,0.0,0.0,100.0,407.2546,4.0,100.0,33.5544,2.0,99.97517994539588,499.82059999999996,2.0,100.0,268.4352,2.0,100.0,641.7282666666667,3.0,0.0,0.0,0.0,100.0,478.84913333333344,1.0,100.0,838.8603333333335,6.0,100.0,234.18133333333338,3.0,0.0,0.0,0.0,100.0,39.146800000000006,3.0,100.0,0.0,2.0
100.0,31.238400000000002,3.0,0.0,0.0,0.0,100.0,150.9948,2.0,0.0,0.0,0.0,100.0,409.57320000000004,4.0,100.0,0.0,2.0,100.0,494.927,2.0,100.0,33.5544,2.0,100.0,838.8603333333335,3.0,0.0,0.0,0.0,100.0,333.44686666666666,1.0,100.0,721.42,6.0,100.0,242.57,3.0,0.0,0.0,0.0,100.0,173.3644,3.0,100.0,0.0,2.0
100.0,30.75773333333333,3.0,0.0,0.0,0.0,100.0,184.5492,2.0,0.0,0.0,0.0,100.0,331.8703333333334,4.0,100.0,167.772,2.0,100.0,467.66413333333327,2.0,100.0,0.0,2.0,100.0,721.42,3.0,0.0,0.0,0.0,100.0,199.92773333333332,1.0,100.0,671.0880666666666,6.0,100.0,231.3854,3.0,0.0,0.0,0.0,100.0,258.64820000000003,3.0,100.0,0.0,2.0
100.0,30.932599999999997,3.0,0.0,0.0,0.0,100.0,218.1036,2.0,0.0,0.0,0.0,100.0,367.6122,4.0,100.0,67.1088,2.0,100.0,559.9387333333333,2.0,100.0,167.772,2.0,100.0,671.0880666666666,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,891.2884,8.0,100.0,253.7549333333333,3.0,0.0,0.0,0.0,100.0,328.5534,3.0,100.0,0.0,2.0
