interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,"[1154.1194728238213, 731.2170323801198, 744.572766635591, 599.3113997345512]","[0, 0, 0, 0]","[1, 1, 1, 1]","[-1, -1, -1, -1]","[4029.0, 4029.0, 2087.13068345052, 1941.8693165494801]","[(176.16013333333333, 1.632466666666667, 0.017733333333333334), (178.9568, 0.0019333333333333331, 0.0014666666666666665), (142.60586666666666, 0.0007333333333333332, 0.0006), (0.0, 0.004733333333333333, 0.00013333333333333334)]","[(3, 0.0, 0.0001388888888888889), (1, 0.36411666666666676, 0.01315), (1, 0.0, 0.02883888888888889), (3, 0.0, 0.0014222222222222223)]","[11, 10, 12, 12]","[True, True, True, True]"
2,"[1875.0732823255908, 657.7614400862267, 554.2559608139378, 620.0796165570354, 1154.1194728238213, 3752.9130163235823, 1147.5012037613078]","[0, 0, 0, 0, 1, 1, 1]","[1, 1, 1, 1, 2, 2, 2]","[-1, -1, -1, -1, -1, -1, -1]","[2167.1018360026396, 949.7899937632758, 1714.5682439950583, 912.1081702340844, 2314.4317560049417, 4029.0, 4029.0]","[(214.6078, 3.082733333333333, 0.04673333333333334), (192.93779999999998, 0.003933333333333333, 0.0014666666666666665), (98.56566666666669, 0.0007333333333333332, 0.0002666666666666667), (0.0, 0.004666666666666667, 6.666666666666668e-05), (176.16013333333333, 1.632466666666667, 0.017733333333333334), (388.67179999999996, 7.663399999999999, 2.4918666666666667), (386.924, 1.3948666666666665, 0.0056)]","[(3, 0.0, 0.00015555555555555556), (1, 0.26766666666666666, 0.015294444444444444), (1, 0.0, 0.0016666666666666668), (3, 0.0, 0.001661111111111111), (3, 0.0, 0.0001388888888888889), (2, 0.0, 0.016355555555555557), (1, 0.0, 0.009683333333333334)]","[0, 0, 12, 0, 12, 14, 6]","[True, True, True, True, True, True, True]"
3,"[1510.1460454172877, 711.18368902724, 597.6615481065954, 578.5431829120669, 1875.0732823255908, 2794.65141873918, 925.6692288098378, 3815.4812123039737, 2327.8664038117226, 599.3113997345512, 881.4670876440003, 501.40426599866777]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 4029.0, 1375.7941328905022, 644.1835777341911, 2653.2058671094974, 4029.0, 991.309623631962, 4029.0, 2393.5067986338468, 4029.0, 4029.0, 4029.0]","[(434.80906666666664, 2.7484, 0.018466666666666666), (134.2176, 0.002, 0.0014), (121.6344, 0.0005333333333333334, 0.0002), (0.0, 0.004533333333333333, 0.0), (214.6078, 3.082733333333333, 0.04673333333333334), (651.5146, 19.004533333333335, 2.486266666666667), (349.1754, 0.6480666666666667, 0.003466666666666667), (1426.063, 0.14286666666666667, 0.5943999999999999), (335.544, 0.016466666666666664, 0.009866666666666668), (0.0, 0.004733333333333333, 0.00013333333333333334), (95.9442, 0.019933333333333334, 0.0208), (0.0, 0.0048, 6.666666666666668e-05)]","[(3, 0.0, 0.00023888888888888888), (1, 0.2701, 0.013050000000000004), (1, 0.0, 0.0015388888888888887), (3, 0.0, 0.0012944444444444446), (3, 0.0, 0.00015555555555555556), (2, 0.0, 0.0053), (1, 0.0, 0.00023333333333333333), (3, 0.005116666666666666, 0.1869), (3, 0.0, 0.015905555555555555), (3, 0.0, 0.0014222222222222223), (1, 0.0012, 0.05558333333333333), (2, 0.0, 0.0013222222222222222)]","[15, 6, 12, 0, 12, 1, 0, 8, 0, 7, 3, 11]","[True, True, True, True, True, True, True, True, True, True, True, True]"
4,"[1501.2453811024511, 647.7447684097866, 554.2559608139378, 581.5100710295644, 1510.1460454172877, 1739.5619942211624, 1237.8771935563511, 2446.521763816231, 2503.141050686958, 2327.8664038117226, 620.0796165570354, 754.589249271, 498.43737685074666, 1364.7688631682443, 685.3513090824399, 1155.2559781834066]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 3, 3, 3, 4, 4, 4]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 709.8085945877748, 616.319786991926, 643.5738972075526, 1546.3121408005284, 4029.0, 1469.5053948723141, 2482.687859199472, 4029.0, 2559.4946051276856, 682.1434427350235, 816.6530754489881, 560.5012030287348, 4029.0, 4029.0, 4029.0]","[(348.1266, 1.8001333333333334, 0.6946), (226.49220000000003, 0.0016666666666666668, 0.0014), (125.82866666666669, 0.0007333333333333332, 0.0002666666666666667), (0.0, 0.004733333333333333, 0.0), (434.80906666666664, 2.7484, 0.018466666666666666), (369.0984, 16.1096, 2.579733333333333), (320.86379999999997, 0.6452, 0.0048), (1311.4188000000001, 0.1956, 0.7402000000000001), (427.8186, 0.011466666666666667, 0.006066666666666666), (335.544, 0.016466666666666664, 0.009866666666666668), (0.0, 0.004666666666666667, 6.666666666666668e-05), (96.9928, 0.020133333333333333, 0.014066666666666665), (145.4024, 0.004733333333333333, 6.666666666666668e-05), (402.65259999999995, 0.0, 0.0), (232.08433333333338, 0.9976, 0.007), (67.10839999999999, 0.00013333333333333334, 0.001)]","[(3, 0.0, 0.00039999999999999996), (1, 0.27021666666666666, 0.012733333333333334), (1, 0.0, 0.00165), (3, 0.0, 0.0012333333333333335), (3, 0.0, 0.00023888888888888888), (2, 0.0, 0.00225), (1, 0.0, 0.0002222222222222222), (3, 0.0006, 0.11304444444444445), (3, 1.666666666666667e-05, 0.017866666666666666), (3, 0.0, 0.015905555555555555), (3, 0.0, 0.001661111111111111), (1, 0.0, 0.054338888888888895), (2, 0.0, 0.0012666666666666666), (3, 0.1085, 0.004066666666666666), (3, 0.0, 0.0005111111111111112), (1, 0.0, 0.0005722222222222222)]","[15, 1, 1, 1, 2, 12, 14, 2, 0, 14, 1, 1, 1, 6, 5, 3]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
5,"[976.1061865270877, 724.5392512624934, 597.6615481065954, 578.5431829120669, 1501.2453811024511, 1826.3731494030244, 1317.298517921692, 2303.8585840403466, 2497.663717972107, 2503.141050686958, 578.5431829120669, 754.589249271, 498.43737685074666, 1691.1266347954333, 741.7221959766666, 1151.9170880730503]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 3, 3, 3, 4, 4, 4]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 2087.4980341752134, 4029.0, 648.9001506251201, 4029.0, 4029.0, 1421.578733617367, 4029.0, 2568.02068568516, 2607.421266382633, 1941.5019658247868, 2142.5759362101267, 1886.4240637898733, 2284.1047733611913, 812.0791636897198, 1744.8952266388085]","[(230.686, 0.866, 0.3906666666666667), (271.2314, 0.0722, 0.0028666666666666667), (98.56533333333331, 0.0005333333333333334, 0.0002), (0.0, 0.004733333333333333, 6.666666666666668e-05), (348.1266, 1.8001333333333334, 0.6946), (268.4352, 13.852799999999998, 1.682), (301.98920000000004, 0.6321333333333333, 0.005666666666666668), (1255.4948, 0.13406666666666667, 0.4640666666666667), (419.43, 0.0086, 0.004933333333333334), (427.8186, 0.011466666666666667, 0.006066666666666666), (0.0, 0.004533333333333333, 0.0), (90.177, 0.02, 0.014), (67.1088, 0.004666666666666667, 0.0), (339.738, 0.0, 0.0), (264.24086666666665, 0.7731333333333333, 0.0056), (72.70093333333334, 6.666666666666668e-05, 0.001)]","[(3, 1.666666666666667e-05, 0.0003444444444444445), (1, 0.24863333333333332, 0.04668333333333334), (1, 0.0, 0.0015500000000000002), (3, 0.0, 0.0012666666666666666), (3, 0.0, 0.00039999999999999996), (2, 0.0, 0.005916666666666666), (1, 0.0, 0.00025), (3, 1.666666666666667e-05, 0.12178333333333334), (3, 0.0, 0.021744444444444445), (3, 1.666666666666667e-05, 0.017866666666666666), (3, 0.0, 0.0012944444444444446), (1, 3.3333333333333335e-05, 0.05506666666666666), (2, 0.0, 0.0012333333333333335), (3, 0.2122, 0.00935), (3, 0.0, 0.0006277777777777777), (1, 0.0, 0.0005666666666666666)]","[15, 7, 10, 0, 2, 12, 14, 8, 0, 14, 7, 1, 1, 3, 0, 3]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
6,"[1465.6427238431045, 0, 567.6115261347555, 593.3776234995555, 976.1061865270877, 1612.6841520322869, 1309.0825188494155, 2662.034226881929, 2664.722365775066, 2497.663717972107, 581.5100710295644, 741.2336873370001, 0, 1254.9939763481898, 623.0466446204, 1158.5948682937635]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 3, 3, 3, 4, 4, 4]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 1723.7449644852177, 4029.0, 733.2995320852037, 1116.028095112736, 4029.0, 1420.2094004386543, 4029.0, 4029.0, 2608.7905995613455, 2305.2550355147823, 881.1555959226483, 1702.9766776898, 4029.0, 2326.0233223102, 1298.5167768794117]","[(331.3495333333333, 4.365933333333333, 0.022533333333333336), (164.9758, 0.0021333333333333334, 0.0014666666666666665), (113.24566666666668, 0.0007333333333333332, 0.0002666666666666667), (67.1088, 0.004666666666666667, 6.666666666666668e-05), (230.686, 0.866, 0.3906666666666667), (383.0794, 15.210066666666668, 1.8525333333333331), (333.44653333333326, 0.6355333333333333, 0.0052), (1470.8021999999999, 0.18553333333333333, 0.47233333333333327), (455.7806, 0.011333333333333336, 0.005066666666666666), (419.43, 0.0086, 0.004933333333333334), (0.0, 0.004733333333333333, 0.0), (93.3228, 0.018333333333333333, 0.014133333333333333), (100.6632, 0.004666666666666667, 6.666666666666668e-05), (343.93240000000003, 0.0, 0.0), (260.0463333333334, 0.6686, 0.004866666666666666), (75.49719999999999, 0.0004, 0.0014666666666666665)]","[(3, 0.0, 0.00019444444444444446), (1, 0.2376, 0.013488888888888885), (1, 0.0, 0.0016666666666666668), (3, 0.0, 0.0012222222222222224), (3, 1.666666666666667e-05, 0.0003444444444444445), (2, 0.0, 0.0036999999999999997), (1, 0.0, 0.0002111111111111111), (3, 1.666666666666667e-05, 0.1395388888888889), (3, 0.0, 0.016805555555555553), (3, 0.0, 0.021744444444444445), (3, 0.0, 0.0012333333333333335), (1, 0.0, 0.0557), (2, 0.0, 0.001238888888888889), (3, 0.020033333333333334, 0.0038777777777777777), (3, 0.0, 0.0004277777777777778), (1, 0.0, 0.0005499999999999999)]","[15, 7, 10, 1, 1, 12, 14, 8, 0, 14, 7, 1, 5, 6, 5, 1]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
7,"[1851.3381774860268, 0, 0, 572.6094066770711, 1465.6427238431045, 1499.1618721790824, 1207.75186362467, 2986.820614882346, 2478.4930534701275, 2664.722365775066, 578.5431829120669, 804.6726065235, 0, 1266.8615316800874, 620.0797558364931, 1151.9170880730503, 2240.395480738335]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 3, 3, 3, 4, 4, 4, 7]","[-1, 7, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 7, -1, -1, -1, -1]","[4029.0, 0, 198.1812245788564, 770.7906312559275, 4029.0, 4029.0, 1286.014748924802, 4029.0, 4029.0, 2742.985251075198, 776.7244074909232, 1840.8777592252247, 0, 1465.0427562589439, 818.2609804153494, 2188.122240774775, 4029.0]","[(478.1502, 3.8014, 0.020733333333333333), 0, (127.92593333333336, 0.0005333333333333334, 0.0002), (22.3696, 0.0048, 0.0), (331.3495333333333, 4.365933333333333, 0.022533333333333336), (279.62, 9.749466666666667, 1.610333333333333), (333.44653333333326, 0.7292666666666667, 0.004666666666666667), (1311.4188000000001, 0.14286666666666667, 0.5135333333333333), (332.7478, 0.012333333333333335, 0.0056), (455.7806, 0.011333333333333336, 0.005066666666666666), (0.0, 0.004733333333333333, 6.666666666666668e-05), (93.8472, 0.0318, 0.0146), 0, (306.18359999999996, 0.0, 0.0), (222.2978, 0.6696, 0.0051333333333333335), (75.49719999999999, 0.0003333333333333333, 0.0014), (973.0777333333333, 0.10640000000000001, 0.744)]","[(3, 0.0428, 0.01527777777777778), 0, (1, 0.0, 0.0015222222222222221), (3, 0.0, 0.0012777777777777776), (3, 0.0, 0.00019444444444444446), (2, 0.05768333333333333, 0.023244444444444446), (1, 0.0, 0.00021666666666666668), (3, 5e-05, 0.13139444444444442), (3, 0.0, 0.021144444444444445), (3, 0.0, 0.016805555555555553), (3, 0.0, 0.0012666666666666666), (1, 0.00011666666666666667, 0.053427777777777775), 0, (3, 0.008033333333333333, 0.003372222222222222), (3, 0.0, 0.0005), (1, 0.0, 0.0005611111111111111), (3, 0.0, 0.025061111111111114)]","[15, -1, 0, 0, 10, 12, 14, 8, 2, 14, 0, 1, -1, 0, 0, 1, 6]","[True, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True]"
8,"[1646.6228982447833, 0, 0, 664.582938319502, 1851.3381774860268, 1863.10094582612, 1246.093192628628, 2953.431360041183, 2629.1197031285333, 2478.4930534701275, 0, 844.7392923255, 0, 1204.5568661876246, 640.8479773238399, 1168.6115386248337, 1332.217282883153, 599.3113997345512, 3752.9130163235823]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 3, 3, 3, 4, 4, 4, 7, 8, 8]","[-1, 7, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1, 7, -1, -1, -1, -1, -1, -1]","[2837.8114491223914, 0, 0, 4029.0, 1975.9360296832926, 4029.0, 1398.3000695792502, 4029.0, 4029.0, 2630.6999304207498, 1191.1885508776083, 1072.549921047671, 0, 1329.1547183848904, 4029.0, 1396.4221673470047, 1560.027911605324, 723.9092519318169, 4029.0]","[(450.887, 3.747866666666667, 0.0224), 0, 0, (78.29360000000001, 0.005933333333333334, 0.0014666666666666665), (478.1502, 3.8014, 0.020733333333333333), (338.34020000000004, 2.189, 3.0638666666666667), (415.23546666666675, 0.7115333333333334, 0.006666666666666668), (1311.4188000000001, 0.188, 0.5201333333333333), (377.487, 0.011333333333333336, 0.0054), (332.7478, 0.012333333333333335, 0.0056), (67.1088, 0.004666666666666667, 6.666666666666668e-05), (99.0902, 0.043, 0.015133333333333334), 0, (322.961, 0.0, 0.0), (184.54886666666667, 0.6701333333333334, 0.0057333333333333325), (77.5942, 0.00046666666666666666, 0.0014), (805.3058666666667, 0.081, 0.3894666666666666), (0.0, 0.004733333333333333, 0.00013333333333333334), (388.67179999999996, 7.663399999999999, 2.4918666666666667)]","[(3, 1.666666666666667e-05, 0.0003444444444444445), 0, 0, (3, 0.0, 0.0033777777777777777), (3, 0.0428, 0.01527777777777778), (2, 1.1261166666666667, 0.002977777777777778), (1, 0.0, 0.0005666666666666666), (3, 3.3333333333333335e-05, 0.16156666666666666), (3, 0.0, 0.030616666666666664), (3, 0.0, 0.021144444444444445), (3, 0.0, 0.0012222222222222224), (1, 0.0, 0.05496666666666667), 0, (3, 0.007916666666666667, 0.003444444444444445), (3, 0.0, 0.00046111111111111103), (1, 0.0, 0.001627777777777778), (3, 0.0, 0.023311111111111112), (3, 0.0, 0.0014222222222222223), (2, 0.0, 0.016355555555555557)]","[15, -1, -1, 11, 10, 12, 14, 8, 3, 14, 15, 1, -1, 10, 5, 1, 1, 10, 9]","[True, False, False, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
9,"[0, 0, 0, 0, 1646.6228982447833, 2634.3846707111265, 1084.51187754052, 2989.8560016860883, 2505.879717044383, 2629.1197031285333, 0, 814.6892779739999, 0, 1252.0270875152155, 620.0797558364931, 1165.2726485144767, 888.1448552554355, 620.0796165570354, 2794.65141873918, 777.9614183128089]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 3, 3, 3, 4, 4, 4, 7, 8, 8, 9]","[-1, 7, 8, -1, -1, -1, -1, -1, -1, -1, 9, -1, 7, -1, -1, -1, -1, -1, -1, -1]","[666.3371647239919, 0, 0, 4029.0, 4029.0, 4029.0, 1242.1960872059933, 4029.0, 2600.2000205650793, 2786.8039127940065, 0, 1839.2083147297615, 0, 1918.3642522392074, 714.4000593571892, 2189.7916852702383, 4029.0, 714.3999200777315, 4029.0, 1444.2985830368007]","[(434.1098, 1.2283333333333333, 0.020466666666666664), 0, 0, (44.7392, 0.004666666666666667, 6.666666666666668e-05), (450.887, 3.747866666666667, 0.0224), (408.2452, 3.357266666666667, 2.6136666666666666), (202.37446666666668, 0.6932, 0.0088), (1177.2012, 0.14893333333333333, 0.6776666666666666), (321.563, 0.0134, 0.007933333333333334), (377.487, 0.011333333333333336, 0.0054), 0, (91.7496, 0.042133333333333335, 0.014666666666666665), 0, (301.98940000000005, 0.0, 0.0), (183.1509333333333, 0.6727333333333332, 0.005), (69.2056, 0.00046666666666666666, 0.0013333333333333333), (624.9507333333332, 0.08693333333333333, 0.30760000000000004), (0.0, 0.004666666666666667, 6.666666666666668e-05), (651.5146, 19.004533333333335, 2.486266666666667), (123.73126666666663, 0.009733333333333332, 0.0028)]","[(3, 0.0, 0.0004555555555555556), 0, 0, (3, 0.0, 0.0013444444444444443), (3, 1.666666666666667e-05, 0.0003444444444444445), (2, 1.092625, 0.013255555555555555), (1, 0.0, 0.00025), (3, 5e-05, 0.12382222222222221), (3, 0.0, 0.017744444444444448), (3, 0.0, 0.030616666666666664), 0, (1, 0.0, 0.05646666666666667), 0, (3, 0.00785, 0.003533333333333333), (3, 0.0, 0.0005277777777777777), (1, 0.0, 0.0005499999999999999), (3, 0.0, 0.013066666666666667), (3, 0.0, 0.001661111111111111), (2, 0.0, 0.0053), (2, 0.0, 2.2222222222222223e-05)]","[15, -1, -1, 11, 10, 12, 14, 8, 0, 14, -1, 1, -1, 15, 0, 1, 6, 0, 9, 15]","[True, False, False, True, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True]"
10,"[0, 0, 0, 0, 922.7022006380679, 1779.6286812281753, 1229.6611944840745, 5888.650399259911, 2519.573048831511, 2505.879717044383, 0, 918.1948829624997, 0, 1225.3250880184453, 0, 1178.6282089559033, 1101.8338429860667, 578.5431829120669, 1739.5619942211624, 888.1447951553957, 1578.3845313240047, 2240.395480738335]","[0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 3, 3, 3, 4, 4, 4, 7, 8, 8, 9, 10, 10]","[10, 7, 8, 10, -1, -1, -1, -1, -1, -1, 9, -1, 7, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 4029.0, 4029.0, 1376.3907387198458, 4029.0, 4029.0, 2652.6092612801544, 0, 981.1448535083656, 0, 1337.7069498524966, 4029.0, 1241.5781795017692, 1164.7838135319325, 641.4931534579327, 1764.0832567414136, 1000.5266569894471, 1690.766393158056, 2264.9167432585864]","[0, 0, 0, 0, (434.1098, 1.2283333333333333, 0.020466666666666664), (645.9222, 2.945, 2.129), (105.9056, 0.6556666666666666, 0.0064), (1269.4758, 0.3529333333333333, 0.49439999999999995), (343.9326, 0.013333333333333336, 0.0074666666666666675), (321.563, 0.0134, 0.007933333333333334), 0, (88.0798, 0.027533333333333333, 0.014933333333333335), 0, (328.5532, 0.0, 0.0), (211.11286666666666, 0.7809333333333333, 0.005533333333333332), (82.4876, 0.0007333333333333332, 0.002), (641.7282666666667, 0.07759999999999999, 0.331), (0.0, 0.004533333333333333, 0.0), (369.0984, 16.1096, 2.579733333333333), (120.93533333333332, 0.045200000000000004, 0.020266666666666665), (223.696, 0.11593333333333333, 0.0992), (973.0777333333333, 0.10640000000000001, 0.744)]","[0, 0, 0, 0, (3, 0.0, 0.0004555555555555556), (2, 0.0, 0.0070888888888888885), (1, 0.0, 0.00020555555555555556), (3, 0.1731833333333333, 0.38794999999999996), (3, 0.0, 0.017083333333333332), (3, 0.0, 0.017744444444444448), 0, (1, 0.0, 0.05538333333333333), 0, (3, 0.007816666666666666, 0.003527777777777778), (3, 0.0, 0.00045000000000000004), (1, 0.0, 0.0005722222222222222), (3, 0.04375, 0.0321388888888889), (3, 0.0, 0.0012944444444444446), (2, 0.0, 0.00225), (2, 0.0, 0.0), (2, 0.0, 0.0010277777777777776), (3, 0.0, 0.025061111111111114)]","[-1, -1, -1, -1, 10, 12, 14, 8, 0, 14, -1, 1, -1, 15, 5, 1, 1, 1, 9, 15, 15, 9]","[False, False, False, False, True, True, True, True, True, True, False, True, False, True, True, True, True, True, True, True, True, True]"
