interval,numdestroyed,nummigrations,energy,energytotalinterval,energypercontainerinterval,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,4,"[735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 795.0]",14400.0,3600.0,[],0.0,[],0.0,0,0.0,[]
2,0,6,"[1425.0, 735.0, 735.0, 735.0, 735.0, 735.0, 1425.0, 735.0, 795.0, 795.0, 795.0, 795.0, 1515.0, 795.0, 1515.0, 795.0]",15060.0,2151.4285714285716,[],0.0,[],0.0,0,0.0,[]
3,0,9,"[1425.0, 1425.0, 735.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1515.0, 795.0, 795.0, 1515.0, 1514.4713328369323, 795.0, 795.0, 1515.0]",18569.471332836933,1547.4559444030776,[],0.0,[],0.0,0,0.0,[]
4,0,14,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 735.0, 795.0, 795.0, 795.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",18540.0,1158.75,[],0.0,[],0.0,0,0.0,[]
5,0,7,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1205.625,[],0.0,[],0.0,0,0.0,[]
6,0,6,"[1425.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1205.625,[],0.0,[],0.0,0,0.0,[]
7,2,8,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",18600.0,1240.0,"[1594.6058072174271, 1120.790312221948]",1357.6980597196875,"[1.08716256, 0.33889944]",0.713031,0,0.0,"[1, 1]"
8,1,8,"[735.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 735.0, 735.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19350.0,1209.375,[2037.3779178557063],2037.3779178557063,[0.5628731200000001],0.5628731200000001,0,0.0,[1]
9,1,6,"[1425.0, 1425.0, 735.0, 735.0, 735.0, 735.0, 1425.0, 735.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19350.0,1209.375,[1644.883541000113],1644.883541000113,[0.08724144],0.08724144,0,0.0,[1]
10,2,5,"[1425.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 735.0, 735.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1514.4713328369323]",18629.471332836933,1164.3419583023083,"[2657.3742865183067, 2687.3259003349754]",2672.3500934266413,"[0.7424603933333332, 0.25389496]",0.4981776766666666,0,0.0,"[1, 1]"
