interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,4,4,4,4,0
2,8,4,4,6,1
3,13,5,6,9,1
4,17,4,4,14,1
5,24,7,0,7,8
6,27,3,0,6,11
7,31,4,2,8,14
8,34,3,2,8,15
9,39,5,1,6,19
10,44,5,2,5,22
11,49,5,1,2,27
12,53,4,1,0,31
13,57,4,1,2,34
14,60,3,1,1,36
15,67,7,2,1,42
16,75,8,2,3,48
17,78,3,1,2,51
18,83,5,1,0,56
19,89,6,3,3,59
20,93,4,2,2,61
21,97,4,2,2,63
22,104,7,0,0,70
23,109,5,1,1,74
24,114,5,0,0,79
25,119,5,1,1,83
26,121,2,1,0,85
27,124,3,2,0,88
28,130,6,4,4,91
29,136,6,3,3,94
30,138,2,1,2,95
31,141,3,3,3,95
32,146,5,1,1,99
33,155,9,0,0,108
34,159,4,2,2,110
35,166,7,1,1,116
36,171,5,1,1,120
37,175,4,1,1,123
38,177,2,3,4,122
39,184,7,2,2,127
40,189,5,0,0,132
41,195,6,0,0,138
42,198,3,3,3,138
43,201,3,1,0,141
44,205,4,2,2,143
45,212,7,1,1,149
46,217,5,3,3,151
47,222,5,2,4,154
48,226,4,1,1,157
49,228,2,0,0,159
50,230,2,0,0,161
51,237,7,0,0,168
52,240,3,1,0,171
53,245,5,4,3,174
54,250,5,3,1,178
55,253,3,2,2,179
56,259,6,2,2,183
57,262,3,0,0,186
58,266,4,1,0,190
59,269,3,3,3,190
60,274,5,2,2,193
61,279,5,1,1,197
62,283,4,0,0,201
63,288,5,1,1,205
64,291,3,2,1,207
65,295,4,3,3,208
66,298,3,1,2,210
67,304,6,1,1,215
68,305,1,3,3,213
69,310,5,1,0,218
70,314,4,4,2,220
71,320,6,2,1,225
72,324,4,3,2,227
73,328,4,1,0,231
74,333,5,1,0,236
75,339,6,2,1,241
76,343,4,3,4,243
77,348,5,4,4,245
78,358,10,1,1,254
79,361,3,1,1,256
80,365,4,3,3,257
81,370,5,0,1,262
82,375,5,0,0,267
83,380,5,1,1,271
84,383,3,4,4,270
85,389,6,1,1,275
86,394,5,0,0,280
87,397,3,3,4,281
88,404,7,1,1,287
89,412,8,0,0,295
90,417,5,2,2,298
91,420,3,2,2,299
92,424,4,1,1,302
93,429,5,1,0,307
94,432,3,4,3,307
95,435,3,2,3,308
96,439,4,1,2,311
97,445,6,2,1,316
98,451,6,2,3,320
99,457,6,1,1,325
100,464,7,3,1,331
101,467,3,4,4,332
