interval,numdestroyed,nummigrations,energy,energytotalinterval,energypercontainerinterval,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,3,"[735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 795.0, 795.0]",14400.0,4800.0,[],0.0,[],0.0,0,0.0,[]
2,0,4,"[1425.0, 735.0, 1425.0, 735.0, 735.0, 735.0, 735.0, 735.0, 795.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 795.0, 795.0]",15060.0,3012.0,[],0.0,[],0.0,0,0.0,[]
3,0,11,"[1425.0, 1425.0, 735.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",18600.0,1550.0,[],0.0,[],0.0,0,0.0,[]
4,0,8,"[1424.5457930007447, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19289.545793000747,1205.5966120625467,[],0.0,[],0.0,0,0.0,[]
5,0,7,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19260.0,1203.75,[],0.0,[],0.0,0,0.0,[]
6,0,4,"[1424.5457930007447, 735.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19259.545793000747,1203.7216120625467,[],0.0,[],0.0,0,0.0,[]
7,1,5,"[1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",20010.0,1250.625,[890.6162943253056],890.6162943253056,[0.22788900666666667],0.22788900666666667,0,0.0,[1]
8,0,4,"[1425.0, 735.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1205.625,[],0.0,[],0.0,0,0.0,[]
9,1,4,"[1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1205.625,[2261.8931787403403],2261.8931787403403,[0.0],0.0,1,100.0,[1]
10,2,4,"[1424.5457930007447, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 795.0, 1515.0]",18569.545793000747,1160.5966120625467,"[2435.011009687064, 1904.691084867628]",2169.851047277346,"[0.06419814, 0.0]",0.03209907,0,0.0,"[1, 1]"
