interval,selection,decision,schedule,schedulingtime
1,"[0, 1, 2]","[(0, 8), (1, 10), (2, 12)]","[(0, 8), (1, 10), (2, 12), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.012526273727416992
2,[],"[(1, 11), (3, 2), (4, 11)]","[(0, 0), (1, 0), (2, 12), (3, 2), (4, 11), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.015178680419921875
3,[],"[(0, 3), (1, 10), (5, 14), (6, 8), (7, 11), (8, 10), (9, 1), (10, 7), (11, 3)]","[(0, 3), (1, 10), (2, 12), (3, 0), (4, 0), (5, 14), (6, 8), (7, 11), (8, 10), (9, 1), (10, 7), (11, 3), (None, None), (None, None), (None, None), (None, None)]",0.010883808135986328
4,[],"[(4, 14), (12, 15), (13, 6), (14, 5), (15, 8)]","[(0, 3), (1, 10), (2, 12), (3, 0), (4, 14), (5, 14), (6, 0), (7, 0), (8, 10), (9, 0), (10, 7), (11, 3), (12, 15), (13, 6), (14, 5), (15, 8)]",0.009961128234863281
5,[],"[(6, 14), (7, 2), (9, 1)]","[(0, 3), (1, 10), (2, 12), (3, 0), (4, 0), (5, 14), (6, 14), (7, 2), (8, 10), (9, 1), (10, 7), (11, 0), (12, 15), (13, 6), (14, 0), (15, 0)]",0.01084446907043457
6,[],"[(1, 6), (4, 14), (7, 11), (14, 5)]","[(0, 3), (1, 10), (2, 12), (3, 0), (4, 14), (5, 0), (6, 14), (7, 2), (8, 10), (9, 0), (10, 7), (11, 0), (12, 15), (13, 6), (14, 5), (15, 0)]",0.010469198226928711
7,[],"[(5, 14), (9, 8), (15, 13)]","[(0, 3), (1, 10), (2, 12), (3, 0), (4, 0), (5, 14), (6, 14), (7, 0), (8, 10), (9, 8), (10, 7), (11, 0), (12, 15), (13, 6), (14, 5), (15, 13)]",0.010146617889404297
8,[],"[(4, 10), (7, 2)]","[(0, 3), (1, 10), (2, 12), (3, 0), (4, 10), (5, 14), (6, 14), (7, 2), (8, 10), (9, 8), (10, 7), (11, 0), (12, 15), (13, 6), (14, 0), (15, 0)]",0.010182380676269531
9,[],"[(2, 12), (14, 5)]","[(0, 3), (1, 10), (2, 12), (3, 0), (4, 0), (5, 14), (6, 14), (7, 0), (8, 10), (9, 8), (10, 7), (11, 0), (12, 15), (13, 6), (14, 5), (15, 0)]",0.010196208953857422
10,[],"[(1, 6), (4, 10), (5, 12)]","[(0, 3), (1, 6), (2, 12), (3, 0), (4, 10), (5, 12), (6, 0), (7, 0), (8, 10), (9, 8), (10, 7), (11, 0), (12, 15), (13, 6), (14, 5), (15, 0)]",0.015723705291748047
11,[],"[(6, 14), (7, 2)]","[(0, 3), (1, 6), (2, 12), (3, 0), (4, 10), (5, 12), (6, 14), (7, 2), (8, 10), (9, 8), (10, 7), (11, 0), (12, 15), (13, 6), (14, 0), (15, 0)]",0.010280132293701172
12,[],"[(4, 14), (6, 7), (7, 11), (9, 1), (10, 10), (14, 5)]","[(0, 3), (1, 0), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 2), (8, 10), (9, 1), (10, 10), (11, 0), (12, 15), (13, 6), (14, 5), (15, 0)]",0.01053166389465332
13,[],"[(1, 6), (7, 1), (10, 7)]","[(0, 3), (1, 6), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 1), (8, 10), (9, 0), (10, 7), (11, 0), (12, 15), (13, 6), (14, 5), (15, 0)]",0.010423421859741211
14,[],"[(8, 0), (9, 14), (14, 8)]","[(0, 3), (1, 6), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 0), (None, None), (9, 14), (10, 7), (11, 0), (12, 15), (13, 6), (14, 8), (15, 0)]",0.011968612670898438
15,[],"[(3, 12), (7, 2), (8, 4), (13, 8)]","[(0, 3), (1, 0), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 2), (8, 4), (9, 14), (10, 7), (11, 0), (12, 15), (13, 8), (14, 8), (15, 0)]",0.010504961013793945
16,[],"[(1, 6)]","[(0, 3), (1, 6), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 0), (8, 4), (9, 14), (10, 7), (11, 0), (12, 15), (13, 8), (14, 8), (15, 0)]",0.010406255722045898
17,[],"[(0, 11), (7, 1), (12, 9), (13, 2)]","[(0, 11), (1, 6), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 1), (8, 0), (9, 14), (10, 7), (11, 0), (12, 15), (13, 0), (14, 8), (15, 0)]",0.031969547271728516
18,[],"[(12, 10), (13, 6)]","[(0, 11), (1, 6), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 1), (8, 0), (9, 14), (10, 7), (11, 0), (12, 10), (13, 6), (14, 8), (15, 0)]",0.010666608810424805
19,[],[],"[(0, 11), (1, 6), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 1), (8, 0), (9, 14), (10, 7), (11, 0), (12, 10), (13, 6), (14, 8), (15, 0)]",0.013283014297485352
20,[],"[(15, 10)]","[(0, 11), (1, 6), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 0), (8, 0), (9, 14), (10, 7), (11, 0), (12, 10), (13, 6), (14, 8), (15, 10)]",0.010083198547363281
21,[],"[(11, 4)]","[(0, 11), (1, 6), (2, 12), (3, 0), (4, 14), (5, 12), (6, 7), (7, 0), (8, 0), (9, 14), (10, 7), (11, 4), (12, 10), (13, 6), (14, 8), (15, 10)]",0.010463476181030273
22,[],"[(3, 12), (11, 9)]","[(0, 11), (1, 6), (2, 12), (None, None), (4, 14), (5, 12), (6, 7), (7, 0), (8, 0), (9, 14), (10, 7), (11, 9), (12, 10), (13, 0), (14, 0), (15, 0)]",0.009817838668823242
23,[],"[(3, 11), (7, 9), (12, 14), (13, 15), (14, 5)]","[(0, 11), (1, 0), (2, 12), (None, None), (4, 14), (5, 12), (6, 7), (7, 9), (8, 0), (9, 14), (10, 7), (11, 0), (12, 14), (13, 15), (14, 5), (15, 0)]",0.01574993133544922
24,[],"[(0, 1), (1, 6), (3, 12), (9, 1)]","[(0, 1), (1, 6), (2, 12), (None, None), (4, 14), (5, 12), (6, 7), (7, 0), (8, 0), (None, None), (10, 7), (11, 0), (12, 14), (13, 15), (14, 5), (15, 0)]",0.010190010070800781
