interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,3,3,3,3,0
2,5,2,2,4,0
3,12,7,7,11,0
4,17,5,4,8,1
5,21,4,0,7,5
6,28,7,0,4,12
7,32,4,1,5,15
8,36,4,0,4,19
9,40,4,1,4,22
10,43,3,2,4,23
11,49,6,0,3,29
12,53,4,4,6,29
13,59,6,1,4,34
14,62,3,2,3,36
15,68,6,2,4,40
16,72,4,0,2,44
17,76,4,1,4,47
18,82,6,1,2,52
19,84,2,0,0,54
20,89,5,1,2,58
21,94,5,0,1,63
22,98,4,2,4,66
23,103,5,3,6,69
24,106,3,3,3,71
25,109,3,4,5,71
26,113,4,3,5,72
27,118,5,1,4,76
28,123,5,2,5,79
29,124,1,2,5,78
30,129,5,0,1,83
31,135,6,1,4,88
32,141,6,2,2,93
33,144,3,4,6,93
34,149,5,1,1,97
35,154,5,1,1,101
36,161,7,1,7,107
37,164,3,1,4,110
38,167,3,1,5,112
39,170,3,0,3,115
40,176,6,2,6,119
41,182,6,2,4,124
42,185,3,4,4,124
43,190,5,1,5,129
44,194,4,2,4,132
45,199,5,3,2,136
46,205,6,4,6,139
47,209,4,1,5,142
48,214,5,1,5,146
49,218,4,1,4,149
50,220,2,0,4,151
51,223,3,3,4,152
52,229,6,2,5,157
53,231,2,1,3,159
54,234,3,4,7,158
55,239,5,2,4,162
56,244,5,2,5,165
57,250,6,0,4,171
58,254,4,0,5,175
59,258,4,1,3,178
60,262,4,2,4,181
61,266,4,4,8,181
62,268,2,1,4,182
63,273,5,0,3,187
64,278,5,0,0,192
65,284,6,2,2,196
66,288,4,0,0,200
67,296,8,2,2,206
68,302,6,1,1,212
69,308,6,3,2,216
70,314,6,1,1,222
71,317,3,1,1,225
72,323,6,3,3,229
73,328,5,4,4,231
74,331,3,3,1,233
75,338,7,2,1,239
76,343,5,3,4,242
77,345,2,3,4,242
78,348,3,2,4,244
79,352,4,2,6,246
80,356,4,5,10,245
81,362,6,0,5,251
82,366,4,1,4,254
83,370,4,3,3,255
84,372,2,1,7,256
85,373,1,1,6,257
86,376,3,3,4,258
87,383,7,2,5,263
88,387,4,1,4,266
89,392,5,1,5,270
90,395,3,4,9,269
91,400,5,2,5,272
92,403,3,2,4,274
93,408,5,2,6,277
94,413,5,1,4,281
95,417,4,0,4,285
96,419,2,1,3,287
97,426,7,3,6,291
98,432,6,1,4,296
99,434,2,0,0,298
100,438,4,2,3,300
101,441,3,3,6,300
