interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,"[501.40426599866777, 450.7502254398, 80.13338746088, 2047.1528695743666, 3121.8625785998443, 2180.662757134983]","[0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1]","[-1, -1, -1, -1, -1, -1]","[4029.0, 2199.80841898946, 1829.19158101054, 4029.0, 4029.0, 4029.0]","[(0.0, 0.0048, 6.666666666666668e-05), (184.549, 0.0, 0.0), (75.84646666666666, 0.0, 0.0), (545.259, 0.6861333333333334, 1.4692), (0.0, 0.0, 0.0), (473.9556, 4.806, 0.02386666666666667)]","[(2, 0.0, 0.0013222222222222222), (1, 0.0, 0.00029444444444444445), (2, 0.00015, 0.0002722222222222222), (1, 0.07585, 0.04698333333333333), (2, 0.0, 0.0), (1, 0.0, 0.005094444444444444)]","[14, 10, 10, 11, 2, 7]","[True, True, True, True, True, True]"
2,"[498.43737685074666, 570.9502855570801, 0, 1922.54356446984, 3065.1014408071205, 1462.6758357381586, 1876.4565081617916]","[0, 0, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 2]","[-1, -1, -1, -1, -1, -1, -1]","[4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0]","[(145.4024, 0.004733333333333333, 6.666666666666668e-05), (225.0938, 0.0, 0.0), (71.827, 0.0, 0.0), (738.1968, 0.7232666666666667, 1.2136), (0.0, 0.0, 0.0), (384.4776, 1.923, 0.024933333333333335), (258.64820000000003, 0.019533333333333337, 0.0016)]","[(2, 0.0, 0.0012666666666666666), (1, 0.0, 0.0002833333333333333), (2, 0.09475, 0.017716666666666665), (1, 0.0017166666666666665, 0.0023777777777777777), (2, 0.0, 0.0), (1, 0.0, 0.005011111111111111), (3, 0.05115, 0.03694444444444444)]","[5, 10, 3, 4, 0, 1, 14]","[True, True, True, True, True, True, True]"
3,"[498.43737685074666, 500.8335838220001, 0, 2011.5502109730733, 2911.512479720924, 2530.7555535185593, 1328.8784523992754, 884.1326637750533, 590.9835929581135, 3752.9130163235823]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 2, 3, 3, 3]","[-1, -1, 3, -1, -1, -1, -1, -1, -1, -1]","[4029.0, 4029.0, 0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0]","[(67.1088, 0.004666666666666667, 0.0), (191.5394, 0.0, 0.0), 0, (564.8324, 0.6947333333333332, 1.3258666666666665), (0.0, 0.0, 0.0), (419.43, 3.8347333333333333, 0.0464), (328.5534, 0.0005333333333333334, 0.0006), (128.62506666666664, 0.00046666666666666666, 0.0014), (265.6387333333333, 0.05313333333333333, 0.031266666666666665), (388.67179999999996, 7.663399999999999, 2.4918666666666667)]","[(2, 0.0, 0.0012333333333333335), (1, 1.666666666666667e-05, 0.0002611111111111111), 0, (1, 0.00225, 0.06516111111111111), (2, 0.0, 0.0), (1, 0.00031666666666666665, 0.004988888888888889), (3, 0.06125, 0.025472222222222222), (2, 0.0705, 0.025599999999999998), (3, 0.0, 0.006316666666666667), (2, 0.0, 0.016355555555555557)]","[7, 8, -1, 6, 2, 3, 9, 12, 1, 13]","[True, True, False, True, True, True, True, True, True, True]"
4,"[0, 0, 0, 2940.186222823474, 3145.2348118086134, 1379.6029687996834, 2050.0788185255155, 845.5631180399, 580.9669218910268, 2794.65141873918, 3121.8625785998443, 2006.6731654957287, 454.0891471920266, 628.9803113908888]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3]","[1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4]","[-1, -1, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[453.5687107000779, 1787.4554264039866, 0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 3575.4312892999224, 4029.0, 2241.5445735960134, 4029.0]","[(100.6632, 0.004666666666666667, 6.666666666666668e-05), (225.09366666666662, 0.0, 0.0), 0, (1015.0211999999999, 0.7137333333333332, 1.397666666666667), (0.0, 0.0, 0.0), (442.49846666666673, 3.044, 0.055333333333333345), (298.49406666666664, 0.0016666666666666668, 0.005466666666666667), (120.23626666666664, 0.0, 0.001066666666666667), (272.62933333333325, 0.053200000000000004, 0.03573333333333333), (651.5146, 19.004533333333335, 2.486266666666667), (0.0, 0.0, 0.0), (306.18366666666674, 0.5942000000000001, 0.19193333333333337), (29.621666666666673, 4.1293999999999995, 4.1416), (320.1647333333333, 0.0011333333333333332, 0.0015333333333333334)]","[(2, 0.0, 0.001238888888888889), (1, 0.0, 0.0002833333333333333), 0, (1, 1.0436000000000003, 0.5150888888888889), (2, 0.0, 0.0), (1, 0.0, 0.004972222222222222), (3, 0.0008666666666666667, 0.016138888888888887), (2, 1.666666666666667e-05, 0.0006111111111111112), (3, 0.0, 0.0011611111111111112), (2, 0.0, 0.0053), (2, 0.0, 0.0), (3, 0.011550000000000001, 0.43049444444444446), (3, 0.0, 1.6666666666666667e-05), (2, 0.0037166666666666667, 0.0028777777777777777)]","[11, 14, -1, 10, 4, 5, 15, 1, 0, 2, 11, 3, 14, 9]","[True, True, False, True, True, True, True, True, True, True, True, True, True, True]"
5,"[0, 0, 0, 2067.9210870917877, 2988.3069602640226, 1530.9142621519063, 1896.4898516652977, 809.96046043822, 557.5946894011578, 1739.5619942211624, 3065.1014408071205, 1352.2506356501997, 1315.5229705416066, 634.9140879134446, 1155.2559781834066, 1115.1894634134223, 731.2170323801198, 454.0891471920266]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[5, 5, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 4029.0, 4029.0, 4029.0, 2597.1364096425887, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 2345.050158110698, 1431.8635903574109, 1683.949841889302]","[0, 0, 0, (679.4766, 0.7587999999999999, 1.3356666666666668), (0.0, 0.0, 0.0), (440.4012, 3.206266666666667, 0.1867333333333333), (294.3, 0.001066666666666667, 0.005466666666666667), (72.7008, 6.666666666666668e-05, 0.0015333333333333334), (160.78126666666668, 0.05293333333333333, 0.031466666666666664), (369.0984, 16.1096, 2.579733333333333), (0.0, 0.0, 0.0), (281.018, 0.42160000000000003, 0.13533333333333333), (29.53446666666667, 12.107333333333337, 12.139266666666664), (300.59133333333324, 0.0011333333333333332, 0.0015333333333333334), (67.10839999999999, 0.00013333333333333334, 0.001), (499.1218, 0.0016666666666666668, 0.0011333333333333332), (178.9568, 0.0019333333333333331, 0.0014666666666666665), (29.621666666666673, 4.1293999999999995, 4.1416)]","[0, 0, 0, (1, 0.0012666666666666666, 0.0020055555555555556), (2, 0.0, 0.0), (1, 1.666666666666667e-05, 0.0052), (3, 0.0002, 0.014294444444444445), (2, 0.0, 0.0005666666666666668), (3, 0.0, 0.0011222222222222222), (2, 0.0, 0.00225), (2, 0.0, 0.0), (3, 1.666666666666667e-05, 0.2272388888888889), (3, 0.0, 1.6666666666666667e-05), (2, 0.0004, 0.0023666666666666667), (1, 0.0, 0.0005722222222222222), (2, 0.0, 0.0010999999999999998), (1, 0.36411666666666676, 0.01315), (3, 0.0, 1.6666666666666667e-05)]","[-1, -1, -1, 10, 13, 0, 5, 7, 6, 8, 3, 12, 4, 1, 2, 15, 5, 15]","[False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
6,"[0, 0, 0, 2038.2522049240424, 3008.340303014396, 1483.4440524727775, 2227.0400194731583, 1317.2983312621604, 574.2891411796356, 1826.3731494030244, 2911.512479720924, 1409.0117734429248, 1135.2228679800667, 557.7749931202221, 1151.9170880730503, 2047.1528695743666, 1175.2894943758222, 657.7614400862267, 1315.5229705416066]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 5, 5, 5]","[5, 5, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 2375.864617191218, 4029.0, 1642.7020164998096, 2386.2979835001906, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 1653.135382808782]","[0, 0, 0, (654.3108000000001, 0.7628666666666667, 1.1362666666666668), (0.0, 0.0, 0.0), (478.84913333333344, 2.3301999999999996, 0.8102), (234.18133333333338, 0.0016666666666666668, 0.0016), (75.49706666666667, 0.0, 0.001066666666666667), (143.3049333333333, 0.05273333333333334, 0.030533333333333336), (268.4352, 13.852799999999998, 1.682), (0.0, 0.0, 0.0), (255.852, 0.49213333333333326, 0.15953333333333333), (31.3258, 10.272666666666666, 10.300266666666666), (288.00833333333327, 0.0011333333333333332, 0.0014), (72.70093333333334, 6.666666666666668e-05, 0.001), (545.259, 0.6861333333333334, 1.4692), (553.6476, 0.0017333333333333335, 0.0015333333333333334), (192.93779999999998, 0.003933333333333333, 0.0014666666666666665), (29.53446666666667, 12.107333333333337, 12.139266666666664)]","[0, 0, 0, (1, 0.011416666666666664, 0.047094444444444446), (2, 0.0, 0.0), (1, 0.0, 0.004461111111111111), (3, 0.0006666666666666666, 0.02163888888888889), (2, 1.666666666666667e-05, 0.0007), (3, 0.0, 0.0011333333333333332), (2, 0.0, 0.005916666666666666), (2, 0.0, 0.0), (3, 8.333333333333333e-05, 0.28617777777777775), (3, 0.0, 4.4444444444444447e-05), (2, 0.00026666666666666673, 0.002455555555555556), (1, 0.0, 0.0005666666666666666), (1, 0.07585, 0.04698333333333333), (2, 0.0, 0.0005222222222222223), (1, 0.26766666666666666, 0.015294444444444444), (3, 0.0, 1.6666666666666667e-05)]","[-1, -1, -1, 10, 8, 9, 9, 4, 3, 5, 0, 7, 1, 11, 14, 6, 15, 2, 10]","[False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
7,"[0, 0, 0, 2070.887975308562, 3068.4403312655163, 0, 1766.2731188925045, 1459.7089616688797, 577.6280315353312, 1612.6841520322869, 3145.2348118086134, 1816.3564093671823, 1145.2395403445964, 0, 1158.5948682937635, 1922.54356446984, 1121.8672446314667, 711.18368902724, 1135.2228679800667]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 5, 5, 5]","[5, 5, 3, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 2489.0103653385477, 4029.0, 1053.22821776508, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 2975.77178223492, 1539.9896346614523, 4029.0, 4029.0]","[0, 0, 0, (506.11220000000003, 0.7000666666666667, 1.4158), (0.0, 0.0, 0.0), (333.44686666666666, 0.9099333333333333, 0.8626), (242.57, 0.0003333333333333333, 0.0004), (114.64386666666668, 0.0, 0.0011333333333333332), (167.77166666666662, 0.052866666666666666, 0.030466666666666666), (383.0794, 15.210066666666668, 1.8525333333333331), (0.0, 0.0, 0.0), (226.49179999999998, 0.6, 0.19540000000000002), (31.238400000000002, 10.958333333333334, 10.986266666666667), (311.7758666666666, 0.0011333333333333332, 0.0015333333333333334), (75.49719999999999, 0.0004, 0.0014666666666666665), (738.1968, 0.7232666666666667, 1.2136), (461.3726, 0.008400000000000001, 0.008866666666666667), (134.2176, 0.002, 0.0014), (31.3258, 10.272666666666666, 10.300266666666666)]","[0, 0, 0, (1, 0.0675, 0.04805), (2, 0.0, 0.0), (1, 0.0, 0.004088888888888889), (3, 6.666666666666667e-05, 0.009744444444444444), (2, 0.0, 0.0006555555555555555), (3, 1.666666666666667e-05, 0.0011833333333333333), (2, 0.0, 0.0036999999999999997), (2, 0.0, 0.0), (3, 0.00016666666666666666, 0.37338333333333334), (3, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.002388888888888889), (1, 0.0, 0.0005499999999999999), (1, 0.0017166666666666665, 0.0023777777777777777), (2, 0.0, 0.0004944444444444445), (1, 0.2701, 0.013050000000000004), (3, 0.0, 4.4444444444444447e-05)]","[-1, -1, -1, 11, 8, 4, 7, 2, 1, 3, 12, 5, 13, 9, 14, 4, 11, 0, 10]","[False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
8,"[0, 0, 0, 1964.079999504682, 3021.6958648479776, 0, 1993.317678598913, 0, 0, 1499.1618721790824, 2988.3069602640226, 2230.3788262082307, 1218.6951376844836, 0, 1151.9170880730503, 2011.5502109730733, 1035.0560887968888, 647.7447684097866, 1145.2395403445964, 685.3513090824399, 3121.8625785998443]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 5, 5, 5, 8, 8]","[5, 5, 3, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 2420.5814557158155, 4029.0, 0, 4029.0, 453.5687107000779, 4029.0, 4029.0, 3165.9778255907913, 4029.0, 4029.0, 0, 1608.418544284184, 4029.0, 4029.0, 4029.0, 4029.0, 863.0221744092087, 3575.4312892999224]","[0, 0, 0, (713.031, 0.7426, 1.2830666666666666), (0.0, 0.0, 0.0), 0, (231.3854, 0.0005333333333333334, 0.0008), (92.27413333333331, 6.666666666666668e-05, 0.0013333333333333333), (150.2954, 0.0526, 0.03033333333333333), (279.62, 9.749466666666667, 1.610333333333333), (0.0, 0.0, 0.0), (209.7148, 0.7276, 0.23566666666666664), (30.75773333333333, 11.004733333333336, 11.030333333333335), 0, (75.49719999999999, 0.0003333333333333333, 0.0014), (564.8324, 0.6947333333333332, 1.3258666666666665), (448.7898, 0.009933333333333334, 0.0104), (226.49220000000003, 0.0016666666666666668, 0.0014), (31.238400000000002, 10.958333333333334, 10.986266666666667), (232.08433333333338, 0.9976, 0.007), (0.0, 0.0, 0.0)]","[0, 0, 0, (1, 0.0019333333333333331, 0.002327777777777778), (2, 0.0, 0.0), 0, (3, 6.666666666666667e-05, 0.011649999999999999), (2, 1.666666666666667e-05, 0.003455555555555556), (3, 0.0, 0.0011055555555555556), (2, 0.05768333333333333, 0.023244444444444446), (2, 0.0, 0.0), (3, 0.00021666666666666668, 0.5190777777777777), (3, 0.0, 2.2222222222222223e-05), 0, (1, 0.0, 0.0005611111111111111), (1, 0.00225, 0.06516111111111111), (2, 0.0, 0.0004944444444444445), (1, 0.27021666666666666, 0.012733333333333334), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 0.0005111111111111112), (2, 0.0, 0.0)]","[-1, -1, -1, 11, 8, -1, 3, 15, 9, 0, 12, 2, 10, -1, 11, 1, 7, 6, 5, 12, 15]","[False, False, False, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True]"
9,"[0, 0, 0, 2079.788639958885, 2894.8180274289466, 0, 1889.8120704974624, 0, 0, 1863.10094582612, 3008.340303014396, 1318.8617310662446, 1191.9840113790701, 0, 1168.6115386248337, 2940.186222823474, 1051.750541842, 724.5392512624934, 1218.6951376844836, 741.7221959766666, 3065.1014408071205, 1155.2559781834066, 628.9803113908888]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 5, 5, 5, 8, 8, 9, 9]","[5, 5, 3, -1, -1, 8, -1, 9, 9, -1, -1, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 4029.0, 4029.0, 0, 4029.0, 0, 0, 4029.0, 3147.809053518865, 4029.0, 4029.0, 0, 4029.0, 4029.0, 4029.0, 2062.2794699358024, 4029.0, 881.1909464811354, 4029.0, 4029.0, 1966.7205300641976]","[0, 0, 0, (458.5768, 0.723, 1.306), (0.0, 0.0, 0.0), 0, (253.7549333333333, 0.0006666666666666666, 0.0008), 0, 0, (338.34020000000004, 2.189, 3.0638666666666667), (0.0, 0.0, 0.0), (255.852, 0.40273333333333333, 0.13053333333333333), (30.932599999999997, 11.007200000000001, 11.033333333333335), 0, (77.5942, 0.00046666666666666666, 0.0014), (1015.0211999999999, 0.7137333333333332, 1.397666666666667), (450.1882666666667, 0.0092, 0.009466666666666667), (271.2314, 0.0722, 0.0028666666666666667), (30.75773333333333, 11.004733333333336, 11.030333333333335), (264.24086666666665, 0.7731333333333333, 0.0056), (0.0, 0.0, 0.0), (67.10839999999999, 0.00013333333333333334, 0.001), (320.1647333333333, 0.0011333333333333332, 0.0015333333333333334)]","[0, 0, 0, (1, 0.059366666666666665, 0.06801666666666667), (2, 0.0, 0.0), 0, (3, 0.00018333333333333334, 0.015666666666666666), 0, 0, (2, 1.1261166666666667, 0.002977777777777778), (2, 0.0, 0.0), (3, 5e-05, 0.20164999999999994), (3, 0.0, 2.2222222222222223e-05), 0, (1, 0.0, 0.001627777777777778), (1, 1.0436000000000003, 0.5150888888888889), (2, 0.0, 0.0005166666666666667), (1, 0.24863333333333332, 0.04668333333333334), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 0.0006277777777777777), (2, 0.0, 0.0), (1, 0.0, 0.0005722222222222222), (2, 0.0037166666666666667, 0.0028777777777777777)]","[-1, -1, -1, 11, 8, -1, 14, -1, -1, 4, 12, 13, 5, -1, 6, 9, 2, 1, 0, 12, 15, 10, 1]","[False, False, False, True, True, False, True, False, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True]"
10,"[0, 0, 0, 2871.947793837662, 3151.912592725404, 0, 2103.5010678682, 0, 0, 2634.3846707111265, 3068.4403312655163, 1425.7062257349019, 1198.6617929554236, 0, 1165.2726485144767, 2067.9210870917877, 1055.0894324510223, 0, 1191.9840113790701, 623.0466446204, 2911.512479720924, 1151.9170880730503, 634.9140879134446]","[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4]","[1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 4, 4, 4, 4, 5, 6, 5, 5, 5, 8, 8, 9, 9]","[5, 5, 3, -1, -1, 8, -1, 9, 9, -1, -1, -1, -1, 8, -1, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 4029.0, 4029.0, 0, 4029.0, 0, 0, 3014.2352913988407, 3237.1968433225584, 4029.0, 4029.0, 0, 4029.0, 4029.0, 4029.0, 4029.0, 4029.0, 791.8031566774418, 4029.0, 4029.0, 1014.764708601159]","[0, 0, 0, (824.879, 0.7441333333333333, 1.3625333333333334), (0.0, 0.0, 0.0), 0, (244.66713333333328, 0.0014666666666666665, 0.0012), 0, 0, (408.2452, 3.357266666666667, 2.6136666666666666), (0.0, 0.0, 0.0), (213.9092, 0.46873333333333334, 0.15180000000000002), (29.2284, 11.277066666666668, 11.304066666666667), 0, (69.2056, 0.00046666666666666666, 0.0013333333333333333), (679.4766, 0.7587999999999999, 1.3356666666666668), (461.373, 0.0016666666666666668, 0.0013333333333333333), (164.9758, 0.0021333333333333334, 0.0014666666666666665), (30.932599999999997, 11.007200000000001, 11.033333333333335), (260.0463333333334, 0.6686, 0.004866666666666666), (0.0, 0.0, 0.0), (72.70093333333334, 6.666666666666668e-05, 0.001), (300.59133333333324, 0.0011333333333333332, 0.0015333333333333334)]","[0, 0, 0, (1, 1.0255833333333333, 0.54465), (2, 0.0, 0.0), 0, (3, 0.00015, 0.019816666666666666), 0, 0, (2, 1.092625, 0.013255555555555555), (2, 0.0, 0.0), (3, 3.3333333333333335e-05, 0.2765777777777778), (3, 0.0, 2.2222222222222223e-05), 0, (1, 0.0, 0.0005499999999999999), (1, 0.0012666666666666666, 0.0020055555555555556), (2, 0.0, 0.01923888888888889), (1, 0.2376, 0.013488888888888885), (3, 0.0, 2.2222222222222223e-05), (3, 0.0, 0.0004277777777777778), (2, 0.0, 0.0), (1, 0.0, 0.0005666666666666666), (2, 0.0004, 0.0023666666666666667)]","[-1, -1, -1, 9, 8, -1, 14, -1, -1, 1, 12, 13, 2, -1, 4, 6, 0, 7, 3, 12, 15, 10, 1]","[False, False, False, True, True, False, True, False, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True]"
