interval,numdestroyed,nummigrations,energy,energytotalinterval,energypercontainerinterval,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,6,"[735.0, 735.0, 1425.0, 735.0, 735.0, 735.0, 735.0, 1425.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 795.0]",15780.0,2630.0,[],0.0,[],0.0,0,0.0,[]
2,0,6,"[1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 735.0, 795.0, 795.0, 1515.0, 795.0, 795.0, 795.0, 1515.0, 795.0]",17130.0,2447.1428571428573,[],0.0,[],0.0,0,0.0,[]
3,1,9,"[735.0, 1425.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 795.0]",18570.0,2063.3333333333335,[359.76998496085173],359.76998496085173,[0.08860407999999999],0.08860407999999999,0,0.0,[1]
4,0,13,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 735.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0]",19980.0,1536.923076923077,[],0.0,[],0.0,0,0.0,[]
5,2,14,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1424.5457930007447, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0]",21359.545793000747,1423.969719533383,"[938.0729634412747, 902.0738354391373]",920.073399440206,"[0.28856784, 0.5982459933333333]",0.44340691666666665,0,0.0,"[1, 1]"
6,0,14,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0]",22080.0,1380.0,[],0.0,[],0.0,0,0.0,[]
7,0,13,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0]",22110.0,1381.875,[],0.0,[],0.0,0,0.0,[]
8,2,13,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1514.4713328369323, 1515.0, 795.0, 795.0, 1515.0]",21389.471332836933,1336.8419583023083,"[1906.1548770707473, 1135.1793155720957]",1520.6670963214215,"[3.46847538, 1.8600306466666663]",2.664253013333333,0,0.0,"[1, 1]"
9,2,11,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",22140.0,1383.75,"[1713.4953457504512, 1558.5065273852326]",1636.000936567842,"[0.8355016, 1.5868411199999994]",1.2111713599999998,0,0.0,"[1, 1]"
10,0,8,"[1425.0, 1424.5457930007447, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",22109.545793000747,1381.8466120625467,[],0.0,[],0.0,0,0.0,[]
11,1,10,"[1424.5457930007447, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0]",21389.545793000747,1336.8466120625467,[1639.9578201569198],1639.9578201569198,[1.7409141199999998],1.7409141199999998,0,0.0,[1]
12,2,11,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20670.0,1378.0,"[2163.430985759072, 2015.313460360622]",2089.372223059847,"[0.35520367333333336, 4.1164249]",2.235814286666667,0,0.0,"[1, 1]"
13,0,7,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0]",20730.0,1382.0,[],0.0,[],0.0,0,0.0,[]
14,1,10,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0]",20670.0,1378.0,[2469.9405558075923],2469.9405558075923,[0.26406648666666666],0.26406648666666666,0,0.0,[1]
15,1,6,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",20700.0,1380.0,[1548.2098341444616],1548.2098341444616,[1.2879285066666664],1.2879285066666664,0,0.0,[5]
16,2,9,"[1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0]",21390.0,1645.3846153846155,"[1846.2194666534235, 3992.37127580194]",2919.2953712276817,"[0.5796499399999999, 3.99325012]",2.28645003,0,0.0,"[5, 1]"
17,3,9,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20730.0,1480.7142857142858,"[3202.5413840182287, 2452.423487741351, 348.68930385074196]",2001.218058536774,"[5.92710598, 1.0857630533333333, 0.09101575999999999]",2.367961597777778,0,0.0,"[2, 4, 10]"
18,1,7,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",22110.0,1474.0,[4123.1499410188435],4123.1499410188435,[3.4124793866666665],3.4124793866666665,0,0.0,[1]
19,2,11,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1424.5457930007447, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0]",21359.545793000747,1334.9716120625467,"[5117.094491168286, 2303.725762217628]",3710.4101266929574,"[8.04802368, 0.48115414666666667]",4.264588913333333,0,0.0,"[1, 6]"
20,1,8,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0]",22080.0,1472.0,[4240.971246196439],4240.971246196439,[1.30218514],1.30218514,0,0.0,[2]
21,0,6,"[1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0]",21390.0,1426.0,[],0.0,[],0.0,0,0.0,[]
22,0,6,"[735.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",22140.0,1383.75,[],0.0,[],0.0,0,0.0,[]
23,1,8,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0]",21360.0,1424.0,[5593.928896510263],5593.928896510263,[0.0],0.0,1,100.0,[1]
24,2,9,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 735.0, 795.0, 1514.4713328369323, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20699.471332836933,1478.5336666312094,"[1815.8522169870887, 4580.517236772196]",3198.1847268796423,"[1.09834736, 0.0]",0.54917368,2,100.0,"[11, 4]"
25,1,10,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0]",21390.0,1527.857142857143,[2094.7850548600522],2094.7850548600522,[1.4171128533333333],1.4171128533333333,0,0.0,[12]
26,2,12,"[1425.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20730.0,1382.0,"[7298.580236141702, 1829.242488189144]",4563.911362165423,"[0.0, 3.539289966666666]",1.769644983333333,2,100.0,"[1, 13]"
27,4,10,"[1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 795.0, 1514.4713328369323, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",20699.471332836933,1478.5336666312094,"[7005.16976788941, 813.6674660564197, 2226.7671567740626, 2409.7890587770926]",3113.848362374246,"[9.799003279999999, 0.26766505333333324, 0.20501466000000002, 1.1874727733333332]",2.8647889416666663,1,25.0,"[1, 17, 13, 12]"
28,0,9,"[1424.5457930007447, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",22079.545793000747,1379.9716120625467,[],0.0,[],0.0,0,0.0,[]
29,1,7,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0]",22800.0,1425.0,[2914.995768134612],2914.995768134612,[1.4688438600000002],1.4688438600000002,1,100.0,[13]
30,2,11,"[735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0]",21390.0,1527.857142857143,"[2130.8357896506313, 4580.698360226224]",3355.767074938428,"[0.7900638866666666, 5.50487894]",3.1474714133333332,1,50.0,"[15, 9]"
31,1,9,"[1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0]",20670.0,1378.0,[3979.8893384222765],3979.8893384222765,[4.94284274],4.94284274,1,100.0,[11]
32,1,8,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0]",20700.0,1293.75,[4232.193070823676],4232.193070823676,[2.8698772533333337],2.8698772533333337,1,100.0,[12]
33,1,8,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",22830.0,1426.875,[1678.9168918058072],1678.9168918058072,[3.136358106666667],3.136358106666667,1,100.0,[19]
34,1,6,"[735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0]",21390.0,1426.0,[2031.6829652467477],2031.6829652467477,[0.458855],0.458855,1,100.0,[19]
35,2,13,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0]",22080.0,1380.0,"[2341.36015059602, 6619.832197635531]",4480.596174115775,"[0.8089406600000001, 0.0]",0.40447033000000004,2,100.0,"[19, 7]"
36,2,11,"[1425.0, 1425.0, 1425.0, 1425.0, 1424.5457930007447, 1425.0, 1425.0, 735.0, 795.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0]",20669.545793000747,1291.8466120625467,"[5539.186595624432, 2822.806544331851]",4180.996569978141,"[1.9010617266666663, 2.0202863599999996]",1.960674043333333,2,100.0,"[12, 19]"
37,1,13,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0]",21390.0,1336.875,[2161.764843274305],2161.764843274305,[0.97139988],0.97139988,1,100.0,[20]
38,0,8,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",22800.0,1425.0,[],0.0,[],0.0,0,0.0,[]
39,1,11,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",22080.0,1380.0,[3763.730211323194],3763.730211323194,[2.424862586666667],2.424862586666667,1,100.0,[18]
40,2,12,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 795.0, 795.0, 1515.0, 795.0, 1515.0]",20640.0,1376.0,"[4419.494022659641, 2491.3813965735076]",3455.4377096165745,"[1.4061363599999999, 1.9766327866666664]",1.691384573333333,2,100.0,"[18, 22]"
41,0,12,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0]",20010.0,1250.625,[],0.0,[],0.0,0,0.0,[]
42,1,10,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0]",22080.0,1380.0,[2941.587554626217],2941.587554626217,[1.3597920600000002],1.3597920600000002,1,100.0,[23]
