cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5,cpu_6,ram_6,disk_6,cpu_7,ram_7,disk_7,cpu_8,ram_8,disk_8,cpu_9,ram_9,disk_9,cpu_10,ram_10,disk_10,cpu_11,ram_11,disk_11,cpu_12,ram_12,disk_12,cpu_13,ram_13,disk_13,cpu_14,ram_14,disk_14,cpu_15,ram_15,disk_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,473.9556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,260.39546666666666,3.0,100.0,545.259,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0
100.0,0.0,2.0,100.0,384.4776,1.0,0.0,0.0,0.0,100.0,71.827,2.0,100.0,738.1968,1.0,100.0,145.4024,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,225.0938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,258.64820000000003,3.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,265.6387333333333,3.0,100.0,0.0,2.0,100.0,419.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,564.8324,1.0,100.0,67.1088,2.0,100.0,191.5394,1.0,100.0,328.5534,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,128.62506666666664,2.0,100.0,388.67179999999996,2.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,272.62933333333325,3.0,100.0,120.23626666666664,2.0,100.0,651.5146,2.0,100.0,306.18366666666674,3.0,100.0,0.0,2.0,100.0,442.49846666666673,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,320.1647333333333,2.0,100.0,1015.0211999999999,1.0,100.0,100.6632,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,254.7153333333333,4.0,100.0,298.49406666666664,3.0
100.0,440.4012,1.0,100.0,300.59133333333324,2.0,100.0,67.10839999999999,1.0,100.0,0.0,2.0,100.0,29.53446666666667,3.0,99.97517994539588,473.2568,4.0,100.0,160.78126666666668,3.0,100.0,72.7008,2.0,100.0,369.0984,2.0,0.0,0.0,0.0,100.0,679.4766,1.0,0.0,0.0,0.0,100.0,281.018,3.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,528.7434666666667,5.0
100.0,0.0,2.0,100.0,31.3258,3.0,100.0,192.93779999999998,1.0,100.0,143.3049333333333,3.0,100.0,75.49706666666667,2.0,100.0,268.4352,2.0,100.0,545.259,1.0,100.0,255.852,3.0,100.0,0.0,2.0,100.0,713.0304666666668,4.0,100.0,683.8452666666667,4.0,100.0,288.00833333333327,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,72.70093333333334,1.0,100.0,553.6476,2.0
100.0,134.2176,1.0,100.0,167.77166666666662,3.0,100.0,114.64386666666668,2.0,100.0,383.0794,2.0,100.0,1071.6436666666668,2.0,100.0,226.49179999999998,3.0,0.0,0.0,0.0,100.0,242.57,3.0,100.0,0.0,2.0,100.0,311.7758666666666,2.0,100.0,31.3258,3.0,100.0,967.4848,3.0,100.0,0.0,2.0,100.0,31.238400000000002,3.0,100.0,75.49719999999999,1.0,0.0,0.0,0.0
100.0,279.62,2.0,100.0,564.8324,1.0,100.0,209.7148,3.0,100.0,231.3854,3.0,0.0,0.0,0.0,100.0,31.238400000000002,3.0,100.0,226.49220000000003,1.0,100.0,448.7898,2.0,100.0,0.0,2.0,100.0,150.2954,3.0,100.0,30.75773333333333,3.0,99.97517994539588,788.5282,2.0,100.0,232.08433333333338,5.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,92.27413333333331,4.0
100.0,30.75773333333333,3.0,100.0,591.3961333333333,3.0,100.0,450.1882666666667,2.0,0.0,0.0,0.0,100.0,338.34020000000004,2.0,100.0,30.932599999999997,3.0,100.0,77.5942,1.0,0.0,0.0,0.0,100.0,0.0,2.0,100.0,1015.0211999999999,1.0,100.0,67.10839999999999,1.0,100.0,458.5768,1.0,100.0,264.24086666666665,5.0,100.0,255.852,3.0,100.0,253.7549333333333,3.0,100.0,0.0,2.0
100.0,461.373,2.0,99.97517994539588,708.8365333333333,4.0,100.0,29.2284,3.0,100.0,30.932599999999997,3.0,100.0,69.2056,1.0,0.0,0.0,0.0,100.0,679.4766,1.0,100.0,164.9758,1.0,100.0,0.0,2.0,100.0,824.879,1.0,100.0,72.70093333333334,1.0,0.0,0.0,0.0,100.0,260.0463333333334,5.0,100.0,213.9092,3.0,100.0,244.66713333333328,3.0,100.0,0.0,2.0
