interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,3,3,3,3,0
2,5,2,2,3,0
3,8,3,3,4,0
4,13,5,5,6,0
5,20,7,3,3,4
6,24,4,0,0,8
7,29,5,2,1,12
8,34,5,3,2,15
9,37,3,1,0,18
10,43,6,4,5,20
11,45,2,1,1,21
12,50,5,0,0,26
13,54,4,1,1,29
14,58,4,2,2,31
15,62,4,0,0,35
16,67,5,2,2,38
17,69,2,0,0,40
18,74,5,3,3,42
19,75,1,0,0,43
20,79,4,2,2,45
21,82,3,0,0,48
22,86,4,2,2,50
23,95,9,1,1,58
24,98,3,1,1,60
25,104,6,3,1,65
26,107,3,5,2,66
27,111,4,3,2,70
28,114,3,4,3,70
29,117,3,2,1,72
30,120,3,3,2,73
31,125,5,1,1,77
32,129,4,0,0,81
33,134,5,1,1,85
34,141,7,0,1,92
35,144,3,3,2,93
36,151,7,4,3,97
37,155,4,4,4,97
38,160,5,0,0,102
39,164,4,0,0,106
40,171,7,2,2,111
41,176,5,1,0,116
42,183,7,1,0,123
43,188,5,3,1,127
44,196,8,5,4,131
45,201,5,1,1,135
46,205,4,1,1,138
47,209,4,1,1,141
48,215,6,1,0,147
49,219,4,2,1,150
50,223,4,1,0,154
51,228,5,3,2,157
52,229,1,2,2,156
53,234,5,2,2,159
54,240,6,0,0,165
55,243,3,3,3,165
56,245,2,2,1,166
57,251,6,3,2,170
58,256,5,3,3,172
59,259,3,3,3,172
60,263,4,1,0,176
61,264,1,3,5,174
62,270,6,0,0,180
63,273,3,0,0,183
64,277,4,1,1,186
65,282,5,1,0,191
66,285,3,2,1,193
67,291,6,2,1,198
68,295,4,3,7,199
69,299,4,3,3,200
70,304,5,1,1,204
71,309,5,1,1,208
72,315,6,0,0,214
73,319,4,1,1,217
74,321,2,1,1,218
75,326,5,2,2,221
76,330,4,3,3,222
77,335,5,1,1,226
78,339,4,0,0,230
79,345,6,2,2,234
80,349,4,6,7,232
81,354,5,0,0,237
82,357,3,0,1,240
83,362,5,0,0,245
84,366,4,2,4,247
85,370,4,3,3,248
86,375,5,2,1,252
87,380,5,2,0,257
88,386,6,4,4,259
89,390,4,1,1,262
90,393,3,0,0,265
91,396,3,1,1,267
92,402,6,0,0,273
93,408,6,2,3,277
94,413,5,2,2,280
95,418,5,1,0,285
96,422,4,3,2,287
97,427,5,1,0,292
98,431,4,5,5,292
99,435,4,3,3,293
100,438,3,3,3,293
101,442,4,0,1,297
