interval,numdestroyed,nummigrations,energy,energytotalinterval,energypercontainerinterval,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,5,"[735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 735.0, 1515.0, 795.0, 1515.0, 795.0, 795.0, 795.0, 1514.4713328369323, 795.0]",14399.471332836933,2879.8942665673867,[],0.0,[],0.0,0,0.0,[]
2,0,3,"[1425.0, 735.0, 735.0, 735.0, 735.0, 735.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 795.0, 795.0, 795.0, 1515.0, 795.0]",15780.0,2254.285714285714,[],0.0,[],0.0,0,0.0,[]
3,0,7,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 735.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",18600.0,1430.7692307692307,[],0.0,[],0.0,0,0.0,[]
4,0,2,"[1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 735.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19980.0,1332.0,[],0.0,[],0.0,0,0.0,[]
5,1,1,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 795.0, 795.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19950.0,1330.0,[1010.426213202353],1010.426213202353,[0.057566519999999996],0.057566519999999996,0,0.0,[1]
6,0,0,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1424.5457930007447, 735.0, 795.0, 795.0, 1514.4713328369323, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19949.01712583768,1329.9344750558453,[],0.0,[],0.0,0,0.0,[]
7,0,1,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 795.0, 1515.0, 1514.4713328369323, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",20669.471332836933,1291.8419583023083,[],0.0,[],0.0,0,0.0,[]
8,2,2,"[735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0]",19950.0,1246.875,"[1709.9873069597256, 1242.2203978920782]",1476.103852425902,"[0.017773000000000004, 0.14316543999999998]",0.08046922,0,0.0,"[1, 1]"
9,1,1,"[735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0]",19950.0,1246.875,[2169.1441952155255],2169.1441952155255,[0.22327629999999998],0.22327629999999998,0,0.0,[1]
10,1,1,"[735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0]",19950.0,1246.875,[2683.0421734832057],2683.0421734832057,[0.28437335999999996],0.28437335999999996,0,0.0,[1]
11,1,0,"[735.0, 1425.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 795.0]",19260.0,1284.0,[1958.1621576888624],1958.1621576888624,[0.07549739999999999],0.07549739999999999,0,0.0,[1]
12,1,1,"[735.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1514.4713328369323, 795.0, 1515.0, 1515.0, 1515.0, 795.0]",19289.471332836933,1285.9647555224622,[2167.4470218643537],2167.4470218643537,[0.02684352],0.02684352,0,0.0,[1]
13,1,2,"[735.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",20010.0,1250.625,[3461.7413483910877],3461.7413483910877,[0.042833640000000006],0.042833640000000006,0,0.0,[1]
14,0,0,"[735.0, 1425.0, 1425.0, 735.0, 1424.5457930007447, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",20009.545793000747,1250.5966120625467,[],0.0,[],0.0,0,0.0,[]
15,1,1,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 735.0, 1424.5457930007447, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",19319.545793000747,1207.4716120625467,[3431.409023982617],3431.409023982617,[0.4739556],0.4739556,0,0.0,[1]
16,0,0,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",19320.0,1207.5,[],0.0,[],0.0,0,0.0,[]
17,0,0,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",19320.0,1207.5,[],0.0,[],0.0,0,0.0,[]
18,0,0,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",19320.0,1207.5,[],0.0,[],0.0,0,0.0,[]
19,1,2,"[735.0, 735.0, 1425.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",20040.0,1252.5,[1786.3444725567647],1786.3444725567647,[0.0503316],0.0503316,0,0.0,[9]
20,1,1,"[735.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 1515.0, 1515.0, 1514.4713328369323, 795.0, 1515.0, 1515.0, 1515.0, 1515.0]",20039.471332836933,1252.4669583023083,[3462.0004749705427],3462.0004749705427,[0.02110084],0.02110084,0,0.0,[5]
21,1,0,"[735.0, 735.0, 1425.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 1515.0, 1515.0, 1514.4713328369323, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",19319.471332836933,1287.9647555224622,[2524.208354800163],2524.208354800163,[0.026843359999999997],0.026843359999999997,0,0.0,[9]
22,0,1,"[735.0, 735.0, 1425.0, 1425.0, 1424.5457930007447, 1425.0, 1425.0, 735.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0, 1515.0, 1515.0]",20009.545793000747,1250.5966120625467,[],0.0,[],0.0,0,0.0,[]
