interval,selection,decision,schedule,schedulingtime
1,"[0, 1, 2, 3, 4, 5]","[(0, 14), (1, 10), (2, 10), (3, 8), (4, 14), (5, 14)]","[(0, 14), (1, 10), (2, 10), (3, 8), (4, 14), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.012656927108764648
2,[],"[(1, 6), (5, 14), (6, 10), (7, 10), (8, 0)]","[(0, 14), (1, 6), (2, 10), (3, 8), (4, 14), (None, None), (None, None), (7, 10), (8, 0), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.010235309600830078
3,[],"[(0, 1), (5, 12), (6, 6), (9, 1), (10, 15), (11, 1), (12, 2), (13, 10)]","[(0, 1), (1, 6), (2, 10), (3, 8), (4, 14), (5, 12), (6, 6), (7, 10), (8, 0), (9, 1), (10, 15), (None, None), (12, 2), (13, 10), (None, None), (None, None)]",0.010841131210327148
4,[],"[(11, 14), (14, 5), (15, 3)]","[(0, 1), (1, 6), (2, 10), (3, 8), (4, 14), (5, 12), (6, 6), (7, 10), (8, 0), (9, 1), (10, 15), (None, None), (12, 2), (13, 10), (14, 5), (15, 3)]",0.01068258285522461
5,[],"[(3, 12), (11, 4)]","[(0, 1), (1, 6), (2, 10), (None, None), (4, 14), (5, 12), (6, 6), (7, 10), (8, 0), (9, 1), (10, 15), (11, 4), (12, 2), (13, 10), (14, 5), (15, 3)]",0.010753393173217773
6,[],"[(3, 0)]","[(0, 1), (1, 6), (2, 10), (None, None), (4, 14), (5, 12), (6, 6), (7, 10), (8, 0), (9, 1), (10, 15), (11, 4), (12, 2), (13, 10), (14, 5), (15, 3)]",0.011605501174926758
7,[],"[(3, 9)]","[(0, 1), (1, 6), (2, 10), (3, 9), (4, 14), (5, 12), (6, 6), (7, 10), (8, 0), (9, 1), (10, 15), (11, 4), (12, 2), (13, 10), (14, 5), (15, 3)]",0.010823965072631836
8,[],"[(8, 4), (10, 7)]","[(0, 1), (1, 6), (2, 10), (3, 9), (4, 14), (5, 12), (6, 6), (7, 10), (8, 4), (9, 1), (10, 7), (11, 4), (12, 2), (13, 10), (14, 5), (15, 3)]",0.010085105895996094
9,[],"[(1, 6)]","[(0, 1), (1, 6), (2, 10), (3, 9), (4, 14), (5, 12), (6, 6), (7, 10), (8, 4), (9, 1), (10, 7), (11, 4), (12, 2), (13, 10), (14, 5), (15, 3)]",0.010395526885986328
10,[],"[(4, 14)]","[(0, 1), (1, 6), (2, 10), (3, 9), (4, 14), (5, 12), (6, 6), (7, 10), (8, 4), (9, 1), (10, 7), (11, 4), (12, 2), (13, 10), (14, 5), (15, 3)]",0.010032415390014648
