cpu_0,ram_0,disk_0,cpu_1,ram_1,disk_1,cpu_2,ram_2,disk_2,cpu_3,ram_3,disk_3,cpu_4,ram_4,disk_4,cpu_5,ram_5,disk_5,cpu_6,ram_6,disk_6,cpu_7,ram_7,disk_7,cpu_8,ram_8,disk_8,cpu_9,ram_9,disk_9,cpu_10,ram_10,disk_10,cpu_11,ram_11,disk_11,cpu_12,ram_12,disk_12,cpu_13,ram_13,disk_13,cpu_14,ram_14,disk_14,cpu_15,ram_15,disk_15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,95.9442,1.0,0.0,0.0,0.0,100.0,290.0532,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97517994539588,503.5772666666667,4.0,0.0,0.0,0.0
100.0,29.621666666666673,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,225.0938,1.0,0.0,0.0,0.0,100.0,96.9928,1.0,0.0,0.0,0.0,100.0,149.86099999999996,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,414.01206666666667,4.0,0.0,0.0,0.0
100.0,29.53446666666667,3.0,100.0,505.2814,4.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,360.0100666666666,4.0,0.0,0.0,0.0,100.0,90.177,1.0,0.0,0.0,0.0,100.0,674.2439333333333,4.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,419.43,1.0,100.0,178.9568,1.0
100.0,31.3258,3.0,100.0,415.716,4.0,100.0,0.0,2.0,100.0,67.1088,3.0,0.0,0.0,0.0,100.0,125.829,3.0,100.0,538.2678,4.0,0.0,0.0,0.0,100.0,93.3228,1.0,0.0,0.0,0.0,100.0,604.3870666666668,4.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,442.49846666666673,1.0,100.0,192.93779999999998,1.0
100.0,31.238400000000002,3.0,100.0,450.1877333333333,4.0,100.0,0.0,2.0,100.0,47.5354,3.0,100.0,545.259,1.0,100.0,170.56820000000002,3.0,100.0,364.9035333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,612.9964000000001,4.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,440.4012,1.0,100.0,134.2176,1.0
100.0,30.75773333333333,3.0,100.0,473.4310666666667,4.0,100.0,0.0,2.0,100.0,72.7012,3.0,100.0,738.1968,1.0,100.0,170.56820000000002,3.0,99.97517994539588,331.349,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97517994539588,624.7726000000001,4.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,478.84913333333344,1.0,100.0,226.49220000000003,1.0
100.0,30.932599999999997,3.0,100.0,469.62960000000004,4.0,100.0,0.0,2.0,100.0,33.5544,3.0,100.0,564.8324,1.0,100.0,128.6252,3.0,100.0,293.6003333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1426.063,3.0,99.97517994539588,623.4644666666667,4.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,333.44686666666666,1.0,100.0,271.2314,1.0
0.0,0.0,0.0,100.0,506.81060000000014,4.0,100.0,0.0,2.0,100.0,39.146800000000006,3.0,100.0,1015.0211999999999,4.0,100.0,134.2176,3.0,100.0,341.8349333333333,4.0,100.0,105.5042,1.0,0.0,0.0,0.0,100.0,1311.4188000000001,3.0,100.0,572.6306,4.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,199.92773333333332,1.0,0.0,0.0,0.0
0.0,0.0,0.0,100.0,361.4522,4.0,100.0,0.0,2.0,100.0,173.3644,3.0,100.0,679.4766,4.0,100.0,268.4352,3.0,100.0,105.55626666666666,4.0,100.0,110.71433333333331,1.0,0.0,0.0,0.0,100.0,1255.4948,3.0,100.0,650.1115333333333,4.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,100.0,167.77133333333336,1.0,0.0,0.0,0.0
