interval,totalcontainers,newcontainers,deployed,migrations,inqueue
1,6,6,6,5,1
2,9,3,4,3,2
3,14,5,7,7,1
4,22,8,3,2,7
5,28,6,2,1,12
6,33,5,1,0,17
7,39,6,1,1,22
8,42,3,2,2,23
9,49,7,1,1,29
10,52,3,1,1,31
11,58,6,1,0,37
12,60,2,2,1,38
13,66,6,2,2,42
14,71,5,0,0,47
15,75,4,1,1,50
16,76,1,0,0,51
17,81,5,0,0,56
18,85,4,0,0,60
19,88,3,1,2,62
20,94,6,1,1,67
21,96,2,1,0,69
22,101,5,1,1,73
23,107,6,1,1,78
24,111,4,2,3,80
25,114,3,3,2,81
26,121,7,4,2,86
27,125,4,2,1,89
28,131,6,4,2,93
29,134,3,2,1,95
30,139,5,2,1,99
31,145,6,2,1,104
32,149,4,1,0,108
33,154,5,3,3,110
34,156,2,1,1,111
35,161,5,1,1,115
36,166,5,1,1,119
37,172,6,2,2,123
38,180,8,3,3,128
39,183,3,1,1,130
40,187,4,2,1,133
41,191,4,4,6,133
42,197,6,2,1,138
43,202,5,2,0,143
44,207,5,3,3,145
45,213,6,1,1,150
46,216,3,2,1,152
47,219,3,3,2,153
48,225,6,2,1,158
49,228,3,2,1,160
50,235,7,2,1,166
51,242,7,3,3,170
52,246,4,0,0,174
53,248,2,2,3,174
54,254,6,1,2,179
55,257,3,2,2,180
56,261,4,0,0,184
57,265,4,2,2,186
58,271,6,1,1,191
59,277,6,0,0,197
60,284,7,2,1,203
61,289,5,3,3,205
62,293,4,0,0,209
63,298,5,2,2,212
64,306,8,4,3,217
65,310,4,2,3,219
66,314,4,2,2,221
67,319,5,0,0,226
68,325,6,2,2,230
69,330,5,2,2,233
70,335,5,0,0,238
71,337,2,2,2,238
72,342,5,2,2,241
73,347,5,3,3,243
74,351,4,2,2,246
75,354,3,2,2,247
76,360,6,1,1,252
77,364,4,1,1,255
78,373,9,2,2,262
79,380,7,0,0,269
80,386,6,1,1,274
81,391,5,1,2,278
82,396,5,2,1,282
83,403,7,1,2,288
84,406,3,4,3,288
85,411,5,3,3,290
86,416,5,2,2,293
87,418,2,2,2,293
88,424,6,1,1,298
89,428,4,1,0,302
90,432,4,2,0,306
91,436,4,4,4,307
92,439,3,2,2,309
93,445,6,1,0,315
94,449,4,2,1,318
95,454,5,2,2,321
96,460,6,2,2,325
97,463,3,0,0,328
98,471,8,1,1,335
99,478,7,2,3,340
100,484,6,1,1,345
101,489,5,3,3,347
