interval,numdestroyed,nummigrations,energy,energytotalinterval,energypercontainerinterval,responsetime,avgresponsetime,migrationtime,avgmigrationtime,slaviolations,slaviolationspercentage,waittime
1,0,7,"[735.0, 735.0, 735.0, 1425.0, 1425.0, 735.0, 1425.0, 735.0, 795.0, 795.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 795.0]",16470.0,2352.8571428571427,[],0.0,[],0.0,0,0.0,[]
2,0,7,"[735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 795.0]",19260.0,1481.5384615384614,[],0.0,[],0.0,0,0.0,[]
3,0,6,"[1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 1515.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",21360.0,1335.0,[],0.0,[],0.0,0,0.0,[]
4,1,3,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19980.0,1248.75,[482.422847327689],482.422847327689,[0.06826181999999999],0.06826181999999999,0,0.0,[1]
5,1,3,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 735.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 1515.0]",19290.0,1205.625,[1072.235495293338],1072.235495293338,[0.0],0.0,0,0.0,[1]
6,0,2,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",19260.0,1203.75,[],0.0,[],0.0,0,0.0,[]
7,0,0,"[1425.0, 1425.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",19260.0,1203.75,[],0.0,[],0.0,0,0.0,[]
8,3,4,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 795.0, 795.0]",19230.0,1201.875,"[2082.060967376647, 2026.539585621891, 1690.7040516352095]",1933.1015348779158,"[0.37916448, 0.5266639866666666, 0.19321705333333333]",0.3663485066666667,0,0.0,"[1, 1, 1]"
9,1,5,"[1425.0, 1425.0, 1424.5457930007447, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 795.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",19949.545793000747,1246.8466120625467,[2063.0484351639975],2063.0484351639975,[0.22816941333333335],0.22816941333333335,0,0.0,[1]
10,0,2,"[1425.0, 1425.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",20670.0,1291.875,[],0.0,[],0.0,0,0.0,[]
11,3,1,"[735.0, 1425.0, 735.0, 735.0, 1425.0, 735.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 1515.0, 795.0, 1515.0, 795.0]",18600.0,1328.5714285714287,"[2418.3850022426736, 2377.44050645144, 2318.3751753290394]",2371.400228007718,"[0.12247356, 0.1107294, 0.0]",0.07773432000000001,0,0.0,"[1, 1, 1]"
12,2,4,"[735.0, 1425.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 795.0]",19260.0,1203.75,"[1948.727736861649, 3153.1171805151794]",2550.9224586884143,"[0.051450026666666655, 0.21139271999999998]",0.1314213733333333,0,0.0,"[3, 1]"
13,0,1,"[735.0, 1425.0, 735.0, 735.0, 1425.0, 1425.0, 1425.0, 1425.0, 1515.0, 795.0, 1515.0, 1515.0, 795.0, 795.0, 1515.0, 795.0]",18570.0,1160.625,[],0.0,[],0.0,0,0.0,[]
