interval,selection,decision,schedule,schedulingtime
1,"[0, 1, 2, 3, 4, 5, 6, 7]","[(0, 3), (1, 6), (2, 10), (3, 6), (4, 14), (5, 4), (6, 11), (7, 11)]","[(0, 3), (1, 6), (2, 10), (3, 6), (4, 14), (5, 4), (6, 11), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None), (None, None)]",0.013129472732543945
2,[],"[(2, 12), (7, 11), (8, 9), (9, 1), (10, 7), (11, 4), (12, 9), (13, 6)]","[(0, 3), (1, 6), (2, 10), (3, 6), (4, 14), (5, 5), (6, 11), (None, None), (8, 9), (9, 1), (10, 7), (11, 4), (12, 9), (13, 6), (None, None), (None, None)]",0.0207064151763916
3,[],"[(3, 12), (7, 0), (8, 0), (13, 2), (14, 5), (15, 2)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 14), (5, 5), (6, 11), (7, 0), (8, 0), (9, 1), (10, 7), (11, 4), (12, 9), (13, 2), (14, 5), (15, 2)]",0.011200189590454102
4,[],"[(12, 15)]","[(0, 5), (1, 6), (2, 10), (3, 12), (4, 14), (5, 5), (6, 11), (7, 0), (8, 0), (9, 1), (10, 7), (11, 5), (12, 15), (13, 2), (14, 5), (15, 2)]",0.00994420051574707
5,[],"[(0, 1), (1, 6)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 14), (5, 5), (6, 11), (7, 0), (8, 0), (9, 1), (10, 5), (11, 5), (12, 15), (13, 2), (14, 5), (15, 2)]",0.009946584701538086
6,[],"[(10, 7)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 14), (5, 5), (6, 11), (7, 0), (8, 0), (9, 1), (10, 7), (11, 5), (12, 5), (13, 2), (14, 5), (15, 2)]",0.011531829833984375
7,[],[],"[(0, 1), (1, 6), (2, 10), (3, 12), (4, 14), (5, 5), (6, 11), (7, 0), (8, 0), (9, 1), (10, 7), (11, 5), (12, 5), (13, 2), (14, 5), (15, 2)]",0.010446548461914062
8,[],"[(4, 10), (5, 4), (10, 7), (11, 4)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 11), (7, 0), (8, 0), (9, 1), (10, 7), (11, 4), (12, 5), (13, 2), (14, 5), (15, 2)]",0.015348196029663086
9,[],"[(7, 2), (11, 4), (12, 14), (13, 6)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 5), (5, 4), (6, 11), (7, 2), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 2)]",0.020882606506347656
10,[],"[(4, 10), (7, 8)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 11), (7, 8), (8, 0), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 2)]",0.010520458221435547
11,[],"[(8, 4), (14, 1), (15, 7)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 11), (7, 8), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (None, None), (None, None)]",0.009753227233886719
12,[],"[(1, 6), (3, 11), (14, 5), (15, 3)]","[(0, 1), (1, 6), (2, 10), (3, 11), (4, 10), (5, 4), (6, 11), (7, 8), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 3)]",0.010385751724243164
13,[],[],"[(0, 1), (1, 6), (2, 10), (3, 11), (4, 10), (5, 4), (6, 11), (7, 8), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 5)]",0.00966954231262207
14,[],"[(3, 12), (12, 14)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 11), (7, 8), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 5)]",0.012582063674926758
15,[],"[(7, 11)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 11), (None, None), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 5)]",0.011304855346679688
16,[],"[(7, 0), (13, 10)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 11), (7, 0), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 5)]",0.02965855598449707
17,[],"[(12, 14)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 11), (7, 0), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 5)]",0.013133049011230469
18,[],"[(3, 9)]","[(0, 1), (1, 6), (2, 10), (3, 9), (4, 10), (5, 4), (6, 11), (7, 0), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 5)]",0.010172367095947266
19,[],"[(9, 11)]","[(0, 1), (1, 6), (2, 10), (3, 9), (4, 10), (5, 4), (6, 11), (7, 0), (8, 4), (None, None), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 5)]",0.01086735725402832
20,[],"[(3, 12), (6, 7), (9, 1)]","[(0, 1), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (None, None), (7, 0), (8, 4), (9, 1), (10, 7), (11, 4), (12, 14), (13, 6), (14, 5), (15, 5)]",0.011190176010131836
21,[],"[(0, 3), (6, 14), (12, 14)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 14), (7, 0), (8, 4), (9, 1), (10, 7), (11, 4), (None, None), (13, 6), (14, 5), (15, 5)]",0.010423421859741211
22,[],"[(7, 9), (12, 0)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 14), (7, 9), (8, 4), (9, 1), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 5)]",0.011271476745605469
23,[],[],"[(0, 3), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 14), (7, 9), (8, 4), (9, 1), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 5)]",0.010300874710083008
24,[],"[(7, 10), (9, 8)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 14), (None, None), (8, 4), (9, 8), (10, 7), (11, 4), (12, 0), (13, 6), (14, 5), (15, 5)]",0.011513471603393555
25,[],"[(7, 1), (10, 4)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 10), (5, 4), (6, 14), (7, 1), (8, 4), (9, 8), (None, None), (11, 4), (12, 0), (13, 6), (14, 5), (15, 5)]",0.01020956039428711
26,[],"[(2, 10), (4, 2), (10, 10), (13, 6), (15, 6)]","[(0, 3), (1, 6), (2, 10), (3, 12), (4, 2), (5, 4), (6, 14), (7, 1), (8, 4), (9, 8), (10, 10), (11, 4), (12, 0), (None, None), (14, 5), (15, 6)]",0.016778230667114258
